wvconv,lon,lat
2.2394767,-120.4549,38.57567
0.9102771,-120.094,38.62627
2.1010766,-120.5208,38.8577
0.9354769,-120.1582,38.90858
0.85267687,-119.795,38.9581
0.8558769,-120.223,39.19109
0.87187684,-119.8581,39.24089
0.6962769,-120.2885,39.4738
0.8386767,-119.9218,39.5239
1.5994477,-120.4549,38.57567
-0.60175204,-120.094,38.62627
1.1710479,-120.5208,38.8577
-0.8197522,-120.1582,38.90858
-0.114952326,-119.795,38.9581
-1.0225523,-120.223,39.19109
-0.35815167,-119.8581,39.24089
-1.3285518,-120.2885,39.4738
-0.13335204,-119.9218,39.5239
4.028694,-120.4549,38.57567
-0.79090595,-120.094,38.62627
4.416293,-120.5208,38.8577
0.09829402,-120.1582,38.90858
-0.86170566,-119.795,38.9581
-0.2477063,-120.223,39.19109
-0.67650604,-119.8581,39.24089
-0.17290592,-120.2885,39.4738
0.37309444,-119.9218,39.5239
1.778476,-120.4549,38.57567
-1.1435242,-120.094,38.62627
1.5696757,-120.5208,38.8577
-0.5071242,-120.1582,38.90858
-0.9691241,-119.795,38.9581
-0.5455241,-120.223,39.19109
-0.7715242,-119.8581,39.24089
-0.95872414,-120.2885,39.4738
-0.36112475,-119.9218,39.5239
-0.63442576,-120.4549,38.57567
0.2627747,-120.094,38.62627
0.34397435,-120.5208,38.8577
0.32397437,-120.1582,38.90858
0.38037395,-119.795,38.9581
0.35997415,-120.223,39.19109
0.3975742,-119.8581,39.24089
0.24077368,-120.2885,39.4738
0.3319738,-119.9218,39.5239
0.47386312,-120.4549,38.57567
0.506263,-120.094,38.62627
0.6014631,-120.5208,38.8577
0.55026317,-120.1582,38.90858
0.46346307,-119.795,38.9581
0.63826275,-120.223,39.19109
0.47146297,-119.8581,39.24089
0.69866323,-120.2885,39.4738
0.6074631,-119.9218,39.5239
1.9529583,-120.4549,38.57567
0.6569592,-120.094,38.62627
1.444559,-120.5208,38.8577
0.5377586,-120.1582,38.90858
0.5953586,-119.795,38.9581
0.17295873,-120.223,39.19109
0.14135861,-119.8581,39.24089
-0.1338414,-120.2885,39.4738
0.28575814,-119.9218,39.5239
1.920605,-120.4549,38.57567
-0.83699465,-120.094,38.62627
1.656606,-120.5208,38.8577
-0.66659474,-120.1582,38.90858
-0.8337946,-119.795,38.9581
-0.95939445,-120.223,39.19109
-1.4633946,-119.8581,39.24089
-0.45299459,-120.2885,39.4738
-0.08339429,-119.9218,39.5239
2.4590423,-120.4549,38.57567
0.30544257,-120.094,38.62627
1.7610424,-120.5208,38.8577
0.15344286,-120.1582,38.90858
0.33384252,-119.795,38.9581
-0.32335782,-120.223,39.19109
0.37864208,-119.8581,39.24089
0.3554418,-120.2885,39.4738
1.0158424,-119.9218,39.5239
-0.54682636,-120.4549,38.57567
-0.99522614,-120.094,38.62627
-0.08282566,-120.5208,38.8577
-0.73002577,-120.1582,38.90858
-0.33642602,-119.795,38.9581
-0.47322536,-120.223,39.19109
-0.46722603,-119.8581,39.24089
-0.2296257,-120.2885,39.4738
-0.32962632,-119.9218,39.5239
2.400939,-120.4549,38.57567
0.7509384,-120.094,38.62627
2.133739,-120.5208,38.8577
0.77493906,-120.1582,38.90858
0.33133912,-119.795,38.9581
0.74893904,-120.223,39.19109
0.4233389,-119.8581,39.24089
0.22213864,-120.2885,39.4738
0.5073385,-119.9218,39.5239
-1.817533,-120.4549,38.57567
-0.5047331,-120.094,38.62627
-1.3879334,-120.5208,38.8577
-0.7747338,-120.1582,38.90858
-0.31473327,-119.795,38.9581
-1.5579333,-120.223,39.19109
-1.060333,-119.8581,39.24089
-1.1023335,-120.2885,39.4738
-0.6959331,-119.9218,39.5239
-0.39096332,-120.4549,38.57567
-0.20216322,-120.094,38.62627
-0.70256317,-120.5208,38.8577
-0.78896236,-120.1582,38.90858
-0.22856331,-119.795,38.9581
-0.1701634,-120.223,39.19109
0.025436878,-119.8581,39.24089
-0.043363333,-120.2885,39.4738
-0.13456297,-119.9218,39.5239
0.8323748,-120.4549,38.57567
0.5123744,-120.094,38.62627
0.7779746,-120.5208,38.8577
0.69237375,-120.1582,38.90858
0.7763746,-119.795,38.9581
