tcdc,lon,lat
23.25,-120.094,38.62627
47.125,-120.5208,38.8577
30.375,-120.1582,38.90858
26.0,-119.795,38.9581
27.125,-120.223,39.19109
27.75,-119.8581,39.24089
26.0,-120.2885,39.4738
32.875,-119.9218,39.5239
34.0,-120.4549,38.57567
18.875,-120.094,38.62627
35.25,-120.5208,38.8577
25.5,-120.1582,38.90858
21.25,-119.795,38.9581
31.375,-120.223,39.19109
29.375,-119.8581,39.24089
31.0,-120.2885,39.4738
25.375,-119.9218,39.5239
89.625,-120.4549,38.57567
55.0,-120.094,38.62627
93.375,-120.5208,38.8577
72.125,-120.1582,38.90858
56.875,-119.795,38.9581
73.0,-120.223,39.19109
60.375,-119.8581,39.24089
63.25,-120.2885,39.4738
54.25,-119.9218,39.5239
63.75,-120.4549,38.57567
60.0,-120.094,38.62627
68.25,-120.5208,38.8577
59.5,-120.1582,38.90858
59.375,-119.795,38.9581
59.25,-120.223,39.19109
58.25,-119.8581,39.24089
57.5,-120.2885,39.4738
55.75,-119.9218,39.5239
50.5,-120.4549,38.57567
47.0,-120.094,38.62627
49.375,-120.5208,38.8577
45.25,-120.1582,38.90858
42.75,-119.795,38.9581
43.75,-120.223,39.19109
40.75,-119.8581,39.24089
45.375,-120.2885,39.4738
42.25,-119.9218,39.5239
47.875,-120.4549,38.57567
34.625,-120.094,38.62627
51.25,-120.5208,38.8577
40.0,-120.1582,38.90858
37.0,-119.795,38.9581
46.25,-120.223,39.19109
42.0,-119.8581,39.24089
52.5,-120.2885,39.4738
52.375,-119.9218,39.5239
87.125,-120.4549,38.57567
52.875,-120.094,38.62627
89.875,-120.5208,38.8577
72.0,-120.1582,38.90858
63.625,-119.795,38.9581
73.0,-120.223,39.19109
68.0,-119.8581,39.24089
74.5,-120.2885,39.4738
74.375,-119.9218,39.5239
25.5,-120.4549,38.57567
24.875,-120.094,38.62627
27.625,-120.5208,38.8577
24.5,-120.1582,38.90858
21.875,-119.795,38.9581
25.25,-120.223,39.19109
23.875,-119.8581,39.24089
28.375,-120.2885,39.4738
26.0,-119.9218,39.5239
65.625,-120.4549,38.57567
61.5,-120.094,38.62627
67.875,-120.5208,38.8577
63.625,-120.1582,38.90858
69.625,-119.795,38.9581
70.125,-120.223,39.19109
71.125,-119.8581,39.24089
74.375,-120.2885,39.4738
72.75,-119.9218,39.5239
90.125,-120.4549,38.57567
58.625,-120.094,38.62627
95.875,-120.5208,38.8577
80.125,-120.1582,38.90858
65.875,-119.795,38.9581
81.0,-120.223,39.19109
73.125,-119.8581,39.24089
79.625,-120.2885,39.4738
72.625,-119.9218,39.5239
65.0,-120.4549,38.57567
53.625,-120.094,38.62627
64.75,-120.5208,38.8577
58.875,-120.1582,38.90858
74.5,-119.795,38.9581
56.5,-120.223,39.19109
79.375,-119.8581,39.24089
57.875,-120.2885,39.4738
77.75,-119.9218,39.5239
18.625,-120.4549,38.57567
15.75,-120.094,38.62627
20.75,-120.5208,38.8577
18.125,-120.1582,38.90858
14.25,-119.795,38.9581
18.375,-120.223,39.19109
17.125,-119.8581,39.24089
19.0,-120.2885,39.4738
17.25,-119.9218,39.5239
42.875,-120.4549,38.57567
39.5,-120.094,38.62627
43.75,-120.5208,38.8577
41.375,-120.1582,38.90858
24.5,-119.795,38.9581
30.875,-120.223,39.19109
11.5,-119.8581,39.24089
12.25,-120.2885,39.4738
21.375,-119.9218,39.5239
4.375,-120.4549,38.57567
3.625,-120.094,38.62627
4.625,-120.5208,38.8577
4.375,-120.1582,38.90858
11.375,-119.795,38.9581
4.125,-120.223,39.19109
6.75,-119.8581,39.24089
4.375,-120.2885,39.4738
21.375,-119.9218,39.5239
6.125,-120.4549,38.57567
5.5,-120.094,38.62627
6.0,-120.5208,38.8577
5.5,-120.1582,38.90858
5.375,-119.795,38.9581
5.625,-120.223,39.19109
5.625,-119.8581,39.24089
5.75,-120.2885,39.4738
5.625,-119.9218,39.5239
24.25,-120.4549,38.57567
29.25,-120.094,38.62627
30.25,-120.5208,38.8577
34.125,-120.1582,38.90858
37.75,-119.795,38.9581
39.875,-120.223,39.19109
41.875,-119.8581,39.24089
42.25,-120.2885,39.4738
43.875,-119.9218,39.5239
6.75,-120.4549,38.57567
6.75,-120.094,38.62627
6.375,-120.5208,38.8577
7.25,-120.1582,38.90858
26.625,-119.795,38.9581
7.75,-120.223,39.19109
19.0,-119.8581,39.24089
7.125,-120.2885,39.4738
34.0,-119.9218,39.5239
3.75,-120.4549,38.57567
2.75,-120.094,38.62627
