snohf,lon,lat
0.0023269653,-120.4549,38.57567
0.0023269653,-120.094,38.62627
0.0023269653,-120.5208,38.8577
0.0023269653,-120.1582,38.90858
0.0023269653,-119.795,38.9581
-0.013298035,-120.223,39.19109
0.0023269653,-119.8581,39.24089
0.0023269653,-120.2885,39.4738
0.0023269653,-119.9218,39.5239
0.011131287,-120.4549,38.57567
-17.926369,-120.094,38.62627
0.011131287,-120.5208,38.8577
-15.121681,-120.1582,38.90858
-8.324806,-119.795,38.9581
-23.832619,-120.223,39.19109
-8.606056,-119.8581,39.24089
-21.020119,-120.2885,39.4738
0.011131287,-119.9218,39.5239
-0.0015277863,-120.4549,38.57567
-41.314026,-120.094,38.62627
-0.0015277863,-120.5208,38.8577
-22.439028,-120.1582,38.90858
-8.118715,-119.795,38.9581
-16.181215,-120.223,39.19109
-6.751528,-119.8581,39.24089
-17.368715,-120.2885,39.4738
-0.009340286,-119.9218,39.5239
0.010650635,-120.4549,38.57567
-45.0831,-120.094,38.62627
0.010650635,-120.5208,38.8577
-14.926849,-120.1582,38.90858
-49.950287,-119.795,38.9581
-10.590912,-120.223,39.19109
-0.020599365,-119.8581,39.24089
-0.82528687,-120.2885,39.4738
0.010650635,-119.9218,39.5239
-47.695168,-120.4549,38.57567
-25.288916,-120.094,38.62627
-7.062353,-120.5208,38.8577
-16.02329,-120.1582,38.90858
-32.093605,-119.795,38.9581
-7.1170406,-120.223,39.19109
-6.437353,-119.8581,39.24089
-2.5936031,-120.2885,39.4738
-0.007665634,-119.9218,39.5239
0.008972168,-120.4549,38.57567
-22.889465,-120.094,38.62627
0.001159668,-120.5208,38.8577
-10.725403,-120.1582,38.90858
-29.069153,-119.795,38.9581
-7.4050903,-120.223,39.19109
0.008972168,-119.8581,39.24089
-6.6863403,-120.2885,39.4738
0.008972168,-119.9218,39.5239
0.0082473755,-120.4549,38.57567
-17.507378,-120.094,38.62627
0.0082473755,-120.5208,38.8577
-8.73394,-120.1582,38.90858
-30.835503,-119.795,38.9581
-5.07769,-120.223,39.19109
0.0082473755,-119.8581,39.24089
-4.499565,-120.2885,39.4738
0.0082473755,-119.9218,39.5239
-0.00851059,-120.4549,38.57567
-36.906948,-120.094,38.62627
-0.00851059,-120.5208,38.8577
-23.992886,-120.1582,38.90858
-32.219448,-119.795,38.9581
-7.469448,-120.223,39.19109
-0.00851059,-119.8581,39.24089
-5.9616356,-120.2885,39.4738
-0.00851059,-119.9218,39.5239
0.00047683716,-120.4549,38.57567
-7.921398,-120.094,38.62627
0.00047683716,-120.5208,38.8577
-17.61671,-120.1582,38.90858
-15.038586,-119.795,38.9581
-11.546398,-120.223,39.19109
-0.038585663,-119.8581,39.24089
-17.374523,-120.2885,39.4738
-0.046398163,-119.9218,39.5239
-55.40774,-120.4549,38.57567
-5.3139915,-120.094,38.62627
-20.345242,-120.5208,38.8577
-14.509304,-120.1582,38.90858
-34.31399,-119.795,38.9581
-20.157742,-120.223,39.19109
-18.860867,-119.8581,39.24089
-11.228054,-120.2885,39.4738
-0.0014915466,-119.9218,39.5239
-45.091064,-120.4549,38.57567
-0.0051288605,-120.094,38.62627
-28.372316,-120.5208,38.8577
-0.0051288605,-120.1582,38.90858
-9.036379,-119.795,38.9581
-10.950441,-120.223,39.19109
-1.1379414,-119.8581,39.24089
-0.0051288605,-120.2885,39.4738
-0.86450386,-119.9218,39.5239
-62.47375,-120.4549,38.57567
0.002811432,-120.094,38.62627
-33.40344,-120.5208,38.8577
-1.7940636,-120.1582,38.90858
-4.3096886,-119.795,38.9581
-11.950314,-120.223,39.19109
-2.8409386,-119.8581,39.24089
-2.833126,-120.2885,39.4738
0.002811432,-119.9218,39.5239
-45.50853,-120.4549,38.57567
-4.1022797,-120.094,38.62627
-16.492905,-120.5208,38.8577
-6.750717,-120.1582,38.90858
-5.938217,-119.795,38.9581
-12.44603,-120.223,39.19109
-1.9772797,-119.8581,39.24089
-4.906967,-120.2885,39.4738
0.007095337,-119.9218,39.5239
-63.302498,-120.4549,38.57567
-11.880623,-120.094,38.62627
-18.65406,-120.5208,38.8577
-13.896248,-120.1582,38.90858
-26.427498,-119.795,38.9581
-7.958748,-120.223,39.19109
-19.068123,-119.8581,39.24089
-8.943123,-120.2885,39.4738
0.0021896362,-119.9218,39.5239
-4.6575356,-120.4549,38.57567
-19.11066,-120.094,38.62627
-0.001285553,-120.5208,38.8577
-14.251286,-120.1582,38.90858
-11.305973,-119.795,38.9581
-11.329411,-120.223,39.19109
-9.993473,-119.8581,39.24089
-11.126286,-120.2885,39.4738
-6.9856606,-119.9218,39.5239
-48.521614,-120.4549,38.57567
-26.084114,-120.094,38.62627
-23.896614,-120.5208,38.8577
-17.16224,-120.1582,38.90858
-16.34974,-119.795,38.9581
-10.443489,-120.223,39.19109
-16.084114,-119.8581,39.24089
-10.029427,-120.2885,39.4738
-6.084114,-119.9218,39.5239
-53.044006,-120.4549,38.57567
-28.59869,-120.094,38.62627
0.010684967,-120.5208,38.8577
-21.00494,-120.1582,38.90858
-28.903378,-119.795,38.9581
-25.06744,-120.223,39.19109
-21.528378,-119.8581,39.24089
-13.28619,-120.2885,39.4738
-2.051815,-119.9218,39.5239
-45.04496,-120.4549,38.57567
-28.240274,-120.094,38.62627
-0.02152443,-120.5208,38.8577
-15.490274,-120.1582,38.90858
-23.419962,-119.795,38.9581
-14.162149,-120.223,39.19109
-16.232462,-119.8581,39.24089
-11.162149,-120.2885,39.4738
-2.3652744,-119.9218,39.5239
-38.698666,-120.4549,38.57567
-25.12054,-120.094,38.62627
0.004459381,-120.5208,38.8577
-20.800228,-120.1582,38.90858
-33.565853,-119.795,38.9581
-12.136166,-120.223,39.19109
-17.550228,-119.8581,39.24089
-13.034603,-120.2885,39.4738
-0.12835312,-119.9218,39.5239
-40.710117,-120.4549,38.57567
-17.428867,-120.094,38.62627
-13.928867,-120.5208,38.8577
-16.022617,-120.1582,38.90858
-30.600742,-119.795,38.9581
-12.069492,-120.223,39.19109
-25.866367,-119.8581,39.24089
-10.921055,-120.2885,39.4738
-2.4601173,-119.9218,39.5239
-38.87677,-120.4549,38.57567
-28.665833,-120.094,38.62627
-14.548645,-120.5208,38.8577
-13.9002075,-120.1582,38.90858
-21.611145,-119.795,38.9581
-11.1970825,-120.223,39.19109
-18.173645,-119.8581,39.24089
-5.7127075,-120.2885,39.4738
0.0060424805,-119.9218,39.5239
-41.796642,-120.4549,38.57567
-0.015390396,-120.094,38.62627
-0.1872654,-120.5208,38.8577
-4.476328,-120.1582,38.90858
-24.882578,-119.795,38.9581
-3.507578,-120.223,39.19109
-12.60914,-119.8581,39.24089
-1.8513279,-120.2885,39.4738
-0.1482029,-119.9218,39.5239
-33.759914,-120.4549,38.57567
-31.955227,-120.094,38.62627
-0.009914398,-120.5208,38.8577
-15.197414,-120.1582,38.90858
-29.80679,-119.795,38.9581
-9.517727,-120.223,39.19109
-8.486477,-119.8581,39.24089
-6.252102,-120.2885,39.4738
-0.009914398,-119.9218,39.5239
-26.34337,-120.4549,38.57567
-12.663683,-120.094,38.62627
0.00037956238,-120.5208,38.8577
-20.34337,-120.1582,38.90858
-37.054306,-119.795,38.9581
-9.74962,-120.223,39.19109
-34.148056,-119.8581,39.24089
-9.148058,-120.2885,39.4738
0.00037956238,-119.9218,39.5239
-30.76936,-120.4549,38.57567
-20.51936,-120.094,38.62627
0.0040779114,-120.5208,38.8577
-20.89436,-120.1582,38.90858
-33.261547,-119.795,38.9581
-17.089672,-120.223,39.19109
-11.230297,-119.8581,39.24089
-4.839672,-120.2885,39.4738
-0.05060959,-119.9218,39.5239
-30.270615,-120.4549,38.57567
-25.294052,-120.094,38.62627
-0.004989624,-120.5208,38.8577
-15.059677,-120.1582,38.90858
-38.262802,-119.795,38.9581
-11.395615,-120.223,39.19109
-5.794052,-119.8581,39.24089
-1.8565521,-120.2885,39.4738
-0.004989624,-119.9218,39.5239
-44.50759,-120.4549,38.57567
-10.546652,-120.094,38.62627
0.00022315979,-120.5208,38.8577
-16.452902,-120.1582,38.90858
-33.31228,-119.795,38.9581
-15.210714,-120.223,39.19109
-7.406027,-119.8581,39.24089
-7.234152,-120.2885,39.4738
-0.09352684,-119.9218,39.5239
-34.608253,-120.4549,38.57567
-34.93638,-120.094,38.62627
-0.10044098,-120.5208,38.8577
-21.459816,-120.1582,38.90858
-37.459816,-119.795,38.9581
-11.881691,-120.223,39.19109
0.001121521,-119.8581,39.24089
-7.834816,-120.2885,39.4738
0.001121521,-119.9218,39.5239
-36.341164,-120.4549,38.57567
-36.872414,-120.094,38.62627
-0.54428864,-120.5208,38.8577
-15.348976,-120.1582,38.90858
-32.85679,-119.795,38.9581
-12.388039,-120.223,39.19109
-7.0599136,-119.8581,39.24089
-3.5286636,-120.2885,39.4738
-0.29428864,-119.9218,39.5239
-40.917892,-120.4549,38.57567
-28.081953,-120.094,38.62627
-0.27726555,-120.5208,38.8577
-26.808516,-120.1582,38.90858
-36.394455,-119.795,38.9581
-12.613203,-120.223,39.19109
-5.4647655,-119.8581,39.24089
-2.5897655,-120.2885,39.4738
0.0039844513,-119.9218,39.5239
-29.5052,-120.4549,38.57567
-40.653637,-120.094,38.62627
-0.0051994324,-120.5208,38.8577
-27.934887,-120.1582,38.90858
-43.622387,-119.795,38.9581
-7.966137,-120.223,39.19109
-6.7708244,-119.8581,39.24089
-7.528637,-120.2885,39.4738
-0.39582443,-119.9218,39.5239
-42.26978,-120.4549,38.57567
-24.761967,-120.094,38.62627
