vwnd,lon,lat
5.4699383,-120.4549,38.57567
2.0519695,-120.094,38.62627
6.120329,-120.5208,38.8577
2.050993,-120.1582,38.90858
4.399626,-119.795,38.9581
3.8175945,-120.223,39.19109
5.6095867,-119.8581,39.24089
2.2394695,-120.2885,39.4738
5.6105633,-119.9218,39.5239
7.035536,-120.4549,38.57567
1.8792858,-120.094,38.62627
7.1185436,-120.5208,38.8577
1.8812389,-120.1582,38.90858
5.9085827,-119.795,38.9581
4.256239,-120.223,39.19109
6.910536,-119.8581,39.24089
2.1585827,-120.2885,39.4738
6.9173717,-119.9218,39.5239
6.6945753,-120.4549,38.57567
4.6545362,-120.094,38.62627
7.641841,-120.5208,38.8577
4.6584425,-120.1582,38.90858
7.7102003,-119.795,38.9581
6.4533644,-120.223,39.19109
9.256099,-119.8581,39.24089
2.732661,-120.2885,39.4738
9.263911,-119.9218,39.5239
1.9287517,-120.4549,38.57567
0.87797046,-120.094,38.62627
3.2412517,-120.5208,38.8577
0.878947,-120.1582,38.90858
2.1650798,-119.795,38.9581
0.74027514,-120.223,39.19109
2.6592205,-119.8581,39.24089
-0.68452954,-120.2885,39.4738
2.6650798,-119.9218,39.5239
-2.3939495,-120.4549,38.57567
-0.58828545,-120.094,38.62627
-1.3597698,-120.5208,38.8577
-0.58828545,-120.1582,38.90858
1.1040974,-119.795,38.9581
0.5904255,-120.223,39.19109
1.138277,-119.8581,39.24089
0.25741768,-120.2885,39.4738
1.1373005,-119.9218,39.5239
-0.5101471,-120.4549,38.57567
0.6988373,-120.094,38.62627
0.1304779,-120.5208,38.8577
0.6988373,-120.1582,38.90858
1.5748138,-119.795,38.9581
1.7837982,-120.223,39.19109
1.8804779,-119.8581,39.24089
1.4908295,-120.2885,39.4738
1.8804779,-119.9218,39.5239
3.845581,-120.4549,38.57567
2.408081,-120.094,38.62627
4.081909,-120.5208,38.8577
2.4090576,-120.1582,38.90858
4.491089,-119.795,38.9581
3.807495,-120.223,39.19109
5.749878,-119.8581,39.24089
2.5838623,-120.2885,39.4738
5.753784,-119.9218,39.5239
3.8333054,-120.4549,38.57567
1.3147507,-120.094,38.62627
4.3235397,-120.5208,38.8577
1.3157272,-120.1582,38.90858
4.6272507,-119.795,38.9581
2.7170944,-120.223,39.19109
5.629204,-119.8581,39.24089
0.6116257,-120.2885,39.4738
5.6321335,-119.9218,39.5239
8.42067,-120.4549,38.57567
1.6638336,-120.094,38.62627
9.4743805,-120.5208,38.8577
1.6667633,-120.1582,38.90858
5.489029,-119.795,38.9581
3.5251617,-120.223,39.19109
5.7985992,-119.8581,39.24089
1.3152008,-120.2885,39.4738
5.801529,-119.9218,39.5239
1.4321995,-120.4549,38.57567
-0.61369896,-120.094,38.62627
1.8003635,-120.5208,38.8577
-0.6097927,-120.1582,38.90858
1.1138401,-119.795,38.9581
-0.65569115,-120.223,39.19109
0.7388401,-119.8581,39.24089
-1.1869411,-120.2885,39.4738
0.7417698,-119.9218,39.5239
2.032919,-120.4549,38.57567
2.032919,-120.094,38.62627
3.5387783,-120.5208,38.8577
2.034872,-120.1582,38.90858
3.5368252,-119.795,38.9581
2.347372,-120.223,39.19109
4.3962,-119.8581,39.24089
0.82198143,-120.2885,39.4738
4.401083,-119.9218,39.5239
0.6970539,-120.4549,38.57567
0.08865547,-120.094,38.62627
0.8640461,-120.5208,38.8577
0.0906086,-120.1582,38.90858
-0.7238445,-119.795,38.9581
-1.4386883,-120.223,39.19109
-1.3859539,-119.8581,39.24089
-1.3615398,-120.2885,39.4738
-1.3840008,-119.9218,39.5239
1.7398701,-120.4549,38.57567
0.6402607,-120.094,38.62627
1.5806904,-120.5208,38.8577
0.6402607,-120.1582,38.90858
1.8414326,-119.795,38.9581
1.5338154,-120.223,39.19109
1.8463154,-119.8581,39.24089
1.3922138,-120.2885,39.4738
1.8443623,-119.9218,39.5239
3.4348907,-120.4549,38.57567
0.26301575,-120.094,38.62627
3.2952423,-120.5208,38.8577
0.26106262,-120.1582,38.90858
2.4524689,-119.795,38.9581
2.1712189,-120.223,39.19109
2.9153595,-119.8581,39.24089
1.3753204,-120.2885,39.4738
2.9153595,-119.9218,39.5239
2.0690308,-120.4549,38.57567
-0.33917236,-120.094,38.62627
2.316101,-120.5208,38.8577
-0.3411255,-120.1582,38.90858
1.3776245,-119.795,38.9581
1.5270386,-120.223,39.19109
1.6969604,-119.8581,39.24089
0.7028198,-120.2885,39.4738
1.6959839,-119.9218,39.5239
0.46925735,-120.4549,38.57567
-0.37937546,-120.094,38.62627
0.11867142,-120.5208,38.8577
-0.37937546,-120.1582,38.90858
1.463398,-119.795,38.9581
1.5981636,-120.223,39.19109
1.8764839,-119.8581,39.24089
0.7407417,-120.2885,39.4738
1.8755074,-119.9218,39.5239
-1.4349232,-120.4549,38.57567
0.997694,-120.094,38.62627
-0.8040638,-120.5208,38.8577
0.99671745,-120.1582,38.90858
1.872694,-119.795,38.9581
2.2896862,-120.223,39.19109
2.308241,-119.8581,39.24089
1.1158581,-120.2885,39.4738
2.3092175,-119.9218,39.5239
0.6947937,-120.4549,38.57567
1.4154968,-120.094,38.62627
1.0072937,-120.5208,38.8577
1.4164734,-120.1582,38.90858
1.3686218,-119.795,38.9581
1.254364,-120.223,39.19109
1.1303406,-119.8581,39.24089
0.87350464,-120.2885,39.4738
1.1313171,-119.9218,39.5239
2.525322,-120.4549,38.57567
1.9823532,-120.094,38.62627
2.9550095,-120.5208,38.8577
1.9833298,-120.1582,38.90858
3.2938766,-119.795,38.9581
2.9266891,-120.223,39.19109
4.029228,-119.8581,39.24089
1.9901657,-120.2885,39.4738
4.0311813,-119.9218,39.5239
0.8924408,-120.4549,38.57567
0.8504486,-120.094,38.62627
1.340683,-120.5208,38.8577
0.8514252,-120.1582,38.90858
2.8983002,-119.795,38.9581
2.1902924,-120.223,39.19109
3.1649017,-119.8581,39.24089
0.9881439,-120.2885,39.4738
3.1668549,-119.9218,39.5239
-3.4942799,-120.4549,38.57567
-0.30775642,-120.094,38.62627
-3.317522,-120.5208,38.8577
-0.30775642,-120.1582,38.90858
0.72447014,-119.795,38.9581
1.2098217,-120.223,39.19109
0.86704826,-119.8581,39.24089
1.010603,-120.2885,39.4738
0.86704826,-119.9218,39.5239
-2.8267994,-120.4549,38.57567
0.7493725,-120.094,38.62627
-2.6129322,-120.5208,38.8577
0.7513256,-120.1582,38.90858
-0.9068775,-119.795,38.9581
-0.6392994,-120.223,39.19109
-1.1676197,-119.8581,39.24089
-0.57582283,-120.2885,39.4738
-1.1666431,-119.9218,39.5239
-2.181015,-120.4549,38.57567
1.9537506,-120.094,38.62627
-2.085312,-120.5208,38.8577
1.9547272,-120.1582,38.90858
1.9137115,-119.795,38.9581
2.727188,-120.223,39.19109
2.039688,-119.8581,39.24089
1.8473053,-120.2885,39.4738
2.0406647,-119.9218,39.5239
6.0002975,-120.4549,38.57567
3.3704147,-120.094,38.62627
6.3840866,-120.5208,38.8577
3.3723679,-120.1582,38.90858
5.8870163,-119.795,38.9581
4.6321335,-120.223,39.19109
7.535454,-119.8581,39.24089
3.6760788,-120.2885,39.4738
7.53936,-119.9218,39.5239
4.2531967,-120.4549,38.57567
2.2199936,-120.094,38.62627
6.1711655,-120.5208,38.8577
2.2209702,-120.1582,38.90858
6.375267,-119.795,38.9581
4.366478,-120.223,39.19109
8.757103,-119.8581,39.24089
2.9895248,-120.2885,39.4738
8.762962,-119.9218,39.5239
4.8667183,-120.4549,38.57567
2.5210152,-120.094,38.62627
6.017109,-120.5208,38.8577
2.5210152,-120.1582,38.90858
5.4419136,-119.795,38.9581
3.9682808,-120.223,39.19109
8.035664,-119.8581,39.24089
3.2143745,-120.2885,39.4738
8.040546,-119.9218,39.5239
4.4311943,-120.4549,38.57567
1.9634209,-120.094,38.62627
6.1186943,-120.5208,38.8577
1.965374,-120.1582,38.90858
5.2788506,-119.795,38.9581
3.9604912,-120.223,39.19109
6.9507256,-119.8581,39.24089
2.2349052,-120.2885,39.4738
6.9536552,-119.9218,39.5239
1.6915321,-120.4549,38.57567
2.0011024,-120.094,38.62627
3.2823524,-120.5208,38.8577
2.0011024,-120.1582,38.90858
3.4610634,-119.795,38.9581
2.5548134,-120.223,39.19109
4.5968056,-119.8581,39.24089
1.1700478,-120.2885,39.4738
4.600712,-119.9218,39.5239
-1.9269829,-120.4549,38.57567
1.1550484,-120.094,38.62627
-0.85960007,-120.5208,38.8577
1.1560249,-120.1582,38.90858
0.8386421,-119.795,38.9581
0.9402046,-120.223,39.19109
1.8103218,-119.8581,39.24089
0.9099312,-120.2885,39.4738
1.8152046,-119.9218,39.5239
2.3891506,-120.4549,38.57567
2.5317287,-120.094,38.62627
2.6743069,-120.5208,38.8577
2.5346584,-120.1582,38.90858
4.2289944,-119.795,38.9581
3.1391506,-120.223,39.19109
5.2895412,-119.8581,39.24089
2.401846,-120.2885,39.4738
5.2934475,-119.9218,39.5239
2.4184432,-120.4549,38.57567
2.265123,-120.094,38.62627
3.1469588,-120.5208,38.8577
2.2709823,-120.1582,38.90858
4.770006,-119.795,38.9581
1.8549666,-120.223,39.19109
5.7758656,-119.8581,39.24089
0.032701135,-120.2885,39.4738
5.781725,-119.9218,39.5239
-0.6148993,-120.4549,38.57567
1.1175226,-120.094,38.62627
-0.6217352,-120.5208,38.8577
1.1194757,-120.1582,38.90858
0.12924135,-119.795,38.9581
0.24154603,-120.223,39.19109
0.44369447,-119.8581,39.24089
-0.21548522,-120.2885,39.4738
0.44369447,-119.9218,39.5239
-0.25574577,-120.4549,38.57567
2.0987463,-120.094,38.62627
1.0870277,-120.5208,38.8577
2.0997229,-120.1582,38.90858
2.853629,-119.795,38.9581
2.2813635,-120.223,39.19109
3.0694494,-119.8581,39.24089
1.4600745,-120.2885,39.4738
3.0714025,-119.9218,39.5239
0.8781967,-120.4549,38.57567
2.2248764,-120.094,38.62627
2.5676498,-120.5208,38.8577
2.2268295,-120.1582,38.90858
3.9582748,-119.795,38.9581
2.1926498,-120.223,39.19109
4.3381577,-119.8581,39.24089
0.9387436,-120.2885,39.4738
4.340111,-119.9218,39.5239
0.37875342,-120.4549,38.57567
-0.39859033,-120.094,38.62627
0.035003424,-120.5208,38.8577
-0.39468408,-120.1582,38.90858
-1.002106,-119.795,38.9581
-1.4444888,-120.223,39.19109
-2.379059,-119.8581,39.24089
-2.2794497,-120.2885,39.4738
-2.3780825,-119.9218,39.5239
-4.593439,-120.4549,38.57567
-0.5416813,-120.094,38.62627
-3.9498844,-120.5208,38.8577
-0.5407047,-120.1582,38.90858
-2.0055485,-119.795,38.9581
-1.7545719,-120.223,39.19109
-2.6129704,-119.8581,39.24089
-1.5241032,-120.2885,39.4738
-2.6129704,-119.9218,39.5239
-5.8145065,-120.4549,38.57567
-1.2314985,-120.094,38.62627
-4.5332565,-120.5208,38.8577
-1.2314985,-120.1582,38.90858
-3.4053266,-119.795,38.9581
-2.9463422,-120.223,39.19109
-4.2568893,-119.8581,39.24089
-1.9912641,-120.2885,39.4738
-4.255913,-119.9218,39.5239
-5.9273376,-120.4549,38.57567
-1.901947,-120.094,38.62627
-4.7203064,-120.5208,38.8577
