prate,lon,lat
7.723013e-06,-120.4549,38.57567
2.7230135e-06,-120.094,38.62627
1.3973015e-05,-120.5208,38.8577
2.7230135e-06,-120.1582,38.90858
1.4730136e-06,-119.795,38.9581
1.1473013e-05,-120.223,39.19109
1.4730136e-06,-119.8581,39.24089
1.8973013e-05,-120.2885,39.4738
1.4730136e-06,-119.9218,39.5239
0.00034146002,-120.4549,38.57567
0.00038396,-120.094,38.62627
0.00038646001,-120.5208,38.8577
0.00032396,-120.1582,38.90858
0.00022896,-119.795,38.9581
0.00040521,-120.223,39.19109
0.00023896001,-119.8581,39.24089
0.00037896002,-120.2885,39.4738
0.00018896002,-119.9218,39.5239
0.0007055595,-120.4549,38.57567
0.0008355595,-120.094,38.62627
0.00059305946,-120.5208,38.8577
0.0003193095,-120.1582,38.90858
8.305951e-05,-119.795,38.9581
0.0003455595,-120.223,39.19109
6.805951e-05,-119.8581,39.24089
0.0002355595,-120.2885,39.4738
6.9309506e-05,-119.9218,39.5239
0.00028794774,-120.4549,38.57567
0.00018919776,-120.094,38.62627
0.00038169773,-120.5208,38.8577
0.00022169776,-120.1582,38.90858
6.5447755e-05,-119.795,38.9581
0.00021169773,-120.223,39.19109
2.544776e-05,-119.8581,39.24089
7.919776e-05,-120.2885,39.4738
1.544776e-05,-119.9218,39.5239
1.1865244e-06,-120.4549,38.57567
2.4365243e-06,-120.094,38.62627
1.1865244e-06,-120.5208,38.8577
2.4365243e-06,-120.1582,38.90858
1.1865244e-06,-119.795,38.9581
-6.347554e-08,-120.223,39.19109
-6.347554e-08,-119.8581,39.24089
-6.347554e-08,-120.2885,39.4738
-6.347554e-08,-119.9218,39.5239
8.67239e-07,-120.4549,38.57567
8.67239e-07,-120.094,38.62627
8.67239e-07,-120.5208,38.8577
8.67239e-07,-120.1582,38.90858
8.67239e-07,-119.795,38.9581
8.67239e-07,-120.223,39.19109
8.67239e-07,-119.8581,39.24089
8.67239e-07,-120.2885,39.4738
8.67239e-07,-119.9218,39.5239
7.008148e-05,-120.4549,38.57567
6.0081486e-05,-120.094,38.62627
0.00013508149,-120.5208,38.8577
0.00010133148,-120.1582,38.90858
3.5081488e-05,-119.795,38.9581
7.3831485e-05,-120.223,39.19109
6.383148e-05,-119.8581,39.24089
4.8831484e-05,-120.2885,39.4738
2.0081487e-05,-119.9218,39.5239
0.00013737522,-120.4549,38.57567
0.0002373752,-120.094,38.62627
0.00018987522,-120.5208,38.8577
0.00019237521,-120.1582,38.90858
