shtfl,lon,lat
8.581512,-120.4549,38.57567
-21.215363,-120.094,38.62627
3.183075,-120.5208,38.8577
-10.973175,-120.1582,38.90858
-21.355988,-119.795,38.9581
-15.090363,-120.223,39.19109
-4.5513,-119.8581,39.24089
-17.418488,-120.2885,39.4738
-9.090363,-119.9218,39.5239
-4.743988,-120.4549,38.57567
17.927887,-120.094,38.62627
-4.4236755,-120.5208,38.8577
15.115387,-120.1582,38.90858
3.3419495,-119.795,38.9581
6.6856995,-120.223,39.19109
10.716949,-119.8581,39.24089
5.9669495,-120.2885,39.4738
-17.34555,-119.9218,39.5239
-5.246216,-120.4549,38.57567
34.035034,-120.094,38.62627
-6.5352783,-120.5208,38.8577
20.58191,-120.1582,38.90858
17.011597,-119.795,38.9581
10.917847,-120.223,39.19109
33.910034,-119.8581,39.24089
18.253784,-120.2885,39.4738
4.9490967,-119.9218,39.5239
-7.380371,-120.4549,38.57567
22.463379,-120.094,38.62627
-6.2788086,-120.5208,38.8577
8.807129,-120.1582,38.90858
20.682129,-119.795,38.9581
-1.6694336,-120.223,39.19109
-8.474121,-119.8581,39.24089
-13.388184,-120.2885,39.4738
-12.935059,-119.9218,39.5239
26.856995,-120.4549,38.57567
21.24762,-120.094,38.62627
8.27887,-120.5208,38.8577
14.177307,-120.1582,38.90858
21.755432,-119.795,38.9581
3.3335571,-120.223,39.19109
8.864807,-119.8581,39.24089
-9.666443,-120.2885,39.4738
-15.84613,-119.9218,39.5239
-1.8428345,-120.4549,38.57567
36.39154,-120.094,38.62627
0.17279053,-120.5208,38.8577
25.86029,-120.1582,38.90858
27.539978,-119.795,38.9581
24.719666,-120.223,39.19109
-0.772522,-119.8581,39.24089
20.04779,-120.2885,39.4738
-9.608459,-119.9218,39.5239
-0.40319824,-120.4549,38.57567
74.74524,-120.094,38.62627
6.0889893,-120.5208,38.8577
43.487427,-120.1582,38.90858
42.55774,-119.795,38.9581
24.315552,-120.223,39.19109
-2.4110107,-119.8581,39.24089
38.956177,-120.2885,39.4738
-12.911011,-119.9218,39.5239
-13.38327,-120.4549,38.57567
15.913605,-120.094,38.62627
-7.906708,-120.5208,38.8577
8.913605,-120.1582,38.90858
14.89798,-119.795,38.9581
-4.500458,-120.223,39.19109
