lcdc,lon,lat
2.75,-120.094,38.62627
12.5,-120.5208,38.8577
10.625,-120.1582,38.90858
8.75,-119.795,38.9581
10.125,-120.223,39.19109
10.5,-119.8581,39.24089
6.875,-120.2885,39.4738
12.5,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
11.25,-120.4549,38.57567
2.25,-120.094,38.62627
13.75,-120.5208,38.8577
5.25,-120.1582,38.90858
0.75,-119.795,38.9581
5.625,-120.223,39.19109
0.125,-119.8581,39.24089
3.5,-120.2885,39.4738
0.625,-119.9218,39.5239
26.125,-120.4549,38.57567
5.875,-120.094,38.62627
37.125,-120.5208,38.8577
10.0,-120.1582,38.90858
1.125,-119.795,38.9581
6.625,-120.223,39.19109
0.5,-119.8581,39.24089
4.875,-120.2885,39.4738
0.5,-119.9218,39.5239
20.125,-120.4549,38.57567
3.625,-120.094,38.62627
21.75,-120.5208,38.8577
10.0,-120.1582,38.90858
2.0,-119.795,38.9581
14.625,-120.223,39.19109
2.875,-119.8581,39.24089
13.375,-120.2885,39.4738
6.0,-119.9218,39.5239
86.125,-120.4549,38.57567
19.25,-120.094,38.62627
93.375,-120.5208,38.8577
63.0,-120.1582,38.90858
39.0,-119.795,38.9581
60.875,-120.223,39.19109
44.5,-119.8581,39.24089
49.5,-120.2885,39.4738
44.25,-119.9218,39.5239
25.875,-120.4549,38.57567
5.125,-120.094,38.62627
31.75,-120.5208,38.8577
12.375,-120.1582,38.90858
2.25,-119.795,38.9581
13.125,-120.223,39.19109
4.5,-119.8581,39.24089
6.0,-120.2885,39.4738
2.0,-119.9218,39.5239
2.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.5,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
1.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.5,-120.2885,39.4738
0.25,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
63.0,-120.4549,38.57567
14.875,-120.094,38.62627
70.875,-120.5208,38.8577
58.625,-120.1582,38.90858
48.375,-119.795,38.9581
59.125,-120.223,39.19109
54.625,-119.8581,39.24089
59.5,-120.2885,39.4738
57.125,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
45.625,-120.4549,38.57567
10.875,-120.094,38.62627
48.375,-120.5208,38.8577
42.125,-120.1582,38.90858
32.375,-119.795,38.9581
43.75,-120.223,39.19109
36.625,-119.8581,39.24089
42.5,-120.2885,39.4738
38.0,-119.9218,39.5239
86.125,-120.4549,38.57567
22.0,-120.094,38.62627
95.75,-120.5208,38.8577
64.875,-120.1582,38.90858
50.625,-119.795,38.9581
69.5,-120.223,39.19109
59.625,-119.8581,39.24089
65.25,-120.2885,39.4738
57.375,-119.9218,39.5239
61.75,-120.4549,38.57567
21.0,-120.094,38.62627
63.75,-120.5208,38.8577
34.0,-120.1582,38.90858
61.75,-119.795,38.9581
37.25,-120.223,39.19109
75.0,-119.8581,39.24089
27.0,-120.2885,39.4738
64.125,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.125,-120.1582,38.90858
0.0,-119.795,38.9581
1.0,-120.223,39.19109
0.125,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
0.125,-120.4549,38.57567
0.125,-120.094,38.62627
0.125,-120.5208,38.8577
0.25,-120.1582,38.90858
1.625,-119.795,38.9581
0.125,-120.223,39.19109
1.625,-119.8581,39.24089
0.25,-120.2885,39.4738
15.25,-119.9218,39.5239
0.125,-120.4549,38.57567
0.625,-120.094,38.62627
0.125,-120.5208,38.8577
0.875,-120.1582,38.90858
8.625,-119.795,38.9581
0.25,-120.223,39.19109
3.375,-119.8581,39.24089
0.25,-120.2885,39.4738
17.5,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
