wcconv,lon,lat
0.29791832,-120.4549,38.57567
0.36941826,-120.094,38.62627
0.31471825,-120.5208,38.8577
0.3380183,-120.1582,38.90858
0.18901837,-119.795,38.9581
0.36271816,-120.223,39.19109
0.16291833,-119.8581,39.24089
0.48186833,-120.2885,39.4738
0.16454327,-119.9218,39.5239
-0.2358425,-120.4549,38.57567
-0.011142343,-120.094,38.62627
-0.3790675,-120.5208,38.8577
0.32665753,-120.1582,38.90858
0.5314826,-119.795,38.9581
0.44228256,-120.223,39.19109
0.40178245,-119.8581,39.24089
0.64963263,-120.2885,39.4738
0.44913256,-119.9218,39.5239
-0.032822847,-120.4549,38.57567
0.8060273,-120.094,38.62627
0.05732721,-120.5208,38.8577
1.3169271,-120.1582,38.90858
1.646102,-119.795,38.9581
1.2072021,-120.223,39.19109
1.2375023,-119.8581,39.24089
1.3789523,-120.2885,39.4738
1.4210773,-119.9218,39.5239
-0.21420908,-120.4549,38.57567
0.7101159,-120.094,38.62627
-0.45483404,-120.5208,38.8577
0.82731587,-120.1582,38.90858
0.74904084,-119.795,38.9581
0.5632909,-120.223,39.19109
0.7114659,-119.8581,39.24089
0.69806594,-120.2885,39.4738
0.939616,-119.9218,39.5239
0.044079065,-120.4549,38.57567
0.061503887,-120.094,38.62627
0.0962289,-120.5208,38.8577
0.04602897,-120.1582,38.90858
0.024253905,-119.795,38.9581
0.07510388,-120.223,39.19109
0.05175394,-119.8581,39.24089
0.08192885,-120.2885,39.4738
0.041503906,-119.9218,39.5239
0.062403917,-120.4549,38.57567
0.08685386,-120.094,38.62627
0.11600387,-120.5208,38.8577
0.08117908,-120.1582,38.90858
0.053228855,-119.795,38.9581
0.07307893,-120.223,39.19109
0.04697895,-119.8581,39.24089
0.0795539,-120.2885,39.4738
0.064003944,-119.9218,39.5239
0.31395966,-120.4549,38.57567
0.27960968,-120.094,38.62627
0.24040961,-120.5208,38.8577
0.2757097,-120.1582,38.90858
0.29075962,-119.795,38.9581
0.31033456,-120.223,39.19109
0.27300966,-119.8581,39.24089
0.3925597,-120.2885,39.4738
0.28748465,-119.9218,39.5239
-0.21007502,-120.4549,38.57567
0.16692495,-120.094,38.62627
-0.504425,-120.5208,38.8577
0.13662499,-120.1582,38.90858
0.53534997,-119.795,38.9581
-0.043625027,-120.223,39.19109
0.27787495,-119.8581,39.24089
0.6222499,-120.2885,39.4738
0.70567495,-119.9218,39.5239
-0.1858207,-120.4549,38.57567
0.8892793,-120.094,38.62627
0.22057927,-120.5208,38.8577
0.7119042,-120.1582,38.90858
0.8079292,-119.795,38.9581
0.37127924,-120.223,39.19109
0.5368793,-119.8581,39.24089
0.15590417,-120.2885,39.4738
0.3291793,-119.9218,39.5239
-0.4875541,-120.4549,38.57567
-0.23440412,-120.094,38.62627
-0.41147906,-120.5208,38.8577
-0.08977911,-120.1582,38.90858
0.034295887,-119.795,38.9581
-0.09385416,-120.223,39.19109
-0.07810411,-119.8581,39.24089
0.084095925,-120.2885,39.4738
0.056420833,-119.9218,39.5239
-0.09204888,-120.4549,38.57567
0.40235114,-120.094,38.62627
-0.07549882,-120.5208,38.8577
0.39395124,-120.1582,38.90858
0.47422606,-119.795,38.9581
0.3115012,-120.223,39.19109
0.43347615,-119.8581,39.24089
0.30607617,-120.2885,39.4738
0.32990122,-119.9218,39.5239
-0.6082696,-120.4549,38.57567
-0.11676955,-120.094,38.62627
-0.4198945,-120.5208,38.8577
-0.22846952,-120.1582,38.90858
