wvuflx,lon,lat
783060.56,-120.5208,38.8577
754435.56,-120.1582,38.90858
724560.56,-119.795,38.9581
753810.56,-120.223,39.19109
721310.56,-119.8581,39.24089
750810.56,-120.2885,39.4738
707935.56,-119.9218,39.5239
601416.94,-120.4549,38.57567
604666.94,-120.094,38.62627
661666.94,-120.5208,38.8577
647541.94,-120.1582,38.90858
613541.94,-119.795,38.9581
672041.94,-120.223,39.19109
637791.94,-119.8581,39.24089
691416.94,-120.2885,39.4738
645291.94,-119.9218,39.5239
596376.94,-120.4549,38.57567
635376.94,-120.094,38.62627
758001.94,-120.5208,38.8577
775626.94,-120.1582,38.90858
743126.94,-119.795,38.9581
904251.94,-120.223,39.19109
877126.94,-119.8581,39.24089
1044876.94,-120.2885,39.4738
992626.94,-119.9218,39.5239
618766.7,-120.4549,38.57567
611641.7,-120.094,38.62627
745391.7,-120.5208,38.8577
690516.7,-120.1582,38.90858
609266.7,-119.795,38.9581
760266.7,-120.223,39.19109
657891.7,-119.8581,39.24089
820141.7,-120.2885,39.4738
698391.7,-119.9218,39.5239
846397.0,-120.4549,38.57567
858022.0,-120.094,38.62627
934522.0,-120.5208,38.8577
958772.0,-120.1582,38.90858
952772.0,-119.795,38.9581
992522.0,-120.223,39.19109
995647.0,-119.8581,39.24089
1015022.0,-120.2885,39.4738
991272.0,-119.9218,39.5239
1611121.1,-120.4549,38.57567
1509371.1,-120.094,38.62627
1693121.0,-120.5208,38.8577
1612246.1,-120.1582,38.90858
1534496.1,-119.795,38.9581
1685621.0,-120.223,39.19109
1608996.1,-119.8581,39.24089
1763746.0,-120.2885,39.4738
1680371.1,-119.9218,39.5239
1342249.5,-120.4549,38.57567
1288999.5,-120.094,38.62627
1452624.5,-120.5208,38.8577
1440124.5,-120.1582,38.90858
1439749.5,-119.795,38.9581
1592749.5,-120.223,39.19109
1593999.5,-119.8581,39.24089
1761249.5,-120.2885,39.4738
1751499.5,-119.9218,39.5239
654525.4,-120.4549,38.57567
626900.4,-120.094,38.62627
723400.4,-120.5208,38.8577
687775.4,-120.1582,38.90858
648275.4,-119.795,38.9581
751150.4,-120.223,39.19109
704275.4,-119.8581,39.24089
832900.4,-120.2885,39.4738
779025.4,-119.9218,39.5239
1377857.9,-120.4549,38.57567
1373357.9,-120.094,38.62627
1473607.9,-120.5208,38.8577
1507857.9,-120.1582,38.90858
1543107.9,-119.795,38.9581
1563482.9,-120.223,39.19109
1606357.9,-119.8581,39.24089
1579232.9,-120.2885,39.4738
1608607.9,-119.9218,39.5239
416379.38,-120.4549,38.57567
438379.38,-120.094,38.62627
447629.38,-120.5208,38.8577
479129.38,-120.1582,38.90858
484129.38,-119.795,38.9581
510004.38,-120.223,39.19109
496879.38,-119.8581,39.24089
518504.38,-120.2885,39.4738
490629.38,-119.9218,39.5239
1135270.0,-120.4549,38.57567
1097645.0,-120.094,38.62627
1170020.0,-120.5208,38.8577
1149395.0,-120.1582,38.90858
1132020.0,-119.795,38.9581
1168020.0,-120.223,39.19109
1151395.0,-119.8581,39.24089
1185145.0,-120.2885,39.4738
1155770.0,-119.9218,39.5239
1292871.5,-120.4549,38.57567
1229496.5,-120.094,38.62627
1412871.5,-120.5208,38.8577
1384121.5,-120.1582,38.90858
1396621.5,-119.795,38.9581
1453496.5,-120.223,39.19109
1461621.5,-119.8581,39.24089
1481621.5,-120.2885,39.4738
1475871.5,-119.9218,39.5239
344040.94,-120.4549,38.57567
331290.94,-120.094,38.62627
324790.94,-120.5208,38.8577
353415.94,-120.1582,38.90858
405915.94,-119.795,38.9581
330665.94,-120.223,39.19109
398665.94,-119.8581,39.24089
311165.94,-120.2885,39.4738
402915.94,-119.9218,39.5239
198272.5,-120.4549,38.57567
171647.5,-120.094,38.62627
194897.5,-120.5208,38.8577
181022.5,-120.1582,38.90858
184397.5,-119.795,38.9581
193147.5,-120.223,39.19109
192022.5,-119.8581,39.24089
203772.5,-120.2885,39.4738
214272.5,-119.9218,39.5239
300588.38,-120.4549,38.57567
282713.38,-120.094,38.62627
285088.38,-120.5208,38.8577
284588.38,-120.1582,38.90858
304463.38,-119.795,38.9581
283963.38,-120.223,39.19109
300463.38,-119.8581,39.24089
286213.38,-120.2885,39.4738
320338.38,-119.9218,39.5239
-148685.56,-120.4549,38.57567
-147310.56,-120.094,38.62627
-194435.56,-120.5208,38.8577
-187685.56,-120.1582,38.90858
-163935.56,-119.795,38.9581
-201435.56,-120.223,39.19109
-176310.56,-119.8581,39.24089
-202435.56,-120.2885,39.4738
-166060.56,-119.9218,39.5239
-272574.2,-120.4549,38.57567
-278074.2,-120.094,38.62627
-290074.2,-120.5208,38.8577
-280574.2,-120.1582,38.90858
-241824.19,-119.795,38.9581
-250324.19,-120.223,39.19109
-212574.19,-119.8581,39.24089
-200574.19,-120.2885,39.4738
-156824.19,-119.9218,39.5239
375843.75,-120.4549,38.57567
364093.75,-120.094,38.62627
446218.75,-120.5208,38.8577
467343.75,-120.1582,38.90858
522968.75,-119.795,38.9581
564843.75,-120.223,39.19109
618343.75,-119.8581,39.24089
669718.75,-120.2885,39.4738
749593.75,-119.9218,39.5239
204595.12,-120.4549,38.57567
183845.12,-120.094,38.62627
164970.12,-120.5208,38.8577
164845.12,-120.1582,38.90858
182220.12,-119.795,38.9581
145720.12,-120.223,39.19109
163220.12,-119.8581,39.24089
131470.12,-120.2885,39.4738
161595.12,-119.9218,39.5239
-217329.62,-120.4549,38.57567
-216579.62,-120.094,38.62627
-257079.62,-120.5208,38.8577
-257829.62,-120.1582,38.90858
-253954.62,-119.795,38.9581
-278829.62,-120.223,39.19109
-272579.62,-119.8581,39.24089
-288454.62,-120.2885,39.4738
-281704.62,-119.9218,39.5239
-194546.38,-120.4549,38.57567
-215796.38,-120.094,38.62627
-217671.38,-120.5208,38.8577
-234546.38,-120.1582,38.90858
-233296.38,-119.795,38.9581
-232546.38,-120.223,39.19109
-232421.38,-119.8581,39.24089
-218421.38,-120.2885,39.4738
-224671.38,-119.9218,39.5239
164540.19,-120.4549,38.57567
159290.19,-120.094,38.62627
198915.19,-120.5208,38.8577
195790.19,-120.1582,38.90858
207790.19,-119.795,38.9581
236040.19,-120.223,39.19109
245165.19,-119.8581,39.24089
279415.2,-120.2885,39.4738
277915.2,-119.9218,39.5239
359773.5,-120.4549,38.57567
363648.5,-120.094,38.62627
411273.5,-120.5208,38.8577
401023.5,-120.1582,38.90858
387398.5,-119.795,38.9581
443148.5,-120.223,39.19109
423898.5,-119.8581,39.24089
490398.5,-120.2885,39.4738
460523.5,-119.9218,39.5239
495786.12,-120.4549,38.57567
526036.1,-120.094,38.62627
542786.1,-120.5208,38.8577
551411.1,-120.1582,38.90858
532036.1,-119.795,38.9581
556286.1,-120.223,39.19109
537036.1,-119.8581,39.24089
556161.1,-120.2885,39.4738
525036.1,-119.9218,39.5239
786794.94,-120.4549,38.57567
758419.94,-120.094,38.62627
863044.94,-120.5208,38.8577
845919.94,-120.1582,38.90858
836794.94,-119.795,38.9581
879419.94,-120.223,39.19109
879919.94,-119.8581,39.24089
903794.94,-120.2885,39.4738
898669.94,-119.9218,39.5239
1890085.9,-120.4549,38.57567
1873460.9,-120.094,38.62627
1970960.9,-120.5208,38.8577
2023585.9,-120.1582,38.90858
2074960.9,-119.795,38.9581
2064710.9,-120.223,39.19109
2136836.0,-119.8581,39.24089
2057585.9,-120.2885,39.4738
2124836.0,-119.9218,39.5239
522723.12,-120.4549,38.57567
567973.1,-120.094,38.62627
600348.1,-120.5208,38.8577
610348.1,-120.1582,38.90858
577973.1,-119.795,38.9581
639973.1,-120.223,39.19109
606723.1,-119.8581,39.24089
664348.1,-120.2885,39.4738
608223.1,-119.9218,39.5239
730727.56,-120.4549,38.57567
800227.56,-120.094,38.62627
815602.56,-120.5208,38.8577
880977.56,-120.1582,38.90858
884352.56,-119.795,38.9581
892852.56,-120.223,39.19109
919477.56,-119.8581,39.24089
888227.56,-120.2885,39.4738
900352.56,-119.9218,39.5239
331418.44,-120.4549,38.57567
366168.44,-120.094,38.62627
374543.44,-120.5208,38.8577
399918.44,-120.1582,38.90858
391293.44,-119.795,38.9581
418793.44,-120.223,39.19109
407793.44,-119.8581,39.24089
439043.44,-120.2885,39.4738
409168.44,-119.9218,39.5239
52897.438,-120.4549,38.57567
91397.44,-120.094,38.62627
67772.44,-120.5208,38.8577
87147.44,-120.1582,38.90858
85897.44,-119.795,38.9581
85522.44,-120.223,39.19109
81022.44,-119.8581,39.24089
85022.44,-120.2885,39.4738
64772.438,-119.9218,39.5239
-398840.88,-120.4549,38.57567
-301965.88,-120.094,38.62627
-383965.88,-120.5208,38.8577
-302465.88,-120.1582,38.90858
-269715.88,-119.795,38.9581
-287340.88,-120.223,39.19109
-253965.88,-119.8581,39.24089
-260590.88,-120.2885,39.4738
-251840.88,-119.9218,39.5239
-191374.5,-120.4549,38.57567
-162249.5,-120.094,38.62627
-194874.5,-120.5208,38.8577
-186374.5,-120.1582,38.90858
-196749.5,-119.795,38.9581
-198499.5,-120.223,39.19109
-208124.5,-119.8581,39.24089
-203374.5,-120.2885,39.4738
-227749.5,-119.9218,39.5239
-195123.5,-120.4549,38.57567
-136873.5,-120.094,38.62627
