mcdc,lon,lat
8.5,-120.094,38.62627
10.5,-120.5208,38.8577
9.625,-120.1582,38.90858
9.75,-119.795,38.9581
9.625,-120.223,39.19109
12.25,-119.8581,39.24089
6.75,-120.2885,39.4738
8.875,-119.9218,39.5239
32.125,-120.4549,38.57567
30.375,-120.094,38.62627
36.125,-120.5208,38.8577
32.0,-120.1582,38.90858
29.5,-119.795,38.9581
33.5,-120.223,39.19109
30.5,-119.8581,39.24089
35.125,-120.2885,39.4738
33.375,-119.9218,39.5239
40.625,-120.4549,38.57567
16.875,-120.094,38.62627
39.875,-120.5208,38.8577
20.5,-120.1582,38.90858
8.75,-119.795,38.9581
21.875,-120.223,39.19109
11.0,-119.8581,39.24089
16.625,-120.2885,39.4738
14.625,-119.9218,39.5239
0.5,-120.4549,38.57567
2.0,-120.094,38.62627
1.875,-120.5208,38.8577
2.0,-120.1582,38.90858
6.0,-119.795,38.9581
6.0,-120.223,39.19109
6.375,-119.8581,39.24089
10.25,-120.2885,39.4738
13.375,-119.9218,39.5239
27.5,-120.4549,38.57567
11.875,-120.094,38.62627
26.875,-120.5208,38.8577
14.75,-120.1582,38.90858
7.875,-119.795,38.9581
15.375,-120.223,39.19109
13.0,-119.8581,39.24089
11.75,-120.2885,39.4738
13.25,-119.9218,39.5239
61.0,-120.4549,38.57567
45.5,-120.094,38.62627
59.25,-120.5208,38.8577
51.875,-120.1582,38.90858
40.625,-119.795,38.9581
53.25,-120.223,39.19109
40.25,-119.8581,39.24089
48.5,-120.2885,39.4738
41.25,-119.9218,39.5239
49.625,-120.4549,38.57567
46.25,-120.094,38.62627
51.25,-120.5208,38.8577
48.25,-120.1582,38.90858
47.125,-119.795,38.9581
48.375,-120.223,39.19109
48.5,-119.8581,39.24089
47.25,-120.2885,39.4738
48.5,-119.9218,39.5239
47.5,-120.4549,38.57567
45.875,-120.094,38.62627
49.375,-120.5208,38.8577
45.125,-120.1582,38.90858
41.375,-119.795,38.9581
43.75,-120.223,39.19109
40.625,-119.8581,39.24089
45.375,-120.2885,39.4738
41.75,-119.9218,39.5239
19.5,-120.4549,38.57567
11.125,-120.094,38.62627
19.375,-120.5208,38.8577
11.5,-120.1582,38.90858
8.625,-119.795,38.9581
11.75,-120.223,39.19109
9.0,-119.8581,39.24089
12.375,-120.2885,39.4738
10.0,-119.9218,39.5239
56.875,-120.4549,38.57567
44.875,-120.094,38.62627
52.125,-120.5208,38.8577
40.0,-120.1582,38.90858
