weasd,lon,lat
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0009765625,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
20.623047,-120.094,38.62627
0.0,-120.5208,38.8577
7.567383,-120.1582,38.90858
0.53808594,-119.795,38.9581
3.2353516,-120.223,39.19109
0.55371094,-119.8581,39.24089
4.8046875,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
8.717773,-120.094,38.62627
0.0,-120.5208,38.8577
4.5703125,-120.1582,38.90858
1.0820312,-119.795,38.9581
2.7128906,-120.223,39.19109
1.0371094,-119.8581,39.24089
3.828125,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
10.009766,-120.094,38.62627
0.0,-120.5208,38.8577
2.2958984,-120.1582,38.90858
8.270508,-119.795,38.9581
0.98535156,-120.223,39.19109
0.0,-119.8581,39.24089
0.013671875,-120.2885,39.4738
0.0,-119.9218,39.5239
11.379883,-120.4549,38.57567
10.341797,-120.094,38.62627
1.2675781,-120.5208,38.8577
6.013672,-120.1582,38.90858
10.151367,-119.795,38.9581
1.8105469,-120.223,39.19109
2.1113281,-119.8581,39.24089
0.8105469,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
8.417969,-120.094,38.62627
0.0,-120.5208,38.8577
3.6923828,-120.1582,38.90858
8.205078,-119.795,38.9581
1.8193359,-120.223,39.19109
0.0,-119.8581,39.24089
1.8378906,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
8.202148,-120.094,38.62627
0.0,-120.5208,38.8577
3.6289062,-120.1582,38.90858
7.716797,-119.795,38.9581
1.4697266,-120.223,39.19109
0.0,-119.8581,39.24089
1.7451172,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
8.142578,-120.094,38.62627
0.0,-120.5208,38.8577
3.6582031,-120.1582,38.90858
6.6708984,-119.795,38.9581
0.9013672,-120.223,39.19109
0.0,-119.8581,39.24089
0.7675781,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
15.56543,-120.094,38.62627
0.0,-120.5208,38.8577
6.5439453,-120.1582,38.90858
3.2617188,-119.795,38.9581
1.7324219,-120.223,39.19109
0.0029296875,-119.8581,39.24089
4.051758,-120.2885,39.4738
0.0029296875,-119.9218,39.5239
17.861328,-120.4549,38.57567
44.84375,-120.094,38.62627
5.8564453,-120.5208,38.8577
17.649414,-120.1582,38.90858
24.59961,-119.795,38.9581
8.388672,-120.223,39.19109
10.232422,-119.8581,39.24089
14.231445,-120.2885,39.4738
0.0,-119.9218,39.5239
26.761719,-120.4549,38.57567
49.762695,-120.094,38.62627
11.287109,-120.5208,38.8577
17.864258,-120.1582,38.90858
26.518555,-119.795,38.9581
8.3515625,-120.223,39.19109
10.952148,-119.8581,39.24089
11.258789,-120.2885,39.4738
0.043945312,-119.9218,39.5239
45.493164,-120.4549,38.57567
64.643555,-120.094,38.62627
12.744141,-120.5208,38.8577
3.0791016,-120.1582,38.90858
34.854492,-119.795,38.9581
20.739258,-120.223,39.19109
13.314453,-119.8581,39.24089
10.59375,-120.2885,39.4738
0.0,-119.9218,39.5239
40.145508,-120.4549,38.57567
68.177734,-120.094,38.62627
7.4091797,-120.5208,38.8577
12.928711,-120.1582,38.90858
38.112305,-119.795,38.9581
10.183594,-120.223,39.19109
15.160156,-119.8581,39.24089
10.063477,-120.2885,39.4738
0.0,-119.9218,39.5239
33.49707,-120.4549,38.57567
66.35547,-120.094,38.62627
7.3896484,-120.5208,38.8577
13.566406,-120.1582,38.90858
37.945312,-119.795,38.9581
5.5195312,-120.223,39.19109
13.7578125,-119.8581,39.24089
7.770508,-120.2885,39.4738
0.0,-119.9218,39.5239
1.7519531,-120.4549,38.57567
63.589844,-120.094,38.62627
0.0,-120.5208,38.8577
11.266602,-120.1582,38.90858
35.47461,-119.795,38.9581
3.46875,-120.223,39.19109
10.823242,-119.8581,39.24089
7.051758,-120.2885,39.4738
2.9394531,-119.9218,39.5239
22.336914,-120.4549,38.57567
64.08301,-120.094,38.62627
7.5166016,-120.5208,38.8577
13.875,-120.1582,38.90858
39.3125,-119.795,38.9581
4.071289,-120.223,39.19109
11.392578,-119.8581,39.24089
6.352539,-120.2885,39.4738
2.6445312,-119.9218,39.5239
28.25,-120.4549,38.57567
57.507812,-120.094,38.62627
0.0,-120.5208,38.8577
11.389648,-120.1582,38.90858
38.375977,-119.795,38.9581
10.447266,-120.223,39.19109
8.193359,-119.8581,39.24089
7.2216797,-120.2885,39.4738
0.8808594,-119.9218,39.5239
20.338867,-120.4549,38.57567
50.75293,-120.094,38.62627
0.0,-120.5208,38.8577
8.62207,-120.1582,38.90858
34.75,-119.795,38.9581
6.151367,-120.223,39.19109
6.6259766,-119.8581,39.24089
6.2158203,-120.2885,39.4738
0.99609375,-119.9218,39.5239
14.008789,-120.4549,38.57567
45.533203,-120.094,38.62627
0.0068359375,-120.5208,38.8577
10.833008,-120.1582,38.90858
32.22754,-119.795,38.9581
5.4658203,-120.223,39.19109
6.390625,-119.8581,39.24089
7.461914,-120.2885,39.4738
0.047851562,-119.9218,39.5239
16.326172,-120.4549,38.57567
39.782227,-120.094,38.62627
5.029297,-120.5208,38.8577
9.238281,-120.1582,38.90858
26.980469,-119.795,38.9581
5.4814453,-120.223,39.19109
13.161133,-119.8581,39.24089
6.3603516,-120.2885,39.4738
0.90234375,-119.9218,39.5239
16.570312,-120.4549,38.57567
36.976562,-120.094,38.62627
5.0996094,-120.5208,38.8577
8.167969,-120.1582,38.90858
23.757812,-119.795,38.9581
5.1708984,-120.223,39.19109
10.68457,-119.8581,39.24089
3.6591797,-120.2885,39.4738
0.0,-119.9218,39.5239
14.496094,-120.4549,38.57567
29.892578,-120.094,38.62627
0.0048828125,-120.5208,38.8577
6.5341797,-120.1582,38.90858
17.780273,-119.795,38.9581
3.1425781,-120.223,39.19109
7.588867,-119.8581,39.24089
3.2490234,-120.2885,39.4738
0.022460938,-119.9218,39.5239
14.391602,-120.4549,38.57567
29.925781,-120.094,38.62627
0.0,-120.5208,38.8577
7.828125,-120.1582,38.90858
15.7734375,-119.795,38.9581
4.3945312,-120.223,39.19109
3.696289,-119.8581,39.24089
3.5390625,-120.2885,39.4738
0.0,-119.9218,39.5239
7.1933594,-120.4549,38.57567
37.757812,-120.094,38.62627
0.0,-120.5208,38.8577
13.642578,-120.1582,38.90858
37.61914,-119.795,38.9581
4.727539,-120.223,39.19109
13.458008,-119.8581,39.24089
5.7910156,-120.2885,39.4738
0.0,-119.9218,39.5239
5.116211,-120.4549,38.57567
32.120117,-120.094,38.62627
0.0,-120.5208,38.8577
9.870117,-120.1582,38.90858
27.739258,-119.795,38.9581
4.9033203,-120.223,39.19109
3.6757812,-119.8581,39.24089
2.3300781,-120.2885,39.4738
0.030273438,-119.9218,39.5239
5.600586,-120.4549,38.57567
31.17871,-120.094,38.62627
0.0,-120.5208,38.8577
6.935547,-120.1582,38.90858
24.657227,-119.795,38.9581
3.3232422,-120.223,39.19109
2.024414,-119.8581,39.24089
0.7080078,-120.2885,39.4738
0.0,-119.9218,39.5239
4.4970703,-120.4549,38.57567
27.013672,-120.094,38.62627
0.0,-120.5208,38.8577
7.2177734,-120.1582,38.90858
18.16211,-119.795,38.9581
2.8984375,-120.223,39.19109
2.1894531,-119.8581,39.24089
3.0478516,-120.2885,39.4738
0.00390625,-119.9218,39.5239
13.790039,-120.4549,38.57567
30.216797,-120.094,38.62627
0.0029296875,-120.5208,38.8577
