wvvflx,lon,lat
-353481.06,-120.2885,39.4738
-373106.06,-119.9218,39.5239
-423996.62,-120.4549,38.57567
-427746.62,-120.094,38.62627
-414871.62,-120.5208,38.8577
-414121.62,-120.1582,38.90858
-416746.62,-119.795,38.9581
-400371.62,-120.223,39.19109
-397871.62,-119.8581,39.24089
-383496.62,-120.2885,39.4738
-372371.62,-119.9218,39.5239
1207905.0,-120.4549,38.57567
925279.94,-120.094,38.62627
1237655.0,-120.5208,38.8577
981655.0,-120.1582,38.90858
838404.94,-119.795,38.9581
1039405.0,-120.223,39.19109
892904.94,-119.8581,39.24089
1086530.0,-120.2885,39.4738
963154.94,-119.9218,39.5239
936965.06,-120.4549,38.57567
622590.06,-120.094,38.62627
975465.06,-120.5208,38.8577
693215.06,-120.1582,38.90858
540215.06,-119.795,38.9581
756215.06,-120.223,39.19109
610965.06,-119.8581,39.24089
813215.06,-120.2885,39.4738
682715.06,-119.9218,39.5239
1505994.0,-120.4549,38.57567
1018119.1,-120.094,38.62627
1609369.0,-120.5208,38.8577
1139869.1,-120.1582,38.90858
917494.1,-119.795,38.9581
1287244.1,-120.223,39.19109
1031619.1,-119.8581,39.24089
1420994.0,-120.2885,39.4738
1179494.1,-119.9218,39.5239
1012624.5,-120.4549,38.57567
769999.6,-120.094,38.62627
1021499.5,-120.5208,38.8577
810999.6,-120.1582,38.90858
739624.6,-119.795,38.9581
848374.6,-120.223,39.19109
788499.6,-119.8581,39.24089
873874.6,-120.2885,39.4738
840624.6,-119.9218,39.5239
-471610.84,-120.4549,38.57567
-534860.9,-120.094,38.62627
-374985.84,-120.5208,38.8577
-467485.84,-120.1582,38.90858
-519860.84,-119.795,38.9581
-403235.84,-120.223,39.19109
-466610.84,-119.8581,39.24089
-337735.84,-120.2885,39.4738
-405860.84,-119.9218,39.5239
-448390.6,-120.4549,38.57567
-448015.6,-120.094,38.62627
-406265.6,-120.5208,38.8577
-452265.6,-120.1582,38.90858
-515390.6,-119.795,38.9581
-457140.6,-120.223,39.19109
-532515.6,-119.8581,39.24089
-448390.6,-120.2885,39.4738
-533515.5,-119.9218,39.5239
555707.75,-120.4549,38.57567
399582.72,-120.094,38.62627
585832.75,-120.5208,38.8577
431457.72,-120.1582,38.90858
334832.72,-119.795,38.9581
468832.72,-120.223,39.19109
365207.72,-119.8581,39.24089
506457.72,-120.2885,39.4738
411082.72,-119.9218,39.5239
771239.4,-120.4549,38.57567
627739.44,-120.094,38.62627
818614.4,-120.5208,38.8577
666489.44,-120.1582,38.90858
551989.44,-119.795,38.9581
680989.44,-120.223,39.19109
566989.44,-119.8581,39.24089
678864.44,-120.2885,39.4738
570364.44,-119.9218,39.5239
-126514.19,-120.4549,38.57567
-135764.19,-120.094,38.62627
-139889.19,-120.5208,38.8577
-152639.19,-120.1582,38.90858
-152764.19,-119.795,38.9581
-159139.19,-120.223,39.19109
-154639.19,-119.8581,39.24089
-145139.19,-120.2885,39.4738
-138639.19,-119.9218,39.5239
15184.5625,-120.4549,38.57567
-5940.4375,-120.094,38.62627
46684.562,-120.5208,38.8577
12434.5625,-120.1582,38.90858
-15940.4375,-119.795,38.9581
26559.562,-120.223,39.19109
-440.4375,-119.8581,39.24089
45934.562,-120.2885,39.4738
24059.562,-119.9218,39.5239
107082.84,-120.4549,38.57567
33707.844,-120.094,38.62627
197957.84,-120.5208,38.8577
92957.84,-120.1582,38.90858
5457.8438,-119.795,38.9581
134207.84,-120.223,39.19109
42707.844,-119.8581,39.24089
157082.84,-120.2885,39.4738
54332.844,-119.9218,39.5239
-508156.12,-120.4549,38.57567
-386331.12,-120.094,38.62627
-527681.1,-120.5208,38.8577
-443656.12,-120.1582,38.90858
-377631.12,-119.795,38.9581
-504481.12,-120.223,39.19109
-449656.12,-119.8581,39.24089
-556656.1,-120.2885,39.4738
-543831.1,-119.9218,39.5239
-691044.75,-120.4549,38.57567
-599444.75,-120.094,38.62627
-679894.75,-120.5208,38.8577
-613169.75,-120.1582,38.90858
-575644.75,-119.795,38.9581
-619494.75,-120.223,39.19109
-587319.75,-119.8581,39.24089
-617769.75,-120.2885,39.4738
-600294.75,-119.9218,39.5239
-729286.56,-120.4549,38.57567
-591786.5,-120.094,38.62627
-727786.56,-120.5208,38.8577
-622786.56,-120.1582,38.90858
-570786.5,-119.795,38.9581
-646536.56,-120.223,39.19109
-599161.5,-119.8581,39.24089
-667536.56,-120.2885,39.4738
-634411.56,-119.9218,39.5239
-646315.9,-120.4549,38.57567
-539440.9,-120.094,38.62627
-680315.9,-120.5208,38.8577
-578565.9,-120.1582,38.90858
-529690.9,-119.795,38.9581
-625815.9,-120.223,39.19109
-574940.9,-119.8581,39.24089
-669565.9,-120.2885,39.4738
-632440.9,-119.9218,39.5239
-1097217.6,-120.4549,38.57567
-984717.6,-120.094,38.62627
-1140592.6,-120.5208,38.8577
-1051092.6,-120.1582,38.90858
-1013092.6,-119.795,38.9581
-1116467.6,-120.223,39.19109
-1084592.6,-119.8581,39.24089
-1173842.6,-120.2885,39.4738
-1155342.6,-119.9218,39.5239
-781599.1,-120.4549,38.57567
-657974.1,-120.094,38.62627
-776849.1,-120.5208,38.8577
-710849.1,-120.1582,38.90858
-712599.1,-119.795,38.9581
-761599.1,-120.223,39.19109
-777724.1,-119.8581,39.24089
-811474.1,-120.2885,39.4738
-849724.1,-119.9218,39.5239
-781065.9,-120.4549,38.57567
-682815.9,-120.094,38.62627
-770440.9,-120.5208,38.8577
-675440.9,-120.1582,38.90858
-633565.9,-119.795,38.9581
-690565.9,-120.223,39.19109
-642940.9,-119.8581,39.24089
-707065.9,-120.2885,39.4738
-671190.9,-119.9218,39.5239
-472192.84,-120.4549,38.57567
-452317.84,-120.094,38.62627
-506192.84,-120.5208,38.8577
-479692.84,-120.1582,38.90858
-467067.84,-119.795,38.9581
-515192.84,-120.223,39.19109
-501317.84,-119.8581,39.24089
-550442.9,-120.2885,39.4738
-540067.9,-119.9218,39.5239
-673228.56,-120.4549,38.57567
-606478.5,-120.094,38.62627
-667728.56,-120.5208,38.8577
-614978.5,-120.1582,38.90858
-590603.5,-119.795,38.9581
-620978.5,-120.223,39.19109
-600353.5,-119.8581,39.24089
-620853.5,-120.2885,39.4738
-606228.5,-119.9218,39.5239
-227517.72,-120.4549,38.57567
-179517.72,-120.094,38.62627
-224517.72,-120.5208,38.8577
-190267.72,-120.1582,38.90858
-174892.72,-119.795,38.9581
-193267.72,-120.223,39.19109
-183017.72,-119.8581,39.24089
-188767.72,-120.2885,39.4738
-178767.72,-119.9218,39.5239
515705.8,-120.4549,38.57567
429830.8,-120.094,38.62627
535955.8,-120.5208,38.8577
455580.8,-120.1582,38.90858
407580.8,-119.795,38.9581
488330.8,-120.223,39.19109
435830.8,-119.8581,39.24089
525830.8,-120.2885,39.4738
475580.8,-119.9218,39.5239
1592366.5,-120.4549,38.57567
1237116.2,-120.094,38.62627
1562116.5,-120.5208,38.8577
1264866.2,-120.1582,38.90858
1126741.2,-119.795,38.9581
1290366.2,-120.223,39.19109
1153491.2,-119.8581,39.24089
1308991.2,-120.2885,39.4738
1199366.2,-119.9218,39.5239
988874.0,-120.4549,38.57567
713749.0,-120.094,38.62627
1004624.0,-120.5208,38.8577
779749.0,-120.1582,38.90858
703374.0,-119.795,38.9581
830499.0,-120.223,39.19109
759874.0,-119.8581,39.24089
868999.0,-120.2885,39.4738
817374.0,-119.9218,39.5239
882384.56,-120.4549,38.57567
566384.6,-120.094,38.62627
864509.56,-120.5208,38.8577
592134.6,-120.1582,38.90858
446259.6,-119.795,38.9581
584134.6,-120.223,39.19109
447759.6,-119.8581,39.24089
550634.6,-120.2885,39.4738
444384.6,-119.9218,39.5239
1571072.8,-120.4549,38.57567
1128947.8,-120.094,38.62627
1600697.8,-120.5208,38.8577
1208197.8,-120.1582,38.90858
983697.8,-119.795,38.9581
1286447.8,-120.223,39.19109
1056822.8,-119.8581,39.24089
1349947.8,-120.2885,39.4738
1152947.8,-119.9218,39.5239
2284948.0,-120.4549,38.57567
1795948.0,-120.094,38.62627
2244948.0,-120.5208,38.8577
1891073.0,-120.1582,38.90858
1726323.0,-119.795,38.9581
1952698.0,-120.223,39.19109
1831198.0,-119.8581,39.24089
2001073.0,-120.2885,39.4738
1934073.0,-119.9218,39.5239
406139.97,-120.4549,38.57567
250014.97,-120.094,38.62627
418264.97,-120.5208,38.8577
292139.97,-120.1582,38.90858
236514.97,-119.795,38.9581
323764.97,-120.223,39.19109
276889.97,-119.8581,39.24089
346514.97,-120.2885,39.4738
309139.97,-119.9218,39.5239
561971.94,-120.4549,38.57567
345096.94,-120.094,38.62627
533346.94,-120.5208,38.8577
344471.94,-120.1582,38.90858
263721.94,-119.795,38.9581
345721.94,-120.223,39.19109
263971.94,-119.8581,39.24089
338471.94,-120.2885,39.4738
291971.94,-119.9218,39.5239
805746.06,-120.4549,38.57567
543621.1,-120.094,38.62627
758746.06,-120.5208,38.8577
534496.1,-120.1582,38.90858
427121.1,-119.795,38.9581
522496.1,-120.223,39.19109
412871.1,-119.8581,39.24089
497496.1,-120.2885,39.4738
424496.1,-119.9218,39.5239
206029.22,-120.4549,38.57567
82529.22,-120.094,38.62627
183029.22,-120.5208,38.8577
105029.22,-120.1582,38.90858
85779.22,-119.795,38.9581
122404.22,-120.223,39.19109
107154.22,-119.8581,39.24089
136279.22,-120.2885,39.4738
138029.22,-119.9218,39.5239
565595.06,-120.4549,38.57567
435095.06,-120.094,38.62627
494470.06,-120.5208,38.8577
422845.06,-120.1582,38.90858
411595.06,-119.795,38.9581
408345.06,-120.223,39.19109
408970.06,-119.8581,39.24089
390345.06,-120.2885,39.4738
422345.06,-119.9218,39.5239
1147008.5,-120.4549,38.57567
773133.56,-120.094,38.62627
1055258.5,-120.5208,38.8577
782758.56,-120.1582,38.90858
682758.56,-119.795,38.9581
774258.56,-120.223,39.19109
686758.56,-119.8581,39.24089
756883.56,-120.2885,39.4738
709383.56,-119.9218,39.5239
1943558.2,-120.4549,38.57567
1357683.2,-120.094,38.62627
1923933.2,-120.5208,38.8577
1452683.2,-120.1582,38.90858
1244308.2,-119.795,38.9581
1497308.2,-120.223,39.19109
1305558.2,-119.8581,39.24089
1497808.2,-120.2885,39.4738
1369933.2,-119.9218,39.5239
2092968.5,-120.4549,38.57567
1647468.5,-120.094,38.62627
2079593.5,-120.5208,38.8577
1777093.5,-120.1582,38.90858
1650093.5,-119.795,38.9581
1837343.5,-120.223,39.19109
1788343.5,-119.8581,39.24089
1888593.5,-120.2885,39.4738
1876593.5,-119.9218,39.5239
-342247.12,-120.4549,38.57567
-414872.12,-120.094,38.62627
-287497.12,-120.5208,38.8577
-381747.12,-120.1582,38.90858
-439247.12,-119.795,38.9581
-358997.12,-120.223,39.19109
-423497.12,-119.8581,39.24089
-337997.12,-120.2885,39.4738
-399997.12,-119.9218,39.5239
85569.625,-120.4549,38.57567
-79305.375,-120.094,38.62627
220944.62,-120.5208,38.8577
18819.625,-120.1582,38.90858
-106055.375,-119.795,38.9581
106694.625,-120.223,39.19109
-40555.375,-119.8581,39.24089
187819.62,-120.2885,39.4738
33694.625,-119.9218,39.5239
1269734.4,-120.4549,38.57567
1015359.4,-120.094,38.62627
1331234.4,-120.5208,38.8577
1109484.4,-120.1582,38.90858
982109.4,-119.795,38.9581
