dswrf,lon,lat
64.96094,-120.4549,38.57567
132.80469,-120.094,38.62627
74.88281,-120.5208,38.8577
122.69531,-120.1582,38.90858
136.9375,-119.795,38.9581
99.46094,-120.223,39.19109
124.75,-119.8581,39.24089
122.33594,-120.2885,39.4738
122.35156,-119.9218,39.5239
67.75781,-120.4549,38.57567
129.03125,-120.094,38.62627
61.882812,-120.5208,38.8577
98.96875,-120.1582,38.90858
100.69531,-119.795,38.9581
96.05469,-120.223,39.19109
109.609375,-119.8581,39.24089
117.625,-120.2885,39.4738
106.89844,-119.9218,39.5239
47.257812,-120.4549,38.57567
100.5,-120.094,38.62627
49.382812,-120.5208,38.8577
82.78125,-120.1582,38.90858
82.90625,-119.795,38.9581
68.3125,-120.223,39.19109
70.61719,-119.8581,39.24089
77.74219,-120.2885,39.4738
62.976562,-119.9218,39.5239
59.234375,-120.4549,38.57567
131.71875,-120.094,38.62627
64.25781,-120.5208,38.8577
130.35156,-120.1582,38.90858
129.71875,-119.795,38.9581
116.8125,-120.223,39.19109
127.890625,-119.8581,39.24089
125.546875,-120.2885,39.4738
125.890625,-119.9218,39.5239
142.20312,-120.4549,38.57567
145.53906,-120.094,38.62627
137.875,-120.5208,38.8577
142.20312,-120.1582,38.90858
141.26562,-119.795,38.9581
137.99219,-120.223,39.19109
136.54688,-119.8581,39.24089
136.78125,-120.2885,39.4738
128.15625,-119.9218,39.5239
117.546875,-120.4549,38.57567
136.58594,-120.094,38.62627
115.390625,-120.5208,38.8577
127.55469,-120.1582,38.90858
134.32031,-119.795,38.9581
119.82031,-120.223,39.19109
128.02344,-119.8581,39.24089
121.5625,-120.2885,39.4738
118.328125,-119.9218,39.5239
68.984375,-120.4549,38.57567
101.91406,-120.094,38.62627
55.429688,-120.5208,38.8577
92.703125,-120.1582,38.90858
108.46094,-119.795,38.9581
76.71094,-120.223,39.19109
104.21094,-119.8581,39.24089
92.53125,-120.2885,39.4738
95.27344,-119.9218,39.5239
74.10156,-120.4549,38.57567
107.07031,-120.094,38.62627
64.046875,-120.5208,38.8577
108.32031,-120.1582,38.90858
97.49219,-119.795,38.9581
79.5,-120.223,39.19109
94.41406,-119.8581,39.24089
105.53125,-120.2885,39.4738
93.89844,-119.9218,39.5239
87.49219,-120.4549,38.57567
127.66406,-120.094,38.62627
85.359375,-120.5208,38.8577
119.390625,-120.1582,38.90858
112.0,-119.795,38.9581
108.703125,-120.223,39.19109
110.59375,-119.8581,39.24089
113.85156,-120.2885,39.4738
88.99219,-119.9218,39.5239
71.66406,-120.4549,38.57567
135.00781,-120.094,38.62627
56.6875,-120.5208,38.8577
129.50781,-120.1582,38.90858
129.79688,-119.795,38.9581
116.16406,-120.223,39.19109
129.82812,-119.8581,39.24089
130.40625,-120.2885,39.4738
129.47656,-119.9218,39.5239
49.09375,-120.4549,38.57567
99.86719,-120.094,38.62627
49.453125,-120.5208,38.8577
78.72656,-120.1582,38.90858
94.390625,-119.795,38.9581
80.796875,-120.223,39.19109
78.40625,-119.8581,39.24089
68.74219,-120.2885,39.4738
73.65625,-119.9218,39.5239
124.484375,-120.4549,38.57567
126.140625,-120.094,38.62627
107.74219,-120.5208,38.8577
122.41406,-120.1582,38.90858
133.61719,-119.795,38.9581
118.15625,-120.223,39.19109
126.46094,-119.8581,39.24089
129.625,-120.2885,39.4738
105.83594,-119.9218,39.5239
123.00781,-120.4549,38.57567
126.296875,-120.094,38.62627
118.765625,-120.5208,38.8577
130.96094,-120.1582,38.90858
132.75,-119.795,38.9581
128.25,-120.223,39.19109
133.50781,-119.8581,39.24089
131.42969,-120.2885,39.4738
128.73438,-119.9218,39.5239
97.4375,-120.4549,38.57567
103.578125,-120.094,38.62627
91.36719,-120.5208,38.8577
98.35156,-120.1582,38.90858
105.421875,-119.795,38.9581
88.265625,-120.223,39.19109
103.19531,-119.8581,39.24089
95.17969,-120.2885,39.4738
88.59375,-119.9218,39.5239
36.367188,-120.4549,38.57567
90.609375,-120.094,38.62627
29.820312,-120.5208,38.8577
75.89844,-120.1582,38.90858
74.3125,-119.795,38.9581
57.789062,-120.223,39.19109
73.08594,-119.8581,39.24089
82.74219,-120.2885,39.4738
69.65625,-119.9218,39.5239
94.0,-120.4549,38.57567
132.29688,-120.094,38.62627
103.4375,-120.5208,38.8577
128.82031,-120.1582,38.90858
129.98438,-119.795,38.9581
126.94531,-120.223,39.19109
129.25,-119.8581,39.24089
130.64844,-120.2885,39.4738
128.40625,-119.9218,39.5239
131.28906,-120.4549,38.57567
138.74219,-120.094,38.62627
126.5,-120.5208,38.8577
134.39844,-120.1582,38.90858
136.25,-119.795,38.9581
130.41406,-120.223,39.19109
133.21875,-119.8581,39.24089
131.72656,-120.2885,39.4738
126.078125,-119.9218,39.5239
134.91406,-120.4549,38.57567
140.32812,-120.094,38.62627
130.57812,-120.5208,38.8577
134.86719,-120.1582,38.90858
137.20312,-119.795,38.9581
130.96094,-120.223,39.19109
132.4375,-119.8581,39.24089
131.32812,-120.2885,39.4738
126.28906,-119.9218,39.5239
122.50781,-120.4549,38.57567
129.67969,-120.094,38.62627
117.05469,-120.5208,38.8577
121.796875,-120.1582,38.90858
127.28906,-119.795,38.9581
118.49219,-120.223,39.19109
122.03125,-119.8581,39.24089
118.59375,-120.2885,39.4738
116.78125,-119.9218,39.5239
114.578125,-120.4549,38.57567
130.52344,-120.094,38.62627
88.02344,-120.5208,38.8577
126.02344,-120.1582,38.90858
128.96094,-119.795,38.9581
97.890625,-120.223,39.19109
127.24219,-119.8581,39.24089
119.02344,-120.2885,39.4738
120.50781,-119.9218,39.5239
