cdcon,lon,lat
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
56.5,-120.4549,38.57567
59.25,-120.094,38.62627
63.5,-120.5208,38.8577
54.0,-120.1582,38.90858
53.125,-119.795,38.9581
49.375,-120.223,39.19109
55.875,-119.8581,39.24089
39.375,-120.2885,39.4738
32.875,-119.9218,39.5239
32.25,-120.4549,38.57567
5.375,-120.094,38.62627
37.25,-120.5208,38.8577
7.625,-120.1582,38.90858
5.25,-119.795,38.9581
0.0,-120.223,39.19109
0.5,-119.8581,39.24089
0.25,-120.2885,39.4738
12.125,-119.9218,39.5239
21.375,-120.4549,38.57567
30.875,-120.094,38.62627
19.75,-120.5208,38.8577
25.0,-120.1582,38.90858
26.375,-119.795,38.9581
22.375,-120.223,39.19109
21.375,-119.8581,39.24089
7.375,-120.2885,39.4738
13.125,-119.9218,39.5239
17.0,-120.4549,38.57567
2.5,-120.094,38.62627
14.875,-120.5208,38.8577
7.5,-120.1582,38.90858
7.375,-119.795,38.9581
7.5,-120.223,39.19109
6.75,-119.8581,39.24089
7.625,-120.2885,39.4738
3.375,-119.9218,39.5239
9.25,-120.4549,38.57567
32.375,-120.094,38.62627
25.125,-120.5208,38.8577
35.875,-120.1582,38.90858
10.125,-119.795,38.9581
39.5,-120.223,39.19109
13.375,-119.8581,39.24089
60.125,-120.2885,39.4738
33.75,-119.9218,39.5239
18.375,-120.4549,38.57567
62.25,-120.094,38.62627
30.25,-120.5208,38.8577
41.0,-120.1582,38.90858
10.0,-119.795,38.9581
11.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
6.25,-120.4549,38.57567
0.0,-120.094,38.62627
6.5,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
13.25,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
4.25,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
4.125,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
34.625,-120.4549,38.57567
0.0,-120.094,38.62627
29.375,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
6.875,-120.2885,39.4738
0.0,-119.9218,39.5239
46.375,-120.4549,38.57567
26.875,-120.094,38.62627
45.375,-120.5208,38.8577
35.75,-120.1582,38.90858
25.25,-119.795,38.9581
38.25,-120.223,39.19109
1.625,-119.8581,39.24089
35.125,-120.2885,39.4738
31.875,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
18.75,-120.4549,38.57567
0.0,-120.094,38.62627
18.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
3.125,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
17.625,-120.4549,38.57567
0.25,-120.094,38.62627
19.875,-120.5208,38.8577
14.75,-120.1582,38.90858
4.5,-119.795,38.9581
12.75,-120.223,39.19109
0.5,-119.8581,39.24089
6.75,-120.2885,39.4738
9.125,-119.9218,39.5239
19.125,-120.4549,38.57567
0.0,-120.094,38.62627
23.0,-120.5208,38.8577
0.0,-120.1582,38.90858
9.5,-119.795,38.9581
3.0,-120.223,39.19109
24.0,-119.8581,39.24089
0.25,-120.2885,39.4738
17.375,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
6.5,-120.4549,38.57567
0.0,-120.094,38.62627
6.625,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
7.125,-120.4549,38.57567
18.5,-120.094,38.62627
9.0,-120.5208,38.8577
0.5,-120.1582,38.90858
1.5,-119.795,38.9581
6.75,-120.223,39.19109
11.5,-119.8581,39.24089
3.75,-120.2885,39.4738
0.875,-119.9218,39.5239
7.875,-120.4549,38.57567
0.25,-120.094,38.62627
3.625,-120.5208,38.8577
0.5,-120.1582,38.90858
