weasd,lon,lat
0.0107421875,-120.4549,38.57567
0.0,-120.094,38.62627
0.016601562,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.33007812,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0009765625,-120.094,38.62627
0.0,-120.5208,38.8577
0.0048828125,-120.1582,38.90858
0.0,-119.795,38.9581
0.00390625,-120.223,39.19109
0.35253906,-119.8581,39.24089
0.005859375,-120.2885,39.4738
0.0009765625,-119.9218,39.5239
1.4121094,-120.4549,38.57567
22.96875,-120.094,38.62627
0.5966797,-120.5208,38.8577
17.637695,-120.1582,38.90858
13.577148,-119.795,38.9581
19.77246,-120.223,39.19109
13.769531,-119.8581,39.24089
16.045898,-120.2885,39.4738
4.560547,-119.9218,39.5239
3.319336,-120.4549,38.57567
17.90918,-120.094,38.62627
5.345703,-120.5208,38.8577
17.493164,-120.1582,38.90858
20.95996,-119.795,38.9581
39.908203,-120.223,39.19109
21.160156,-119.8581,39.24089
24.382812,-120.2885,39.4738
4.2558594,-119.9218,39.5239
2.024414,-120.4549,38.57567
16.59082,-120.094,38.62627
3.2539062,-120.5208,38.8577
14.680664,-120.1582,38.90858
17.401367,-119.795,38.9581
39.717773,-120.223,39.19109
24.993164,-119.8581,39.24089
26.404297,-120.2885,39.4738
3.8427734,-119.9218,39.5239
1.0224609,-120.4549,38.57567
19.257812,-120.094,38.62627
1.5878906,-120.5208,38.8577
9.68457,-120.1582,38.90858
20.192383,-119.795,38.9581
40.73633,-120.223,39.19109
15.15332,-119.8581,39.24089
27.261719,-120.2885,39.4738
5.0371094,-119.9218,39.5239
1.3837891,-120.4549,38.57567
19.58496,-120.094,38.62627
0.0625,-120.5208,38.8577
14.393555,-120.1582,38.90858
23.578125,-119.795,38.9581
30.749023,-120.223,39.19109
20.378906,-119.8581,39.24089
26.705078,-120.2885,39.4738
8.041992,-119.9218,39.5239
1.8574219,-120.4549,38.57567
17.888672,-120.094,38.62627
0.0625,-120.5208,38.8577
5.8652344,-120.1582,38.90858
27.75,-119.795,38.9581
7.3095703,-120.223,39.19109
21.047852,-119.8581,39.24089
15.900391,-120.2885,39.4738
15.810547,-119.9218,39.5239
2.131836,-120.4549,38.57567
9.974609,-120.094,38.62627
0.0625,-120.5208,38.8577
2.6591797,-120.1582,38.90858
23.11621,-119.795,38.9581
