wcconv,lon,lat
-0.00066041946,-120.4549,38.57567
0.011964679,-120.094,38.62627
0.0054145455,-120.5208,38.8577
-0.00868547,-120.1582,38.90858
0.026864529,-119.795,38.9581
0.022164524,-120.223,39.19109
0.052814603,-119.8581,39.24089
0.044814527,-120.2885,39.4738
0.008114457,-119.9218,39.5239
0.118441224,-120.4549,38.57567
0.12046605,-120.094,38.62627
0.13574117,-120.5208,38.8577
0.13889116,-120.1582,38.90858
0.11219114,-119.795,38.9581
0.12211621,-120.223,39.19109
0.11326623,-119.8581,39.24089
0.16216612,-120.2885,39.4738
0.13566613,-119.9218,39.5239
-0.5912456,-120.4549,38.57567
0.32125437,-120.094,38.62627
-0.37519544,-120.5208,38.8577
0.37090456,-120.1582,38.90858
0.77605444,-119.795,38.9581
0.30627936,-120.223,39.19109
0.47585452,-119.8581,39.24089
0.5707794,-120.2885,39.4738
0.5596044,-119.9218,39.5239
-0.20691323,-120.4549,38.57567
-0.0072630644,-120.094,38.62627
-0.28876323,-120.5208,38.8577
-0.07256317,-120.1582,38.90858
-0.019463122,-119.795,38.9581
0.022536695,-120.223,39.19109
-0.0022132397,-119.8581,39.24089
0.13538682,-120.2885,39.4738
0.0490368,-119.9218,39.5239
-0.13441938,-120.4549,38.57567
-0.023894489,-120.094,38.62627
-0.10219431,-120.5208,38.8577
0.027205586,-120.1582,38.90858
0.055580616,-119.795,38.9581
0.016230702,-120.223,39.19109
0.052580655,-119.8581,39.24089
0.018380582,-120.2885,39.4738
-0.01509434,-119.9218,39.5239
0.035437763,-120.4549,38.57567
0.30343783,-120.094,38.62627
0.058662772,-120.5208,38.8577
0.20626277,-120.1582,38.90858
0.24386275,-119.795,38.9581
0.22688782,-120.223,39.19109
0.26453775,-119.8581,39.24089
0.1943878,-120.2885,39.4738
0.12451273,-119.9218,39.5239
0.20628744,-120.4549,38.57567
0.91141236,-120.094,38.62627
-0.15648761,-120.5208,38.8577
0.7717873,-120.1582,38.90858
0.87063736,-119.795,38.9581
0.87481236,-120.223,39.19109
0.58248734,-119.8581,39.24089
1.1018624,-120.2885,39.4738
0.77718735,-119.9218,39.5239
0.067136884,-120.4549,38.57567
1.0286367,-120.094,38.62627
-0.1657381,-120.5208,38.8577
0.69913673,-120.1582,38.90858
0.66281176,-119.795,38.9581
0.74016184,-120.223,39.19109
0.72048676,-119.8581,39.24089
0.99073684,-120.2885,39.4738
0.65391195,-119.9218,39.5239
0.09072834,-120.4549,38.57567
0.29710335,-120.094,38.62627
0.14597845,-120.5208,38.8577
0.075178385,-120.1582,38.90858
-0.013771594,-119.795,38.9581
0.004978478,-120.223,39.19109
-0.05187154,-119.8581,39.24089
0.1582284,-120.2885,39.4738
-0.023221552,-119.9218,39.5239
0.1682939,-120.4549,38.57567
0.24181902,-120.094,38.62627
0.16129392,-120.5208,38.8577
0.19191909,-120.1582,38.90858
