wcinc,lon,lat
0.006389737,-120.4549,38.57567
0.0110147,-120.094,38.62627
0.0042647123,-120.5208,38.8577
0.0033897161,-120.1582,38.90858
0.0013897419,-119.795,38.9581
0.00013971329,-120.223,39.19109
1.4662743e-05,-119.8581,39.24089
1.4662743e-05,-120.2885,39.4738
1.4662743e-05,-119.9218,39.5239
-0.002257228,-120.4549,38.57567
-0.0021322966,-120.094,38.62627
-0.002007246,-120.5208,38.8577
-0.005007267,-120.1582,38.90858
-0.0076322556,-119.795,38.9581
-0.0055072308,-120.223,39.19109
-0.0013822317,-119.8581,39.24089
0.00024271011,-120.2885,39.4738
-0.00088226795,-119.9218,39.5239
-0.3381207,-120.4549,38.57567
0.42100406,-120.094,38.62627
-0.059495687,-120.5208,38.8577
0.45437908,-120.1582,38.90858
0.2373792,-119.795,38.9581
0.48775434,-120.223,39.19109
0.29437935,-119.8581,39.24089
0.40837932,-120.2885,39.4738
0.25087917,-119.9218,39.5239
0.07210779,-120.4549,38.57567
0.058732986,-120.094,38.62627
0.098232985,-120.5208,38.8577
0.071107864,-120.1582,38.90858
0.01785779,-119.795,38.9581
0.012982607,-120.223,39.19109
0.038232565,-119.8581,39.24089
0.006482601,-120.2885,39.4738
0.0033578873,-119.9218,39.5239
-0.016708493,-120.4549,38.57567
0.01791668,-120.094,38.62627
-0.049333453,-120.5208,38.8577
0.0025413036,-120.1582,38.90858
-0.010958552,-119.795,38.9581
-0.020208478,-120.223,39.19109
-0.012208104,-119.8581,39.24089
-0.0012087822,-120.2885,39.4738
0.0039167404,-119.9218,39.5239
-0.04188025,-120.4549,38.57567
0.0037446022,-120.094,38.62627
-0.02200532,-120.5208,38.8577
-0.010255218,-120.1582,38.90858
-0.0020053387,-119.795,38.9581
-0.0066303015,-120.223,39.19109
-0.00038027763,-119.8581,39.24089
0.004994631,-120.2885,39.4738
-0.00038051605,-119.9218,39.5239
0.71908677,-120.4549,38.57567
1.0890868,-120.094,38.62627
0.72333705,-120.5208,38.8577
0.9910871,-120.1582,38.90858
0.67671216,-119.795,38.9581
1.2400872,-120.223,39.19109
0.74396193,-119.8581,39.24089
1.3205873,-120.2885,39.4738
0.5763372,-119.9218,39.5239
1.0204313,-120.4549,38.57567
1.2354316,-120.094,38.62627
0.55730605,-120.5208,38.8577
0.8871813,-120.1582,38.90858
0.42755628,-119.795,38.9581
0.63580644,-120.223,39.19109
0.20930648,-119.8581,39.24089
0.2756816,-120.2885,39.4738
0.0928067,-119.9218,39.5239
-0.028131604,-120.4549,38.57567
0.04211831,-120.094,38.62627
-0.08075678,-120.5208,38.8577
0.06624353,-120.1582,38.90858
0.031493425,-119.795,38.9581
0.038993597,-120.223,39.19109
0.0003683567,-119.8581,39.24089
0.021868229,-120.2885,39.4738
0.055868387,-119.9218,39.5239
0.022945642,-120.4549,38.57567
0.054945588,-120.094,38.62627
0.10544562,-120.5208,38.8577
0.042820692,-120.1582,38.90858
0.020070553,-119.795,38.9581
0.0023206472,-120.223,39.19109
0.004445672,-119.8581,39.24089
0.0019456148,-120.2885,39.4738
0.010945559,-119.9218,39.5239
0.053491116,-120.4549,38.57567
0.045241237,-120.094,38.62627
0.27261615,-120.5208,38.8577
0.022616386,-120.1582,38.90858
0.017991185,-119.795,38.9581
0.08099127,-120.223,39.19109
0.03624153,-119.8581,39.24089
0.019365788,-120.2885,39.4738
0.047491312,-119.9218,39.5239
-0.0024449825,-120.4549,38.57567
0.00030493736,-120.094,38.62627
-0.04507017,-120.5208,38.8577
0.00017988682,-120.1582,38.90858
0.0021799803,-119.795,38.9581
0.0015548468,-120.223,39.19109
5.4955482e-05,-119.8581,39.24089
0.0014299154,-120.2885,39.4738
0.0031799078,-119.9218,39.5239
-0.26449776,-120.4549,38.57567
0.37912714,-120.094,38.62627
0.2468772,-120.5208,38.8577
0.55725217,-120.1582,38.90858
0.30887735,-119.795,38.9581
0.6328771,-120.223,39.19109
0.4211272,-119.8581,39.24089
0.6025021,-120.2885,39.4738
0.35862756,-119.9218,39.5239
0.07235932,-120.4549,38.57567
0.7486092,-120.094,38.62627
1.7647341,-120.5208,38.8577
0.86323416,-120.1582,38.90858
0.35673416,-119.795,38.9581
0.91035926,-120.223,39.19109
0.26360917,-119.8581,39.24089
0.68535936,-120.2885,39.4738
0.40748417,-119.9218,39.5239
0.010074496,-120.4549,38.57567
0.002824545,-120.094,38.62627
0.00782454,-120.5208,38.8577
0.0041993856,-120.1582,38.90858
0.005574465,-119.795,38.9581
0.0030745268,-120.223,39.19109
0.019699454,-119.8581,39.24089
0.0019495487,-120.2885,39.4738
0.023199439,-119.9218,39.5239
0.000223279,-120.4549,38.57567
0.000223279,-120.094,38.62627
0.000223279,-120.5208,38.8577
0.000223279,-120.1582,38.90858
0.000223279,-119.795,38.9581
0.000223279,-120.223,39.19109
0.000223279,-119.8581,39.24089
0.000223279,-120.2885,39.4738
0.00034821033,-119.9218,39.5239
-0.008774996,-120.4549,38.57567
0.0007247925,-120.094,38.62627
-0.01927495,-120.5208,38.8577
-0.00027513504,-120.1582,38.90858
0.027724743,-119.795,38.9581
0.05297482,-120.223,39.19109
0.059224725,-119.8581,39.24089
0.0600996,-120.2885,39.4738
0.024349928,-119.9218,39.5239
-0.00812912,-120.4549,38.57567
0.20137107,-120.094,38.62627
0.6919962,-120.5208,38.8577
0.24187124,-120.1582,38.90858
0.041496396,-119.795,38.9581
0.416371,-120.223,39.19109
-0.020128846,-119.8581,39.24089
0.09149587,-120.2885,39.4738
-0.012503624,-119.9218,39.5239
0.2882166,-120.4549,38.57567
0.22446644,-120.094,38.62627
0.4897164,-120.5208,38.8577
0.21434164,-120.1582,38.90858
0.07371664,-119.795,38.9581
0.1974665,-120.223,39.19109
-0.02165842,-119.8581,39.24089
0.12659168,-120.2885,39.4738
-0.022658348,-119.9218,39.5239
0.8250148,-120.4549,38.57567
0.36851478,-120.094,38.62627
1.2830148,-120.5208,38.8577
0.4696399,-120.1582,38.90858
0.08313966,-119.795,38.9581
0.45688987,-120.223,39.19109
0.011889815,-119.8581,39.24089
0.2940148,-120.2885,39.4738
0.00063991547,-119.9218,39.5239
-0.20032358,-120.4549,38.57567
0.18042636,-120.094,38.62627
-0.13657343,-120.5208,38.8577
0.15992641,-120.1582,38.90858
0.04430163,-119.795,38.9581
0.09692657,-120.223,39.19109
-0.01832366,-119.8581,39.24089
0.010551453,-120.2885,39.4738
-0.01707375,-119.9218,39.5239
0.00027179718,-120.4549,38.57567
0.00039684772,-120.094,38.62627
0.005646825,-120.5208,38.8577
0.00039696693,-120.1582,38.90858
0.0002719164,-119.795,38.9581
0.00052189827,-120.223,39.19109
2.193451e-05,-119.8581,39.24089
0.0016468763,-120.2885,39.4738
0.00052189827,-119.9218,39.5239
-0.00016117096,-120.4549,38.57567
-0.00016117096,-120.094,38.62627
-0.00016117096,-120.5208,38.8577
-0.00016117096,-120.1582,38.90858
-0.00016117096,-119.795,38.9581
-0.00016117096,-120.223,39.19109
-0.00016117096,-119.8581,39.24089
-0.00016117096,-120.2885,39.4738
