gflux,lon,lat
9.598408,-120.4549,38.57567
8.020283,-120.094,38.62627
10.07497,-120.5208,38.8577
12.996845,-120.1582,38.90858
11.317158,-119.795,38.9581
13.715595,-120.223,39.19109
14.692158,-119.8581,39.24089
13.379658,-120.2885,39.4738
12.457783,-119.9218,39.5239
8.677481,-120.4549,38.57567
20.14623,-120.094,38.62627
12.521231,-120.5208,38.8577
19.044668,-120.1582,38.90858
23.599358,-119.795,38.9581
15.005606,-120.223,39.19109
20.802483,-119.8581,39.24089
20.786858,-120.2885,39.4738
10.622793,-119.9218,39.5239
14.102795,-120.4549,38.57567
1.2512321,-120.094,38.62627
13.86842,-120.5208,38.8577
1.5949821,-120.1582,38.90858
3.5949821,-119.795,38.9581
2.0871696,-120.223,39.19109
2.1418571,-119.8581,39.24089
1.7981071,-120.2885,39.4738
12.704357,-119.9218,39.5239
9.681013,-120.4549,38.57567
2.837263,-120.094,38.62627
8.759138,-120.5208,38.8577
2.5950756,-120.1582,38.90858
3.524763,-119.795,38.9581
1.5013256,-120.223,39.19109
2.5638256,-119.8581,39.24089
2.0638256,-120.2885,39.4738
12.884138,-119.9218,39.5239
10.264402,-120.4549,38.57567
2.9831524,-120.094,38.62627
12.467527,-120.5208,38.8577
3.63159,-120.1582,38.90858
3.72534,-119.795,38.9581
2.25659,-120.223,39.19109
2.4362774,-119.8581,39.24089
2.38159,-120.2885,39.4738
15.772215,-119.9218,39.5239
7.292759,-120.4549,38.57567
2.7693214,-120.094,38.62627
9.144321,-120.5208,38.8577
6.8474464,-120.1582,38.90858
5.3943214,-119.795,38.9581
2.6443214,-120.223,39.19109
6.5036964,-119.8581,39.24089
2.574009,-120.2885,39.4738
18.417759,-119.9218,39.5239
-0.72335815,-120.4549,38.57567
-1.6452332,-120.094,38.62627
-8.778046,-120.5208,38.8577
-3.4811707,-120.1582,38.90858
1.4407043,-119.795,38.9581
0.74539185,-120.223,39.19109
0.23757935,-119.8581,39.24089
-1.5124207,-120.2885,39.4738
1.9250793,-119.9218,39.5239
-0.95332146,-120.4549,38.57567
-2.101759,-120.094,38.62627
-7.617384,-120.5208,38.8577
-6.820509,-120.1582,38.90858
-0.08613396,-119.795,38.9581
-1.570509,-120.223,39.19109
-0.79707146,-119.8581,39.24089
-2.9064465,-120.2885,39.4738
-0.39863396,-119.9218,39.5239
2.1591644,-120.4549,38.57567
0.7919769,-120.094,38.62627
-4.2470856,-120.5208,38.8577
1.0888519,-120.1582,38.90858
2.620102,-119.795,38.9581
2.635727,-120.223,39.19109
2.823227,-119.8581,39.24089
0.7294769,-120.2885,39.4738
3.4560394,-119.9218,39.5239
0.15922737,-120.4549,38.57567
0.8936024,-120.094,38.62627
5.1592274,-120.5208,38.8577
5.0654774,-120.1582,38.90858
1.2295399,-119.795,38.9581
2.7295399,-120.223,39.19109
1.0107899,-119.8581,39.24089
0.8936024,-120.2885,39.4738
8.987352,-119.9218,39.5239
-2.7698727,-120.4549,38.57567
1.5973148,-120.094,38.62627
-0.75424767,-120.5208,38.8577
5.597315,-120.1582,38.90858
2.4410648,-119.795,38.9581
4.17544,-120.223,39.19109
3.1676273,-119.8581,39.24089
1.0426273,-120.2885,39.4738
-5.07456,-119.9218,39.5239
-1.3918839,-120.4549,38.57567
0.93624115,-120.094,38.62627
-1.7356339,-120.5208,38.8577
4.967491,-120.1582,38.90858
2.6940536,-119.795,38.9581
