snom,lon,lat
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0087890625,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
0.234375,-120.4549,38.57567
0.0,-120.094,38.62627
0.15234375,-120.5208,38.8577
0.0,-120.1582,38.90858
0.15917969,-119.795,38.9581
0.0859375,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.3359375,-119.9218,39.5239
0.3671875,-120.4549,38.57567
0.0,-120.094,38.62627
0.5761719,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.35058594,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.24707031,-119.9218,39.5239
0.15625,-120.4549,38.57567
0.0,-120.094,38.62627
0.19433594,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.13867188,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.034179688,-119.9218,39.5239
0.10546875,-120.4549,38.57567
0.029296875,-120.094,38.62627
0.13574219,-120.5208,38.8577
0.016601562,-120.1582,38.90858
0.017578125,-119.795,38.9581
0.1328125,-120.223,39.19109
0.0,-119.8581,39.24089
0.0009765625,-120.2885,39.4738
0.08105469,-119.9218,39.5239
0.6191406,-120.4549,38.57567
2.3720703,-120.094,38.62627
0.02734375,-120.5208,38.8577
1.7460938,-120.1582,38.90858
1.8525391,-119.795,38.9581
4.6992188,-120.223,39.19109
2.0791016,-119.8581,39.24089
2.6572266,-120.2885,39.4738
0.85546875,-119.9218,39.5239
1.1484375,-120.4549,38.57567
2.0498047,-120.094,38.62627
0.06933594,-120.5208,38.8577
0.6201172,-120.1582,38.90858
3.265625,-119.795,38.9581
1.7636719,-120.223,39.19109
1.9433594,-119.8581,39.24089
1.5761719,-120.2885,39.4738
1.1552734,-119.9218,39.5239
0.4794922,-120.4549,38.57567
0.7421875,-120.094,38.62627
0.07128906,-120.5208,38.8577
0.22851562,-120.1582,38.90858
1.2402344,-119.795,38.9581
1.2910156,-120.223,39.19109
1.0634766,-119.8581,39.24089
1.1845703,-120.2885,39.4738
0.9941406,-119.9218,39.5239
0.0,-120.4549,38.57567
1.3505859,-120.094,38.62627
0.0,-120.5208,38.8577
0.2109375,-120.1582,38.90858
1.6005859,-119.795,38.9581
1.1035156,-120.223,39.19109
0.5957031,-119.8581,39.24089
1.3994141,-120.2885,39.4738
0.5390625,-119.9218,39.5239
0.0,-120.4549,38.57567
1.1279297,-120.094,38.62627
0.0,-120.5208,38.8577
0.56152344,-120.1582,38.90858
1.0039062,-119.795,38.9581
1.1416016,-120.223,39.19109
0.9042969,-119.8581,39.24089
1.1914062,-120.2885,39.4738
0.26367188,-119.9218,39.5239
0.0,-120.4549,38.57567
1.3505859,-120.094,38.62627
0.0,-120.5208,38.8577
0.6328125,-120.1582,38.90858
1.1259766,-119.795,38.9581
0.9013672,-120.223,39.19109
1.1064453,-119.8581,39.24089
1.4667969,-120.2885,39.4738
0.3017578,-119.9218,39.5239
0.0,-120.4549,38.57567
0.50878906,-120.094,38.62627
0.0,-120.5208,38.8577
0.55859375,-120.1582,38.90858
1.5361328,-119.795,38.9581
1.0332031,-120.223,39.19109
1.3046875,-119.8581,39.24089
1.3203125,-120.2885,39.4738
0.15625,-119.9218,39.5239
0.0,-120.4549,38.57567
0.8798828,-120.094,38.62627
0.0,-120.5208,38.8577
1.0419922,-120.1582,38.90858
2.1367188,-119.795,38.9581
1.2587891,-120.223,39.19109
0.99316406,-119.8581,39.24089
1.1289062,-120.2885,39.4738
0.0703125,-119.9218,39.5239
0.005859375,-120.4549,38.57567
0.9472656,-120.094,38.62627
0.0146484375,-120.5208,38.8577
0.9511719,-120.1582,38.90858
0.68066406,-119.795,38.9581
0.66503906,-120.223,39.19109
0.71191406,-119.8581,39.24089
1.0644531,-120.2885,39.4738
0.0,-119.9218,39.5239
0.018554688,-120.4549,38.57567
0.91015625,-120.094,38.62627
0.0126953125,-120.5208,38.8577
1.0654297,-120.1582,38.90858
1.0244141,-119.795,38.9581
1.0917969,-120.223,39.19109
0.9404297,-119.8581,39.24089
1.1601562,-120.2885,39.4738
0.0048828125,-119.9218,39.5239
0.0,-120.4549,38.57567
0.90234375,-120.094,38.62627
0.0,-120.5208,38.8577
1.3046875,-120.1582,38.90858
1.2783203,-119.795,38.9581
1.2099609,-120.223,39.19109
0.6689453,-119.8581,39.24089
1.4248047,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
2.9863281,-120.094,38.62627
0.0,-120.5208,38.8577
2.6386719,-120.1582,38.90858
2.7714844,-119.795,38.9581
2.116211,-120.223,39.19109
2.6171875,-119.8581,39.24089
3.4160156,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
1.5400391,-120.094,38.62627
0.0,-120.5208,38.8577
1.3789062,-120.1582,38.90858
1.7607422,-119.795,38.9581
0.16894531,-120.223,39.19109
1.6621094,-119.8581,39.24089
0.7294922,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.11230469,-120.094,38.62627
0.0,-120.5208,38.8577
0.5800781,-120.1582,38.90858
1.1367188,-119.795,38.9581
0.14550781,-120.223,39.19109
0.7236328,-119.8581,39.24089
0.29882812,-120.2885,39.4738
0.0078125,-119.9218,39.5239
0.0087890625,-120.4549,38.57567
0.0,-120.094,38.62627
0.0009765625,-120.5208,38.8577
0.020507812,-120.1582,38.90858
0.12890625,-119.795,38.9581
0.25585938,-120.223,39.19109
0.13867188,-119.8581,39.24089
0.11328125,-120.2885,39.4738
0.06542969,-119.9218,39.5239
0.001953125,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.076171875,-119.795,38.9581
0.19824219,-120.223,39.19109
0.0029296875,-119.8581,39.24089
0.08886719,-120.2885,39.4738
0.059570312,-119.9218,39.5239
0.0,-120.4549,38.57567
0.25,-120.094,38.62627
0.0,-120.5208,38.8577
0.98046875,-120.1582,38.90858
0.65527344,-119.795,38.9581
0.11035156,-120.223,39.19109
0.34179688,-119.8581,39.24089
0.2939453,-120.2885,39.4738
0.07714844,-119.9218,39.5239
0.0,-120.4549,38.57567
0.00390625,-120.094,38.62627
0.0,-120.5208,38.8577
0.2109375,-120.1582,38.90858
0.546875,-119.795,38.9581
0.53027344,-120.223,39.19109
0.35546875,-119.8581,39.24089
0.16992188,-120.2885,39.4738
0.07910156,-119.9218,39.5239
0.0,-120.4549,38.57567
0.7685547,-120.094,38.62627
0.0,-120.5208,38.8577
1.1660156,-120.1582,38.90858
1.0048828,-119.795,38.9581
0.7890625,-120.223,39.19109
0.7548828,-119.8581,39.24089
0.41015625,-120.2885,39.4738
0.13867188,-119.9218,39.5239
0.0068359375,-120.4549,38.57567
0.8652344,-120.094,38.62627
0.01171875,-120.5208,38.8577
1.2910156,-120.1582,38.90858
1.2451172,-119.795,38.9581
1.0703125,-120.223,39.19109
0.421875,-119.8581,39.24089
0.46972656,-120.2885,39.4738
0.17285156,-119.9218,39.5239
0.0,-120.4549,38.57567
0.4453125,-120.094,38.62627
0.0,-120.5208,38.8577
0.8925781,-120.1582,38.90858
1.1054688,-119.795,38.9581
1.6396484,-120.223,39.19109
0.0,-119.8581,39.24089
0.76660156,-120.2885,39.4738
