wvconv,lon,lat
-0.12580061,-120.4549,38.57567
0.019798994,-120.094,38.62627
-0.09060097,-120.5208,38.8577
-0.039400816,-120.1582,38.90858
0.043798923,-119.795,38.9581
-0.06980109,-120.223,39.19109
0.00059866905,-119.8581,39.24089
-0.12900066,-120.2885,39.4738
-0.056200504,-119.9218,39.5239
0.7751491,-120.4549,38.57567
0.5583501,-120.094,38.62627
0.72234917,-120.5208,38.8577
0.5351498,-120.1582,38.90858
0.5591495,-119.795,38.9581
0.5911491,-120.223,39.19109
0.62794924,-119.8581,39.24089
0.65514946,-120.2885,39.4738
0.70794916,-119.9218,39.5239
4.578048,-120.4549,38.57567
0.3320489,-120.094,38.62627
3.8072479,-120.5208,38.8577
0.06924844,-120.1582,38.90858
-0.6103511,-119.795,38.9581
-0.4683516,-120.223,39.19109
-0.73915195,-119.8581,39.24089
-0.9899509,-120.2885,39.4738
-0.8219516,-119.9218,39.5239
0.25605536,-120.4549,38.57567
0.16245532,-120.094,38.62627
0.4152553,-120.5208,38.8577
0.47485638,-120.1582,38.90858
0.39365602,-119.795,38.9581
0.46565533,-120.223,39.19109
0.5032551,-119.8581,39.24089
0.34885526,-120.2885,39.4738
0.41045594,-119.9218,39.5239
0.4061756,-120.4549,38.57567
0.46837616,-120.094,38.62627
0.32157564,-120.5208,38.8577
0.2671752,-120.1582,38.90858
0.23697543,-119.795,38.9581
0.15897417,-120.223,39.19109
0.13897467,-119.8581,39.24089
0.061175108,-120.2885,39.4738
0.053175926,-119.9218,39.5239
1.0620732,-120.4549,38.57567
0.7348733,-120.094,38.62627
1.0036731,-120.5208,38.8577
0.81887317,-120.1582,38.90858
0.8348739,-119.795,38.9581
0.7020738,-120.223,39.19109
0.7324741,-119.8581,39.24089
0.65087366,-120.2885,39.4738
0.7092738,-119.9218,39.5239
3.8714373,-120.4549,38.57567
-1.8265629,-120.094,38.62627
5.219836,-120.5208,38.8577
-0.15616298,-120.1582,38.90858
-0.28816366,-119.795,38.9581
-0.32736278,-120.223,39.19109
