albedo,lon,lat
43.700005,-120.1582,38.90858
48.600002,-119.795,38.9581
21.612501,-120.223,39.19109
29.212502,-119.8581,39.24089
29.0375,-120.2885,39.4738
24.475,-119.9218,39.5239
10.1,-120.4549,38.57567
45.0,-120.094,38.62627
10.0625,-120.5208,38.8577
43.700005,-120.1582,38.90858
48.600002,-119.795,38.9581
21.074999,-120.223,39.19109
48.399998,-119.8581,39.24089
29.412498,-120.2885,39.4738
29.1,-119.9218,39.5239
10.0,-120.4549,38.57567
45.0,-120.094,38.62627
10.0,-120.5208,38.8577
43.700005,-120.1582,38.90858
48.600002,-119.795,38.9581
14.812501,-120.223,39.19109
48.125004,-119.8581,39.24089
27.462502,-120.2885,39.4738
28.912498,-119.9218,39.5239
10.0,-120.4549,38.57567
45.0,-120.094,38.62627
10.0,-120.5208,38.8577
43.700005,-120.1582,38.90858
48.600002,-119.795,38.9581
30.1125,-120.223,39.19109
46.887497,-119.8581,39.24089
26.087498,-120.2885,39.4738
28.062502,-119.9218,39.5239
10.0,-120.4549,38.57567
45.0,-120.094,38.62627
10.0,-120.5208,38.8577
43.700005,-120.1582,38.90858
48.600002,-119.795,38.9581
30.325,-120.223,39.19109
44.1,-119.8581,39.24089
26.325,-120.2885,39.4738
28.175001,-119.9218,39.5239
10.025,-120.4549,38.57567
45.0,-120.094,38.62627
10.05,-120.5208,38.8577
43.662502,-120.1582,38.90858
48.600002,-119.795,38.9581
30.150002,-120.223,39.19109
32.7375,-119.8581,39.24089
26.787502,-120.2885,39.4738
28.55,-119.9218,39.5239
10.0,-120.4549,38.57567
45.0,-120.094,38.62627
10.0,-120.5208,38.8577
43.3125,-120.1582,38.90858
48.600002,-119.795,38.9581
36.762497,-120.223,39.19109
10.0,-119.8581,39.24089
37.712505,-120.2885,39.4738
20.0,-119.9218,39.5239
10.0,-120.4549,38.57567
45.0,-120.094,38.62627
10.0,-120.5208,38.8577
43.600002,-120.1582,38.90858
48.600002,-119.795,38.9581
35.7125,-120.223,39.19109
11.1,-119.8581,39.24089
38.525,-120.2885,39.4738
20.0,-119.9218,39.5239
10.075,-120.4549,38.57567
45.0,-120.094,38.62627
10.0125,-120.5208,38.8577
43.700005,-120.1582,38.90858
48.600002,-119.795,38.9581
36.175003,-120.223,39.19109
21.5,-119.8581,39.24089
39.837498,-120.2885,39.4738
20.875,-119.9218,39.5239
10.15,-120.4549,38.57567
45.0,-120.094,38.62627
10.5625,-120.5208,38.8577
43.700005,-120.1582,38.90858
48.600002,-119.795,38.9581
36.35,-120.223,39.19109
10.224999,-119.8581,39.24089
40.374996,-120.2885,39.4738
20.0875,-119.9218,39.5239
10.225,-120.4549,38.57567
45.0,-120.094,38.62627
10.175,-120.5208,38.8577
43.700005,-120.1582,38.90858
48.600002,-119.795,38.9581
36.875,-120.223,39.19109
40.0125,-119.8581,39.24089
40.8,-120.2885,39.4738
20.0,-119.9218,39.5239
10.025,-120.4549,38.57567
45.0,-120.094,38.62627
10.025,-120.5208,38.8577
43.700005,-120.1582,38.90858
48.600002,-119.795,38.9581
37.275005,-120.223,39.19109
10.0,-119.8581,39.24089
41.1375,-120.2885,39.4738
20.0,-119.9218,39.5239
10.0,-120.4549,38.57567
45.0,-120.094,38.62627
10.0,-120.5208,38.8577
43.700005,-120.1582,38.90858
48.600002,-119.795,38.9581
37.4875,-120.223,39.19109
10.0,-119.8581,39.24089
41.2,-120.2885,39.4738
20.0,-119.9218,39.5239
10.0,-120.4549,38.57567
45.0,-120.094,38.62627
10.0,-120.5208,38.8577
43.700005,-120.1582,38.90858
48.600002,-119.795,38.9581
37.4625,-120.223,39.19109
10.0,-119.8581,39.24089
41.1625,-120.2885,39.4738
20.0,-119.9218,39.5239
10.0,-120.4549,38.57567
45.0,-120.094,38.62627
10.0,-120.5208,38.8577
43.700005,-120.1582,38.90858
48.600002,-119.795,38.9581
37.4125,-120.223,39.19109
10.0,-119.8581,39.24089
41.1375,-120.2885,39.4738
20.0,-119.9218,39.5239
10.0625,-120.4549,38.57567
45.0,-120.094,38.62627
10.0,-120.5208,38.8577
43.700005,-120.1582,38.90858
48.600002,-119.795,38.9581
37.4,-120.223,39.19109
11.1375,-119.8581,39.24089
40.7,-120.2885,39.4738
20.625,-119.9218,39.5239
10.0,-120.4549,38.57567
45.0,-120.094,38.62627
10.0,-120.5208,38.8577
43.700005,-120.1582,38.90858
48.600002,-119.795,38.9581
