wvuflx,lon,lat
550556.6,-120.4549,38.57567
526056.6,-120.094,38.62627
562556.6,-120.5208,38.8577
560306.6,-120.1582,38.90858
579306.6,-119.795,38.9581
566931.6,-120.223,39.19109
586056.6,-119.8581,39.24089
566431.6,-120.2885,39.4738
617556.6,-119.9218,39.5239
621217.3,-120.4549,38.57567
569842.3,-120.094,38.62627
623592.3,-120.5208,38.8577
582342.3,-120.1582,38.90858
549967.3,-119.795,38.9581
590342.3,-120.223,39.19109
557467.3,-119.8581,39.24089
600717.3,-120.2885,39.4738
566217.3,-119.9218,39.5239
859239.2,-120.4549,38.57567
784989.2,-120.094,38.62627
886364.2,-120.5208,38.8577
858114.2,-120.1582,38.90858
853364.2,-119.795,38.9581
859364.2,-120.223,39.19109
877364.2,-119.8581,39.24089
848114.2,-120.2885,39.4738
859739.2,-119.9218,39.5239
14058.625,-120.4549,38.57567
37683.625,-120.094,38.62627
13808.625,-120.5208,38.8577
20433.625,-120.1582,38.90858
8433.625,-119.795,38.9581
3933.625,-120.223,39.19109
-7566.375,-119.8581,39.24089
-7816.375,-120.2885,39.4738
-17441.375,-119.9218,39.5239
138606.5,-120.4549,38.57567
117856.5,-120.094,38.62627
115231.5,-120.5208,38.8577
106606.5,-120.1582,38.90858
108356.5,-119.795,38.9581
90356.5,-120.223,39.19109
92856.5,-119.8581,39.24089
73231.5,-120.2885,39.4738
85106.5,-119.9218,39.5239
699922.25,-120.4549,38.57567
713422.25,-120.094,38.62627
687422.25,-120.5208,38.8577
700172.25,-120.1582,38.90858
669297.25,-119.795,38.9581
663422.25,-120.223,39.19109
624797.25,-119.8581,39.24089
610297.25,-120.2885,39.4738
560297.25,-119.9218,39.5239
1267412.8,-120.4549,38.57567
1262037.8,-120.094,38.62627
1406287.8,-120.5208,38.8577
1397412.8,-120.1582,38.90858
1344287.8,-119.795,38.9581
1434287.8,-120.223,39.19109
1415412.8,-119.8581,39.24089
1433037.8,-120.2885,39.4738
1386162.8,-119.9218,39.5239
1043803.75,-120.4549,38.57567
1109053.8,-120.094,38.62627
1141803.8,-120.5208,38.8577
1191553.8,-120.1582,38.90858
1173428.8,-119.795,38.9581
1187178.8,-120.223,39.19109
1193428.8,-119.8581,39.24089
1159928.8,-120.2885,39.4738
1139303.8,-119.9218,39.5239
241903.81,-120.4549,38.57567
347778.8,-120.094,38.62627
244403.81,-120.5208,38.8577
312403.8,-120.1582,38.90858
337153.8,-119.795,38.9581
285278.8,-120.223,39.19109
310778.8,-119.8581,39.24089
273528.8,-120.2885,39.4738
285653.8,-119.9218,39.5239
-181419.94,-120.4549,38.57567
-34794.938,-120.094,38.62627
-138044.94,-120.5208,38.8577
-41669.938,-120.1582,38.90858
7330.0625,-119.795,38.9581
-40794.938,-120.223,39.19109
5080.0625,-119.8581,39.24089
-28794.938,-120.2885,39.4738
-8669.9375,-119.9218,39.5239
412294.88,-120.4549,38.57567
478669.88,-120.094,38.62627
473669.88,-120.5208,38.8577
553294.9,-120.1582,38.90858
595294.9,-119.795,38.9581
593919.9,-120.223,39.19109
645794.9,-119.8581,39.24089
603419.9,-120.2885,39.4738
638794.9,-119.9218,39.5239
376301.3,-120.4549,38.57567
458551.3,-120.094,38.62627
471676.3,-120.5208,38.8577
496801.3,-120.1582,38.90858
456301.3,-119.795,38.9581
526301.3,-120.223,39.19109
477301.3,-119.8581,39.24089
544301.3,-120.2885,39.4738
467426.3,-119.9218,39.5239
1093415.5,-120.4549,38.57567
1151165.5,-120.094,38.62627
1199540.5,-120.5208,38.8577
1262415.5,-120.1582,38.90858
1266040.5,-119.795,38.9581
1308665.5,-120.223,39.19109
1343290.5,-119.8581,39.24089
1359290.5,-120.2885,39.4738
1357165.5,-119.9218,39.5239
722526.94,-120.4549,38.57567
751276.94,-120.094,38.62627
814901.94,-120.5208,38.8577
862526.94,-120.1582,38.90858
880026.94,-119.795,38.9581
910276.94,-120.223,39.19109
946276.94,-119.8581,39.24089
926401.94,-120.2885,39.4738
972776.94,-119.9218,39.5239
12334.0,-120.4549,38.57567
3959.0,-120.094,38.62627
6834.0,-120.5208,38.8577
6334.0,-120.1582,38.90858
22709.0,-119.795,38.9581
16709.0,-120.223,39.19109
31084.0,-119.8581,39.24089
30084.0,-120.2885,39.4738
47209.0,-119.9218,39.5239
224404.31,-120.4549,38.57567
211654.31,-120.094,38.62627
245404.31,-120.5208,38.8577
231529.31,-120.1582,38.90858
219154.31,-119.795,38.9581
244779.31,-120.223,39.19109
231154.31,-119.8581,39.24089
248654.31,-120.2885,39.4738
228654.31,-119.9218,39.5239
1205648.5,-120.4549,38.57567
1134398.5,-120.094,38.62627
1265273.5,-120.5208,38.8577
1238523.5,-120.1582,38.90858
1191148.5,-119.795,38.9581
1273148.5,-120.223,39.19109
1243023.5,-119.8581,39.24089
1298898.5,-120.2885,39.4738
1249898.5,-119.9218,39.5239
2781455.2,-120.4549,38.57567
2674580.0,-120.094,38.62627
2993080.2,-120.5208,38.8577
2946830.2,-120.1582,38.90858
2920455.2,-119.795,38.9581
3065955.2,-120.223,39.19109
3044580.2,-119.8581,39.24089
3120955.2,-120.2885,39.4738
3091080.2,-119.9218,39.5239
2838849.5,-120.4549,38.57567
2783974.5,-120.094,38.62627
2902349.5,-120.5208,38.8577
2897474.5,-120.1582,38.90858
2896474.5,-119.795,38.9581
2897849.5,-120.223,39.19109
2898474.5,-119.8581,39.24089
2865849.5,-120.2885,39.4738
2837724.5,-119.9218,39.5239
1522652.8,-120.4549,38.57567
1520902.8,-120.094,38.62627
1510152.8,-120.5208,38.8577
1546527.8,-120.1582,38.90858
1594652.8,-119.795,38.9581
1483152.8,-120.223,39.19109
1546027.8,-119.8581,39.24089
1410777.8,-120.2885,39.4738
1478527.8,-119.9218,39.5239
457299.0,-120.4549,38.57567
415499.0,-120.094,38.62627
449524.0,-120.5208,38.8577
440774.0,-120.1582,38.90858
443649.0,-119.795,38.9581
430374.0,-120.223,39.19109
434274.0,-119.8581,39.24089
406774.0,-120.2885,39.4738
417424.0,-119.9218,39.5239
141378.94,-120.4549,38.57567
129253.94,-120.094,38.62627
123378.94,-120.5208,38.8577
112628.94,-120.1582,38.90858
103128.94,-119.795,38.9581
104128.94,-120.223,39.19109
92128.94,-119.8581,39.24089
99128.94,-120.2885,39.4738
87753.94,-119.9218,39.5239
63772.0,-120.4549,38.57567
71147.0,-120.094,38.62627
64022.0,-120.5208,38.8577
64897.0,-120.1582,38.90858
51897.0,-119.795,38.9581
57522.0,-120.223,39.19109
46897.0,-119.8581,39.24089
51522.0,-120.2885,39.4738
29647.0,-119.9218,39.5239
210306.69,-120.4549,38.57567
239681.69,-120.094,38.62627
249056.69,-120.5208,38.8577
260806.69,-120.1582,38.90858
250306.69,-119.795,38.9581
268806.7,-120.223,39.19109
260806.69,-119.8581,39.24089
270681.7,-120.2885,39.4738
253306.69,-119.9218,39.5239
639447.8,-120.4549,38.57567
604697.8,-120.094,38.62627
721572.8,-120.5208,38.8577
698572.8,-120.1582,38.90858
664072.8,-119.795,38.9581
768822.8,-120.223,39.19109
732447.8,-119.8581,39.24089
832822.8,-120.2885,39.4738
777322.8,-119.9218,39.5239
741977.0,-120.4549,38.57567
705602.0,-120.094,38.62627
844727.0,-120.5208,38.8577
801602.0,-120.1582,38.90858
742477.0,-119.795,38.9581
891352.0,-120.223,39.19109
833102.0,-119.8581,39.24089
984727.0,-120.2885,39.4738
911477.0,-119.9218,39.5239
612551.25,-120.4549,38.57567
619051.25,-120.094,38.62627
700301.25,-120.5208,38.8577
690051.25,-120.1582,38.90858
642301.25,-119.795,38.9581
746301.25,-120.223,39.19109
694801.25,-119.8581,39.24089
807926.25,-120.2885,39.4738
735801.25,-119.9218,39.5239
384188.0,-120.4549,38.57567
441688.0,-120.094,38.62627
455063.0,-120.5208,38.8577
479688.0,-120.1582,38.90858
467313.0,-119.795,38.9581
499313.0,-120.223,39.19109
480813.0,-119.8581,39.24089
511813.0,-120.2885,39.4738
478688.0,-119.9218,39.5239
171963.0,-120.4549,38.57567
199713.0,-120.094,38.62627
190713.0,-120.5208,38.8577
213338.0,-120.1582,38.90858
211838.0,-119.795,38.9581
220713.0,-120.223,39.19109
229338.0,-119.8581,39.24089
235588.0,-120.2885,39.4738
247588.0,-119.9218,39.5239
131864.75,-120.4549,38.57567
146364.75,-120.094,38.62627
141489.75,-120.5208,38.8577
160989.75,-120.1582,38.90858
166739.75,-119.795,38.9581
164489.75,-120.223,39.19109
175864.75,-119.8581,39.24089
165114.75,-120.2885,39.4738
181364.75,-119.9218,39.5239
137714.75,-120.4549,38.57567
159714.75,-120.094,38.62627
146839.75,-120.5208,38.8577
168714.75,-120.1582,38.90858
173464.75,-119.795,38.9581
167964.75,-120.223,39.19109
174714.75,-119.8581,39.24089
162839.75,-120.2885,39.4738
162214.75,-119.9218,39.5239
-183482.44,-120.4549,38.57567
-162607.44,-120.094,38.62627
-195482.44,-120.5208,38.8577
-188982.44,-120.1582,38.90858
-188107.44,-119.795,38.9581
-183607.44,-120.223,39.19109
-174232.44,-119.8581,39.24089
-158482.44,-120.2885,39.4738
-147107.44,-119.9218,39.5239
-42565.875,-120.4549,38.57567
-44440.875,-120.094,38.62627
-63065.875,-120.5208,38.8577
-60315.875,-120.1582,38.90858
-47065.875,-119.795,38.9581
-60440.875,-120.223,39.19109
-49565.875,-119.8581,39.24089
-48190.875,-120.2885,39.4738
-30565.875,-119.9218,39.5239
80966.81,-120.4549,38.57567
58341.812,-120.094,38.62627
61216.812,-120.5208,38.8577
51341.812,-120.1582,38.90858
69091.81,-119.795,38.9581
51216.812,-120.223,39.19109
64841.812,-119.8581,39.24089
55091.812,-120.2885,39.4738
80466.81,-119.9218,39.5239
496739.75,-120.4549,38.57567
462364.75,-120.094,38.62627
505364.75,-120.5208,38.8577
483864.75,-120.1582,38.90858
477739.75,-119.795,38.9581
495614.75,-120.223,39.19109
486489.75,-119.8581,39.24089
505489.75,-120.2885,39.4738
490239.75,-119.9218,39.5239
-248284.19,-120.4549,38.57567
-223284.19,-120.094,38.62627
-297784.2,-120.5208,38.8577
-272909.2,-120.1582,38.90858
-248284.19,-119.795,38.9581
-282784.2,-120.223,39.19109
-249534.19,-119.8581,39.24089
-267409.2,-120.2885,39.4738
-228284.19,-119.9218,39.5239
-253920.44,-120.4549,38.57567
-233170.44,-120.094,38.62627
-289545.44,-120.5208,38.8577
-267670.44,-120.1582,38.90858
-236295.44,-119.795,38.9581
-268795.44,-120.223,39.19109
-232670.44,-119.8581,39.24089
-246545.44,-120.2885,39.4738
-205545.44,-119.9218,39.5239
1262106.5,-120.4549,38.57567
1189731.5,-120.094,38.62627
1406356.5,-120.5208,38.8577
1369231.5,-120.1582,38.90858
1390981.5,-119.795,38.9581
1498356.5,-120.223,39.19109
1509106.5,-119.8581,39.24089
1612981.5,-120.2885,39.4738
1640981.5,-119.9218,39.5239
709191.4,-120.4549,38.57567
647316.4,-120.094,38.62627
733691.4,-120.5208,38.8577
691441.4,-120.1582,38.90858
700441.4,-119.795,38.9581
737816.4,-120.223,39.19109
736566.4,-119.8581,39.24089
789566.4,-120.2885,39.4738
811691.4,-119.9218,39.5239
431278.8,-120.4549,38.57567
425903.8,-120.094,38.62627
454403.8,-120.5208,38.8577
451403.8,-120.1582,38.90858
448528.8,-119.795,38.9581
492028.8,-120.223,39.19109
483653.8,-119.8581,39.24089
535778.8,-120.2885,39.4738
527653.8,-119.9218,39.5239
946632.3,-120.4549,38.57567
944382.3,-120.094,38.62627
1030382.3,-120.5208,38.8577
1047507.3,-120.1582,38.90858
1026757.3,-119.795,38.9581
1105507.2,-120.223,39.19109
1097757.2,-119.8581,39.24089
1159382.2,-120.2885,39.4738
