uwnd,lon,lat
5.0643883,-120.4549,38.57567
7.5194664,-120.094,38.62627
5.4452477,-120.5208,38.8577
7.5194664,-120.1582,38.90858
6.826107,-119.795,38.9581
6.201107,-120.223,39.19109
6.5057945,-119.8581,39.24089
5.900326,-120.2885,39.4738
6.509701,-119.9218,39.5239
-1.1876373,-120.4549,38.57567
-0.04310608,-120.094,38.62627
-0.9298248,-120.5208,38.8577
-0.041152954,-120.1582,38.90858
1.3475189,-119.795,38.9581
0.6736908,-120.223,39.19109
2.3377533,-119.8581,39.24089
2.0311127,-120.2885,39.4738
2.3377533,-119.9218,39.5239
7.3010707,-120.4549,38.57567
9.644821,-120.094,38.62627
8.640915,-120.5208,38.8577
9.640915,-120.1582,38.90858
6.0491176,-119.795,38.9581
7.5354457,-120.223,39.19109
8.431931,-119.8581,39.24089
9.447556,-120.2885,39.4738
8.426071,-119.9218,39.5239
0.15141869,-120.4549,38.57567
-0.28998756,-120.094,38.62627
0.2764187,-120.5208,38.8577
-0.2938938,-120.1582,38.90858
-1.6454563,-119.795,38.9581
-0.8251438,-120.223,39.19109
-1.0106907,-119.8581,39.24089
-0.7685032,-120.2885,39.4738
-1.0106907,-119.9218,39.5239
1.5823326,-120.4549,38.57567
0.53155136,-120.094,38.62627
0.49053574,-120.5208,38.8577
0.5335045,-120.1582,38.90858
0.35967636,-119.795,38.9581
-0.052433014,-120.223,39.19109
-0.2789955,-119.8581,39.24089
-0.96258926,-120.2885,39.4738
-0.2789955,-119.9218,39.5239
0.7096939,-120.4549,38.57567
1.867897,-120.094,38.62627
1.055397,-120.5208,38.8577
1.8659439,-120.1582,38.90858
0.41867828,-119.795,38.9581
0.79953766,-120.223,39.19109
1.0944595,-119.8581,39.24089
1.1003189,-120.2885,39.4738
1.0944595,-119.9218,39.5239
3.841505,-120.4549,38.57567
5.109083,-120.094,38.62627
4.7516613,-120.5208,38.8577
5.103224,-120.1582,38.90858
0.7379894,-119.795,38.9581
2.8844738,-120.223,39.19109
2.245802,-119.8581,39.24089
3.5524426,-120.2885,39.4738
2.2438488,-119.9218,39.5239
4.666615,-120.4549,38.57567
4.9244275,-120.094,38.62627
5.008412,-120.5208,38.8577
4.9224744,-120.1582,38.90858
-0.27674448,-119.795,38.9581
2.5298963,-120.223,39.19109
1.2213024,-119.8581,39.24089
2.6880994,-120.2885,39.4738
1.2213024,-119.9218,39.5239
-0.81697464,-120.4549,38.57567
-0.34041214,-120.094,38.62627
-0.947834,-120.5208,38.8577
-0.34236526,-120.1582,38.90858
-1.9966621,-119.795,38.9581
-1.8091621,-120.223,39.19109
-1.6275215,-119.8581,39.24089
-1.4185371,-120.2885,39.4738
-1.6275215,-119.9218,39.5239
-1.7546196,-120.4549,38.57567
-1.3346977,-120.094,38.62627
-0.932354,-120.5208,38.8577
-1.338604,-120.1582,38.90858
-1.901104,-119.795,38.9581
-1.5593071,-120.223,39.19109
-1.7507133,-119.8581,39.24089
-1.4733696,-120.2885,39.4738
-1.7546196,-119.9218,39.5239
2.2067986,-120.4549,38.57567
4.82008,-120.094,38.62627
3.009533,-120.5208,38.8577
4.8142204,-120.1582,38.90858
3.040783,-119.795,38.9581
3.5974236,-120.223,39.19109
3.9860954,-119.8581,39.24089
3.8278923,-120.2885,39.4738
3.9860954,-119.9218,39.5239
0.44520187,-120.4549,38.57567
2.2420769,-120.094,38.62627
1.8670769,-120.5208,38.8577
2.2303581,-120.1582,38.90858
-0.29698563,-119.795,38.9581
0.88074875,-120.223,39.19109
0.40613937,-119.8581,39.24089
0.91199875,-120.2885,39.4738
0.40028,-119.9218,39.5239
3.1417255,-120.4549,38.57567
5.9210224,-120.094,38.62627
4.292116,-120.5208,38.8577
5.911257,-120.1582,38.90858
3.555788,-119.795,38.9581
3.6534443,-120.223,39.19109
5.067507,-119.8581,39.24089
5.147585,-120.2885,39.4738
5.0655537,-119.9218,39.5239
4.0079327,-120.4549,38.57567
6.4766827,-120.094,38.62627
5.8516827,-120.5208,38.8577
6.4747295,-120.1582,38.90858
4.7384014,-119.795,38.9581
5.384886,-120.223,39.19109
6.447386,-119.8581,39.24089
7.509886,-120.2885,39.4738
6.4454327,-119.9218,39.5239
