snohf,lon,lat
0.004764557,-120.4549,38.57567
0.004764557,-120.094,38.62627
0.004764557,-120.5208,38.8577
0.004764557,-120.1582,38.90858
0.004764557,-119.795,38.9581
0.004764557,-120.223,39.19109
0.004764557,-119.8581,39.24089
0.004764557,-120.2885,39.4738
0.004764557,-119.9218,39.5239
0.002155304,-120.4549,38.57567
0.002155304,-120.094,38.62627
0.002155304,-120.5208,38.8577
0.002155304,-120.1582,38.90858
0.002155304,-119.795,38.9581
-0.013469696,-120.223,39.19109
-0.2712822,-119.8581,39.24089
0.002155304,-120.2885,39.4738
0.002155304,-119.9218,39.5239
-7.239868,-120.4549,38.57567
-0.005493164,-120.094,38.62627
-4.7320557,-120.5208,38.8577
-0.005493164,-120.1582,38.90858
-4.9195557,-119.795,38.9581
-2.6695557,-120.223,39.19109
-0.013305664,-119.8581,39.24089
-0.005493164,-120.2885,39.4738
-10.411743,-119.9218,39.5239
-11.347025,-120.4549,38.57567
-0.0032749176,-120.094,38.62627
-17.792337,-120.5208,38.8577
-0.0032749176,-120.1582,38.90858
-0.0032749176,-119.795,38.9581
-10.823587,-120.223,39.19109
-0.0032749176,-119.8581,39.24089
-0.0032749176,-120.2885,39.4738
-7.6517124,-119.9218,39.5239
-4.876177,-120.4549,38.57567
0.006635666,-120.094,38.62627
-6.0089893,-120.5208,38.8577
0.006635666,-120.1582,38.90858
0.006635666,-119.795,38.9581
-4.298052,-120.223,39.19109
0.006635666,-119.8581,39.24089
0.006635666,-120.2885,39.4738
-1.0480518,-119.9218,39.5239
-3.2624226,-120.4549,38.57567
-0.90304756,-120.094,38.62627
-4.19211,-120.5208,38.8577
-0.49679756,-120.1582,38.90858
-0.53586006,-119.795,38.9581
-4.113985,-120.223,39.19109
0.0032024384,-119.8581,39.24089
-0.03586006,-120.2885,39.4738
-2.50461,-119.9218,39.5239
-19.10725,-120.4549,38.57567
-73.34162,-120.094,38.62627
-0.8572502,-120.5208,38.8577
-53.99006,-120.1582,38.90858
-57.302563,-119.795,38.9581
-145.33382,-120.223,39.19109
-64.30256,-119.8581,39.24089
-82.18537,-120.2885,39.4738
-26.435375,-119.9218,39.5239
-35.56128,-120.4549,38.57567
-63.40503,-120.094,38.62627
-2.1550293,-120.5208,38.8577
-19.15503,-120.1582,38.90858
-100.97534,-119.795,38.9581
-54.49878,-120.223,39.19109
-60.12378,-119.8581,39.24089
-48.733154,-120.2885,39.4738
-35.733154,-119.9218,39.5239
-14.840551,-120.4549,38.57567
-22.903051,-120.094,38.62627
-2.2077389,-120.5208,38.8577
-7.051489,-120.1582,38.90858
-38.348366,-119.795,38.9581
-39.918674,-120.223,39.19109
-32.85618,-119.8581,39.24089
-36.653053,-120.2885,39.4738
-30.731176,-119.9218,39.5239
-0.0060653687,-120.4549,38.57567
-41.795128,-120.094,38.62627
-0.0060653687,-120.5208,38.8577
-6.513878,-120.1582,38.90858
-49.482628,-119.795,38.9581
-34.131065,-120.223,39.19109
-18.412315,-119.8581,39.24089
-43.263878,-120.2885,39.4738
-16.67794,-119.9218,39.5239
-0.0072231293,-120.4549,38.57567
-34.890038,-120.094,38.62627
-0.0072231293,-120.5208,38.8577
-17.390036,-120.1582,38.90858
-31.06191,-119.795,38.9581
-35.296288,-120.223,39.19109
-27.983786,-119.8581,39.24089
-36.858788,-120.2885,39.4738
-8.163473,-119.9218,39.5239
-0.001335144,-120.4549,38.57567
-41.79821,-120.094,38.62627
-0.001335144,-120.5208,38.8577
-19.595085,-120.1582,38.90858
-34.82946,-119.795,38.9581
-27.86071,-120.223,39.19109
-34.220085,-119.8581,39.24089
-45.384148,-120.2885,39.4738
-9.321648,-119.9218,39.5239
0.0019721985,-120.4549,38.57567
