dswrf,lon,lat
146.94531,-120.4549,38.57567
150.79688,-120.094,38.62627
145.03125,-120.5208,38.8577
147.47656,-120.1582,38.90858
145.89844,-119.795,38.9581
145.375,-120.223,39.19109
145.91406,-119.8581,39.24089
144.86719,-120.2885,39.4738
111.78125,-119.9218,39.5239
116.44531,-120.4549,38.57567
128.5,-120.094,38.62627
114.734375,-120.5208,38.8577
122.390625,-120.1582,38.90858
125.84375,-119.795,38.9581
118.11719,-120.223,39.19109
124.828125,-119.8581,39.24089
118.58594,-120.2885,39.4738
118.27344,-119.9218,39.5239
90.08594,-120.4549,38.57567
138.82031,-120.094,38.62627
89.109375,-120.5208,38.8577
118.03125,-120.1582,38.90858
122.96094,-119.795,38.9581
124.13281,-120.223,39.19109
134.23438,-119.8581,39.24089
112.13281,-120.2885,39.4738
118.16406,-119.9218,39.5239
112.65625,-120.4549,38.57567
138.35156,-120.094,38.62627
119.69531,-120.5208,38.8577
132.6875,-120.1582,38.90858
136.0,-119.795,38.9581
128.91406,-120.223,39.19109
131.45312,-119.8581,39.24089
126.13281,-120.2885,39.4738
120.77344,-119.9218,39.5239
84.67969,-120.4549,38.57567
129.89844,-120.094,38.62627
84.46875,-120.5208,38.8577
117.1875,-120.1582,38.90858
116.96875,-119.795,38.9581
114.71875,-120.223,39.19109
109.75781,-119.8581,39.24089
88.359375,-120.2885,39.4738
97.22656,-119.9218,39.5239
84.96094,-120.4549,38.57567
114.83594,-120.094,38.62627
90.74219,-120.5208,38.8577
107.85156,-120.1582,38.90858
113.25781,-119.795,38.9581
106.171875,-120.223,39.19109
114.234375,-119.8581,39.24089
112.765625,-120.2885,39.4738
112.88281,-119.9218,39.5239
48.828125,-120.4549,38.57567
101.22656,-120.094,38.62627
50.0,-120.5208,38.8577
88.5625,-120.1582,38.90858
82.89844,-119.795,38.9581
88.453125,-120.223,39.19109
82.25,-119.8581,39.24089
99.203125,-120.2885,39.4738
93.59375,-119.9218,39.5239
48.9375,-120.4549,38.57567
106.140625,-120.094,38.62627
82.546875,-120.5208,38.8577
80.1875,-120.1582,38.90858
81.42969,-119.795,38.9581
70.69531,-120.223,39.19109
81.02344,-119.8581,39.24089
95.80469,-120.2885,39.4738
81.22656,-119.9218,39.5239
60.828125,-120.4549,38.57567
110.00781,-120.094,38.62627
81.07031,-120.5208,38.8577
100.53906,-120.1582,38.90858
113.328125,-119.795,38.9581
95.88281,-120.223,39.19109
109.83594,-119.8581,39.24089
112.78906,-120.2885,39.4738
107.02344,-119.9218,39.5239
54.421875,-120.4549,38.57567
111.11719,-120.094,38.62627
47.765625,-120.5208,38.8577
85.32031,-120.1582,38.90858
88.046875,-119.795,38.9581
75.80469,-120.223,39.19109
80.33594,-119.8581,39.24089
90.89844,-120.2885,39.4738
85.32031,-119.9218,39.5239
112.78906,-120.4549,38.57567
137.00781,-120.094,38.62627
96.40625,-120.5208,38.8577
127.8125,-120.1582,38.90858
134.94531,-119.795,38.9581
110.21094,-120.223,39.19109
125.78906,-119.8581,39.24089
126.59375,-120.2885,39.4738
114.265625,-119.9218,39.5239
118.875,-120.4549,38.57567
137.8125,-120.094,38.62627
111.89844,-120.5208,38.8577
129.74219,-120.1582,38.90858
133.72656,-119.795,38.9581
126.86719,-120.223,39.19109
131.57812,-119.8581,39.24089
129.82812,-120.2885,39.4738
126.47656,-119.9218,39.5239
33.296875,-120.4549,38.57567
75.24219,-120.094,38.62627
35.4375,-120.5208,38.8577
77.515625,-120.1582,38.90858
105.97656,-119.795,38.9581
61.046875,-120.223,39.19109
106.765625,-119.8581,39.24089
94.75781,-120.2885,39.4738
103.64844,-119.9218,39.5239
67.40625,-120.4549,38.57567
112.28906,-120.094,38.62627
60.289062,-120.5208,38.8577
85.5,-120.1582,38.90858
89.59375,-119.795,38.9581
48.679688,-120.223,39.19109
70.30469,-119.8581,39.24089
70.75,-120.2885,39.4738
54.898438,-119.9218,39.5239
127.40625,-120.4549,38.57567
139.39844,-120.094,38.62627
130.07812,-120.5208,38.8577
136.03906,-120.1582,38.90858
136.76562,-119.795,38.9581
132.71094,-120.223,39.19109
133.90625,-119.8581,39.24089
133.4375,-120.2885,39.4738
128.14844,-119.9218,39.5239
125.625,-120.4549,38.57567
130.6875,-120.094,38.62627
123.28125,-120.5208,38.8577
126.39844,-120.1582,38.90858
128.85156,-119.795,38.9581
124.59375,-120.223,39.19109
124.27344,-119.8581,39.24089
125.078125,-120.2885,39.4738
118.58594,-119.9218,39.5239
53.398438,-120.4549,38.57567
126.09375,-120.094,38.62627
36.523438,-120.5208,38.8577
111.05469,-120.1582,38.90858
123.421875,-119.795,38.9581
80.53125,-120.223,39.19109
115.71875,-119.8581,39.24089
110.890625,-120.2885,39.4738
103.59375,-119.9218,39.5239
79.78906,-120.4549,38.57567
113.03125,-120.094,38.62627
69.75,-120.5208,38.8577
109.125,-120.1582,38.90858
119.359375,-119.795,38.9581
94.08594,-120.223,39.19109
115.05469,-119.8581,39.24089
112.49219,-120.2885,39.4738
111.35156,-119.9218,39.5239
49.695312,-120.4549,38.57567
88.484375,-120.094,38.62627
43.078125,-120.5208,38.8577
77.796875,-120.1582,38.90858
77.546875,-119.795,38.9581
60.507812,-120.223,39.19109
76.58594,-119.8581,39.24089
74.484375,-120.2885,39.4738
57.429688,-119.9218,39.5239
93.86719,-120.4549,38.57567
133.5,-120.094,38.62627
80.46875,-120.5208,38.8577
122.8125,-120.1582,38.90858
129.32031,-119.795,38.9581
101.234375,-120.223,39.19109
122.72656,-119.8581,39.24089
117.40625,-120.2885,39.4738
96.75781,-119.9218,39.5239
121.703125,-120.4549,38.57567
135.39062,-120.094,38.62627
98.671875,-120.5208,38.8577
