uwnd,lon,lat
1.1708834,-120.4549,38.57567
3.211899,-120.094,38.62627
1.6220553,-120.5208,38.8577
3.2128756,-120.1582,38.90858
3.3798678,-119.795,38.9581
3.187485,-120.223,39.19109
3.4960787,-119.8581,39.24089
3.8202975,-120.2885,39.4738
3.4990084,-119.9218,39.5239
0.3238182,-120.4549,38.57567
1.3833885,-120.094,38.62627
0.054286957,-120.5208,38.8577
1.3843651,-120.1582,38.90858
0.05916977,-119.795,38.9581
1.5611229,-120.223,39.19109
0.8111229,-119.8581,39.24089
1.4966698,-120.2885,39.4738
0.81014633,-119.9218,39.5239
2.0165992,-120.4549,38.57567
2.302732,-120.094,38.62627
3.231443,-120.5208,38.8577
2.2988257,-120.1582,38.90858
8.083006,-119.795,38.9581
5.006834,-120.223,39.19109
8.487303,-119.8581,39.24089
1.1513649,-120.2885,39.4738
8.47949,-119.9218,39.5239
0.021062851,-120.4549,38.57567
0.033758163,-120.094,38.62627
-0.36663246,-120.5208,38.8577
0.033758163,-120.1582,38.90858
-0.14788246,-119.795,38.9581
-0.46135902,-120.223,39.19109
-0.18303871,-119.8581,39.24089
0.19098473,-120.2885,39.4738
-0.18499184,-119.9218,39.5239
1.1007175,-120.4549,38.57567
1.467905,-120.094,38.62627
1.592905,-120.5208,38.8577
1.467905,-120.1582,38.90858
1.7364597,-119.795,38.9581
0.9561863,-120.223,39.19109
0.90052223,-119.8581,39.24089
1.5235691,-120.2885,39.4738
0.90247536,-119.9218,39.5239
-1.6205845,-120.4549,38.57567
1.065939,-120.094,38.62627
-1.5922642,-120.5208,38.8577
1.0649624,-120.1582,38.90858
1.4936733,-119.795,38.9581
1.0298061,-120.223,39.19109
1.5493374,-119.8581,39.24089
0.14601707,-120.2885,39.4738
1.5473843,-119.9218,39.5239
-4.919073,-120.4549,38.57567
-0.91516685,-120.094,38.62627
-3.6651669,-120.5208,38.8577
-0.91809654,-120.1582,38.90858
2.7762394,-119.795,38.9581
-0.557745,-120.223,39.19109
3.27038,-119.8581,39.24089
-4.0430965,-120.2885,39.4738
3.263544,-119.9218,39.5239
-4.0978775,-120.4549,38.57567
-1.5217055,-120.094,38.62627
-2.9064713,-120.5208,38.8577
-1.520729,-120.1582,38.90858
2.2458725,-119.795,38.9581
-1.0041274,-120.223,39.19109
2.3239975,-119.8581,39.24089
-2.19944,-120.2885,39.4738
2.3210678,-119.9218,39.5239
-2.0172157,-120.4549,38.57567
0.5218468,-120.094,38.62627
-1.942997,-120.5208,38.8577
0.5208702,-120.1582,38.90858
-1.1314735,-119.795,38.9581
0.3128624,-120.223,39.19109
-0.9137001,-119.8581,39.24089
-1.529911,-120.2885,39.4738
-0.9156532,-119.9218,39.5239
-1.096426,-120.4549,38.57567
-0.56419945,-120.094,38.62627
-0.43626976,-120.5208,38.8577
-0.565176,-120.1582,38.90858
-0.25658226,-119.795,38.9581
-0.70189476,-120.223,39.19109
-0.52513695,-119.8581,39.24089
-1.650137,-120.2885,39.4738
-0.5270901,-119.9218,39.5239
-1.3041459,-120.4549,38.57567
1.4819869,-120.094,38.62627
-1.0853959,-120.5208,38.8577
1.4800338,-120.1582,38.90858
2.7642136,-119.795,38.9581
1.6704634,-120.223,39.19109
2.740776,-119.8581,39.24089
0.87358844,-120.2885,39.4738
2.7397995,-119.9218,39.5239
-1.5586147,-120.4549,38.57567
0.3730259,-120.094,38.62627
-1.093771,-120.5208,38.8577
0.37107277,-120.1582,38.90858
1.9003696,-119.795,38.9581
0.36911964,-120.223,39.19109
1.7001743,-119.8581,39.24089
-2.4267788,-120.2885,39.4738
1.6982212,-119.9218,39.5239
-2.1731262,-120.4549,38.57567
1.2106628,-120.094,38.62627
-1.5403137,-120.5208,38.8577
1.2087097,-120.1582,38.90858
5.261444,-119.795,38.9581
3.703827,-120.223,39.19109
5.860077,-119.8581,39.24089
-1.0989075,-120.2885,39.4738
5.851288,-119.9218,39.5239
0.49282455,-120.4549,38.57567
2.4586449,-120.094,38.62627
2.0504417,-120.5208,38.8577
2.4557152,-120.1582,38.90858
6.00552,-119.795,38.9581
3.7672386,-120.223,39.19109
6.739895,-119.8581,39.24089
1.4898949,-120.2885,39.4738
6.7359886,-119.9218,39.5239
-0.28606606,-120.4549,38.57567
1.5811214,-120.094,38.62627
-0.8895817,-120.5208,38.8577
1.5811214,-120.1582,38.90858
-1.7743473,-119.795,38.9581
1.5000668,-120.223,39.19109
-1.0165348,-119.8581,39.24089
1.3535824,-120.2885,39.4738
-1.0145817,-119.9218,39.5239
0.041059494,-120.4549,38.57567
2.3574657,-120.094,38.62627
-0.033159256,-120.5208,38.8577
2.354536,-120.1582,38.90858
1.8174267,-119.795,38.9581
2.1016064,-120.223,39.19109
2.0430126,-119.8581,39.24089
-1.482378,-120.2885,39.4738
2.0430126,-119.9218,39.5239
-0.6181431,-120.4549,38.57567
2.4355679,-120.094,38.62627
-0.3183384,-120.5208,38.8577
2.4326382,-120.1582,38.90858
5.616232,-119.795,38.9581
3.3388882,-120.223,39.19109
5.620138,-119.8581,39.24089
0.6865444,-120.2885,39.4738
5.616232,-119.9218,39.5239
-0.025035858,-120.4549,38.57567
3.3841438,-120.094,38.62627
0.941761,-120.5208,38.8577
3.3821907,-120.1582,38.90858
7.9739876,-119.795,38.9581
5.834339,-120.223,39.19109
8.579456,-119.8581,39.24089
2.2718391,-120.2885,39.4738
8.5745735,-119.9218,39.5239
0.25471687,-120.4549,38.57567
2.6140919,-120.094,38.62627
0.25471687,-120.5208,38.8577
2.6121387,-120.1582,38.90858
6.542803,-119.795,38.9581
4.5437794,-120.223,39.19109
7.1121387,-119.8581,39.24089
2.3250294,-120.2885,39.4738
7.109209,-119.9218,39.5239
1.2979126,-120.4549,38.57567
3.0801392,-120.094,38.62627
1.6885376,-120.5208,38.8577
3.0791626,-120.1582,38.90858
7.411194,-119.795,38.9581
4.8516235,-120.223,39.19109
7.663147,-119.8581,39.24089
2.857483,-120.2885,39.4738
7.661194,-119.9218,39.5239
1.4602299,-120.4549,38.57567
2.7541752,-120.094,38.62627
1.5549564,-120.5208,38.8577
2.7541752,-120.1582,38.90858
4.3489017,-119.795,38.9581
3.6057377,-120.223,39.19109
3.6848392,-119.8581,39.24089
3.884058,-120.2885,39.4738
3.6838627,-119.9218,39.5239
-0.12525749,-120.4549,38.57567
1.2214222,-120.094,38.62627
-1.3215466,-120.5208,38.8577
1.2214222,-120.1582,38.90858
-2.9416637,-119.795,38.9581
1.2761097,-120.223,39.19109
-2.6203747,-119.8581,39.24089
0.47728157,-120.2885,39.4738
-2.6184216,-119.9218,39.5239
-1.0415726,-120.4549,38.57567
-1.1890335,-120.094,38.62627
-0.9946976,-120.5208,38.8577
-1.1900101,-120.1582,38.90858
-1.5044632,-119.795,38.9581
-0.5591507,-120.223,39.19109
-0.9517288,-119.8581,39.24089
-3.063057,-120.2885,39.4738
-0.9546585,-119.9218,39.5239
-2.1390972,-120.4549,38.57567
-0.78167534,-120.094,38.62627
-1.6771832,-120.5208,38.8577
-0.78362846,-120.1582,38.90858
1.94977,-119.795,38.9581
0.2515278,-120.223,39.19109
2.2525043,-119.8581,39.24089
-2.3930035,-120.2885,39.4738
2.2495747,-119.9218,39.5239
-0.7243233,-120.4549,38.57567
2.6135674,-120.094,38.62627
-0.52998734,-120.5208,38.8577
2.6125908,-120.1582,38.90858
3.748333,-119.795,38.9581
2.7961845,-120.223,39.19109
4.4700127,-119.8581,39.24089
0.052043915,-120.2885,39.4738
4.469036,-119.9218,39.5239
-0.9227927,-120.4549,38.57567
1.8340433,-120.094,38.62627
-0.78021455,-120.5208,38.8577
1.8311136,-120.1582,38.90858
2.9600198,-119.795,38.9581
1.8184183,-120.223,39.19109
3.9365823,-119.8581,39.24089
-0.6327536,-120.2885,39.4738
3.9316995,-119.9218,39.5239
-0.41757536,-120.4549,38.57567
0.67617464,-120.094,38.62627
0.06582308,-120.5208,38.8577
0.6742215,-120.1582,38.90858
3.6996121,-119.795,38.9581
1.6390653,-120.223,39.19109
4.793362,-119.8581,39.24089
-1.7124972,-120.2885,39.4738
4.787503,-119.9218,39.5239
-1.783802,-120.4549,38.57567
0.3324089,-120.094,38.62627
-1.2037239,-120.5208,38.8577
0.33143234,-120.1582,38.90858
2.8675652,-119.795,38.9581
1.4837761,-120.223,39.19109
3.6234245,-119.8581,39.24089
-1.2632942,-120.2885,39.4738
3.6165886,-119.9218,39.5239
-0.33952498,-120.4549,38.57567
0.29817033,-120.094,38.62627
-0.29557967,-120.5208,38.8577
0.29817033,-120.1582,38.90858
1.4817641,-119.795,38.9581
0.62531877,-120.223,39.19109
1.5393813,-119.8581,39.24089
1.2630141,-120.2885,39.4738
1.5384047,-119.9218,39.5239
0.92927337,-120.4549,38.57567
1.3345468,-120.094,38.62627
0.96833587,-120.5208,38.8577
1.3355234,-120.1582,38.90858
2.5767343,-119.795,38.9581
1.479078,-120.223,39.19109
2.4468515,-119.8581,39.24089
1.5425546,-120.2885,39.4738
2.4448984,-119.9218,39.5239
-0.3142395,-120.4549,38.57567
2.2697449,-120.094,38.62627
-0.4499817,-120.5208,38.8577
2.2677917,-120.1582,38.90858
2.8166199,-119.795,38.9581
2.4328308,-120.223,39.19109
2.8908386,-119.8581,39.24089
1.0422058,-120.2885,39.4738
2.889862,-119.9218,39.5239
-1.2435665,-120.4549,38.57567
-3.0384884,-120.094,38.62627
-1.8265743,-120.5208,38.8577
-3.0375118,-120.1582,38.90858
-5.1185665,-119.795,38.9581
-2.8187618,-120.223,39.19109
-4.637121,-119.8581,39.24089
-2.8011837,-120.2885,39.4738
-4.637121,-119.9218,39.5239
0.2179966,-120.4549,38.57567
0.13889503,-120.094,38.62627
-1.1648159,-120.5208,38.8577
0.13889503,-120.1582,38.90858
-3.9802456,-119.795,38.9581
-0.48415184,-120.223,39.19109
-3.7566128,-119.8581,39.24089
-0.54079247,-120.2885,39.4738
-3.753683,-119.9218,39.5239
0.4057808,-120.4549,38.57567
2.907734,-120.094,38.62627
-0.6410942,-120.5208,38.8577
2.9067574,-120.1582,38.90858
-3.0248833,-119.795,38.9581
1.3647652,-120.223,39.19109
-2.7250786,-119.8581,39.24089
2.2885933,-120.2885,39.4738
-2.7231255,-119.9218,39.5239
0.6207862,-120.4549,38.57567
2.0582862,-120.094,38.62627
0.29949713,-120.5208,38.8577
2.0553565,-120.1582,38.90858
0.6696143,-119.795,38.9581
2.0084815,-120.223,39.19109
1.1578956,-119.8581,39.24089
-0.07354975,-120.2885,39.4738
1.1559424,-119.9218,39.5239
-0.0029164553,-120.4549,38.57567
-2.1581898,-120.094,38.62627
-0.8115102,-120.5208,38.8577
-2.1581898,-120.1582,38.90858
-3.6269398,-119.795,38.9581
-1.6630727,-120.223,39.19109
-3.5917835,-119.8581,39.24089
-1.6738149,-120.2885,39.4738
-3.5917835,-119.9218,39.5239
-0.99410486,-120.4549,38.57567
-1.3388314,-120.094,38.62627
-2.0790658,-120.5208,38.8577
-1.3388314,-120.1582,38.90858
-5.082972,-119.795,38.9581
-1.2255502,-120.223,39.19109
-4.3818,-119.8581,39.24089
-1.4364877,-120.2885,39.4738
-4.379847,-119.9218,39.5239
0.4621296,-120.4549,38.57567
3.5412312,-120.094,38.62627
0.82541084,-120.5208,38.8577
3.5402546,-120.1582,38.90858
3.429903,-119.795,38.9581
4.5207233,-120.223,39.19109
4.353731,-119.8581,39.24089
4.0871296,-120.2885,39.4738
4.3576374,-119.9218,39.5239
0.94063187,-120.4549,38.57567
3.4748116,-120.094,38.62627
0.7931709,-120.5208,38.8577
3.4748116,-120.1582,38.90858
0.2287178,-119.795,38.9581
3.132038,-120.223,39.19109
0.7599678,-119.8581,39.24089
3.725788,-120.2885,39.4738
0.7648506,-119.9218,39.5239
0.17502975,-120.4549,38.57567
2.4806938,-120.094,38.62627
-0.6599312,-120.5208,38.8577
2.4797173,-120.1582,38.90858
-2.8737984,-119.795,38.9581
1.9435844,-120.223,39.19109
-2.454853,-119.8581,39.24089
0.96409225,-120.2885,39.4738
-2.4558296,-119.9218,39.5239
-0.13958931,-120.4549,38.57567
3.4463482,-120.094,38.62627
0.12701225,-120.5208,38.8577
3.4453716,-120.1582,38.90858
7.0108013,-119.795,38.9581
4.6934185,-120.223,39.19109
7.5576763,-119.8581,39.24089
1.9170513,-120.2885,39.4738
7.551817,-119.9218,39.5239
0.4031868,-120.4549,38.57567
2.869007,-120.094,38.62627
1.0906868,-120.5208,38.8577
2.869007,-120.1582,38.90858
4.746937,-119.795,38.9581
2.5994759,-120.223,39.19109
4.825062,-119.8581,39.24089
1.663929,-120.2885,39.4738
4.824085,-119.9218,39.5239
-0.5978966,-120.4549,38.57567
2.387455,-120.094,38.62627
-1.2805138,-120.5208,38.8577
2.387455,-120.1582,38.90858
-1.963131,-119.795,38.9581
2.2009315,-120.223,39.19109
-1.0422325,-119.8581,39.24089
0.8903847,-120.2885,39.4738
-1.0393028,-119.9218,39.5239
-0.8060385,-120.4549,38.57567
2.0572429,-120.094,38.62627
-0.8812338,-120.5208,38.8577
2.0543132,-120.1582,38.90858
2.394157,-119.795,38.9581
2.130485,-120.223,39.19109
2.9820473,-119.8581,39.24089
-1.3997885,-120.2885,39.4738
2.9791176,-119.9218,39.5239
1.4371278,-120.4549,38.57567
3.4215028,-120.094,38.62627
1.3658388,-120.5208,38.8577
3.4205263,-120.1582,38.90858
5.8306828,-119.795,38.9581
4.122675,-120.223,39.19109
6.173456,-119.8581,39.24089
2.7662294,-120.2885,39.4738
6.171503,-119.9218,39.5239
1.172266,-120.4549,38.57567
2.4808598,-120.094,38.62627
0.7865238,-120.5208,38.8577
2.4808598,-120.1582,38.90858
3.9730473,-119.795,38.9581
3.7982426,-120.223,39.19109
4.361719,-119.8581,39.24089
3.0667973,-120.2885,39.4738
