shtfl,lon,lat
-35.680664,-120.4549,38.57567
-11.899414,-120.094,38.62627
-31.344727,-120.5208,38.8577
-17.297852,-120.1582,38.90858
-21.188477,-119.795,38.9581
-25.422852,-120.223,39.19109
6.5615234,-119.8581,39.24089
-18.766602,-120.2885,39.4738
-16.938477,-119.9218,39.5239
-11.196136,-120.4549,38.57567
-27.828949,-120.094,38.62627
-16.407074,-120.5208,38.8577
-27.485199,-120.1582,38.90858
-30.657074,-119.795,38.9581
-24.508636,-120.223,39.19109
-9.078949,-119.8581,39.24089
-31.000824,-120.2885,39.4738
-30.680511,-119.9218,39.5239
8.017792,-120.4549,38.57567
6.0802917,-120.094,38.62627
4.5021667,-120.5208,38.8577
4.9474792,-120.1582,38.90858
8.877167,-119.795,38.9581
1.6896667,-120.223,39.19109
18.29123,-119.8581,39.24089
13.814667,-120.2885,39.4738
14.658417,-119.9218,39.5239
-1.7556152,-120.4549,38.57567
-6.17749,-120.094,38.62627
0.26782227,-120.5208,38.8577
-15.591553,-120.1582,38.90858
-7.9040527,-119.795,38.9581
-5.1696777,-120.223,39.19109
-6.786865,-119.8581,39.24089
-11.560303,-120.2885,39.4738
-6.80249,-119.9218,39.5239
-4.7033386,-120.4549,38.57567
-12.320526,-120.094,38.62627
0.8435364,-120.5208,38.8577
-7.5627136,-120.1582,38.90858
-4.179901,-119.795,38.9581
-4.1095886,-120.223,39.19109
2.1013489,-119.8581,39.24089
0.8357239,-120.2885,39.4738
-5.2033386,-119.9218,39.5239
10.539093,-120.4549,38.57567
16.273468,-120.094,38.62627
15.0781555,-120.5208,38.8577
5.304718,-120.1582,38.90858
9.226593,-119.795,38.9581
19.12503,-120.223,39.19109
11.5937805,-119.8581,39.24089
11.695343,-120.2885,39.4738
7.3437805,-119.9218,39.5239
39.38452,-120.4549,38.57567
29.173584,-120.094,38.62627
13.1657715,-120.5208,38.8577
28.189209,-120.1582,38.90858
11.7126465,-119.795,38.9581
70.47046,-120.223,39.19109
25.345459,-119.8581,39.24089
36.10327,-120.2885,39.4738
7.611084,-119.9218,39.5239
37.680206,-120.4549,38.57567
28.789581,-120.094,38.62627
-1.6322937,-120.5208,38.8577
6.5708313,-120.1582,38.90858
6.0083313,-119.795,38.9581
41.60208,-120.223,39.19109
14.867706,-119.8581,39.24089
14.359894,-120.2885,39.4738
4.578644,-119.9218,39.5239
15.446503,-120.4549,38.57567
18.696503,-120.094,38.62627
-2.6472473,-120.5208,38.8577
6.141815,-120.1582,38.90858
11.798065,-119.795,38.9581
21.079315,-120.223,39.19109
14.298065,-119.8581,39.24089
20.509003,-120.2885,39.4738
10.548065,-119.9218,39.5239
3.6938477,-120.4549,38.57567
23.123535,-120.094,38.62627
3.4907227,-120.5208,38.8577
6.6782227,-120.1582,38.90858
17.498535,-119.795,38.9581
23.779785,-120.223,39.19109
19.936035,-119.8581,39.24089
26.592285,-120.2885,39.4738
10.396973,-119.9218,39.5239
-13.420898,-120.4549,38.57567
31.141602,-120.094,38.62627
-13.084961,-120.5208,38.8577
8.797852,-120.1582,38.90858
17.891602,-119.795,38.9581
13.383789,-120.223,39.19109
14.563477,-119.8581,39.24089
16.493164,-120.2885,39.4738
3.6103516,-119.9218,39.5239
-0.4289856,-120.4549,38.57567
63.422577,-120.094,38.62627
2.313202,-120.5208,38.8577
39.571014,-120.1582,38.90858
31.531952,-119.795,38.9581
