mcdc,lon,lat
4.375,-120.094,38.62627
5.75,-120.5208,38.8577
4.0,-120.1582,38.90858
3.375,-119.795,38.9581
3.75,-120.223,39.19109
3.5,-119.8581,39.24089
3.75,-120.2885,39.4738
3.375,-119.9218,39.5239
47.625,-120.4549,38.57567
47.875,-120.094,38.62627
46.875,-120.5208,38.8577
45.375,-120.1582,38.90858
43.75,-119.795,38.9581
44.5,-120.223,39.19109
43.125,-119.8581,39.24089
47.75,-120.2885,39.4738
41.875,-119.9218,39.5239
42.25,-120.4549,38.57567
20.75,-120.094,38.62627
40.75,-120.5208,38.8577
29.75,-120.1582,38.90858
35.125,-119.795,38.9581
39.375,-120.223,39.19109
44.375,-119.8581,39.24089
45.375,-120.2885,39.4738
50.375,-119.9218,39.5239
37.5,-120.4549,38.57567
32.5,-120.094,38.62627
40.75,-120.5208,38.8577
38.25,-120.1582,38.90858
33.875,-119.795,38.9581
42.5,-120.223,39.19109
38.25,-119.8581,39.24089
47.5,-120.2885,39.4738
42.5,-119.9218,39.5239
51.875,-120.4549,38.57567
45.875,-120.094,38.62627
51.375,-120.5208,38.8577
49.625,-120.1582,38.90858
57.625,-119.795,38.9581
53.375,-120.223,39.19109
65.0,-119.8581,39.24089
56.25,-120.2885,39.4738
69.875,-119.9218,39.5239
15.25,-120.4549,38.57567
6.125,-120.094,38.62627
15.125,-120.5208,38.8577
6.25,-120.1582,38.90858
2.125,-119.795,38.9581
7.75,-120.223,39.19109
2.0,-119.8581,39.24089
6.75,-120.2885,39.4738
3.125,-119.9218,39.5239
62.375,-120.4549,38.57567
37.0,-120.094,38.62627
58.625,-120.5208,38.8577
33.25,-120.1582,38.90858
21.625,-119.795,38.9581
33.875,-120.223,39.19109
22.125,-119.8581,39.24089
26.625,-120.2885,39.4738
21.25,-119.9218,39.5239
74.25,-120.4549,38.57567
86.375,-120.094,38.62627
68.625,-120.5208,38.8577
86.25,-120.1582,38.90858
89.125,-119.795,38.9581
80.125,-120.223,39.19109
89.25,-119.8581,39.24089
72.875,-120.2885,39.4738
78.0,-119.9218,39.5239
31.75,-120.4549,38.57567
45.75,-120.094,38.62627
27.625,-120.5208,38.8577
42.125,-120.1582,38.90858
51.25,-119.795,38.9581
33.125,-120.223,39.19109
46.5,-119.8581,39.24089
24.75,-120.2885,39.4738
33.0,-119.9218,39.5239
36.875,-120.4549,38.57567
34.375,-120.094,38.62627
35.125,-120.5208,38.8577
33.0,-120.1582,38.90858
35.375,-119.795,38.9581
35.625,-120.223,39.19109
40.5,-119.8581,39.24089
38.75,-120.2885,39.4738
35.875,-119.9218,39.5239
42.0,-120.4549,38.57567
41.0,-120.094,38.62627
33.5,-120.5208,38.8577
34.375,-120.1582,38.90858
31.625,-119.795,38.9581
24.75,-120.223,39.19109
22.375,-119.8581,39.24089
16.625,-120.2885,39.4738
16.625,-119.9218,39.5239
2.5,-120.4549,38.57567
2.375,-120.094,38.62627
2.125,-120.5208,38.8577
1.875,-120.1582,38.90858
1.375,-119.795,38.9581
1.75,-120.223,39.19109
1.375,-119.8581,39.24089
2.25,-120.2885,39.4738
2.75,-119.9218,39.5239
9.375,-120.4549,38.57567
6.5,-120.094,38.62627
10.5,-120.5208,38.8577
6.875,-120.1582,38.90858
3.875,-119.795,38.9581
7.875,-120.223,39.19109
4.875,-119.8581,39.24089
8.75,-120.2885,39.4738
5.75,-119.9218,39.5239
79.375,-120.4549,38.57567
71.75,-120.094,38.62627
80.5,-120.5208,38.8577
74.625,-120.1582,38.90858
70.375,-119.795,38.9581
76.375,-120.223,39.19109
73.125,-119.8581,39.24089
77.625,-120.2885,39.4738
76.125,-119.9218,39.5239
22.875,-120.4549,38.57567
24.875,-120.094,38.62627
19.625,-120.5208,38.8577
24.125,-120.1582,38.90858
30.625,-119.795,38.9581
21.625,-120.223,39.19109
29.875,-119.8581,39.24089
18.875,-120.2885,39.4738
24.375,-119.9218,39.5239
12.75,-120.4549,38.57567
11.375,-120.094,38.62627
16.5,-120.5208,38.8577
14.625,-120.1582,38.90858
13.875,-119.795,38.9581
17.125,-120.223,39.19109
15.625,-119.8581,39.24089
19.625,-120.2885,39.4738
18.125,-119.9218,39.5239
48.625,-120.4549,38.57567
49.25,-120.094,38.62627
55.625,-120.5208,38.8577
48.125,-120.1582,38.90858
40.5,-119.795,38.9581
46.75,-120.223,39.19109
37.5,-119.8581,39.24089
47.375,-120.2885,39.4738
42.75,-119.9218,39.5239
38.0,-120.4549,38.57567
35.0,-120.094,38.62627
40.125,-120.5208,38.8577
37.5,-120.1582,38.90858
32.75,-119.795,38.9581
38.125,-120.223,39.19109
34.125,-119.8581,39.24089
40.0,-120.2885,39.4738
35.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
1.0,-120.1582,38.90858
2.75,-119.795,38.9581
1.5,-120.223,39.19109
3.375,-119.8581,39.24089
0.75,-120.2885,39.4738
2.375,-119.9218,39.5239
17.25,-120.4549,38.57567
10.875,-120.094,38.62627
23.625,-120.5208,38.8577
12.0,-120.1582,38.90858
5.0,-119.795,38.9581
14.375,-120.223,39.19109
7.25,-119.8581,39.24089
17.625,-120.2885,39.4738
10.375,-119.9218,39.5239
22.875,-120.4549,38.57567
21.0,-120.094,38.62627
31.125,-120.5208,38.8577
26.875,-120.1582,38.90858
20.75,-119.795,38.9581
28.875,-120.223,39.19109
25.125,-119.8581,39.24089
31.0,-120.2885,39.4738
30.0,-119.9218,39.5239
2.5,-120.4549,38.57567
3.0,-120.094,38.62627
6.25,-120.5208,38.8577
7.25,-120.1582,38.90858
6.875,-119.795,38.9581
10.875,-120.223,39.19109
10.875,-119.8581,39.24089
14.375,-120.2885,39.4738
14.0,-119.9218,39.5239
6.75,-120.4549,38.57567
5.125,-120.094,38.62627
4.5,-120.5208,38.8577
5.0,-120.1582,38.90858
4.875,-119.795,38.9581
12.25,-120.223,39.19109
7.75,-119.8581,39.24089
12.0,-120.2885,39.4738
11.75,-119.9218,39.5239
29.375,-120.4549,38.57567
27.625,-120.094,38.62627
39.125,-120.5208,38.8577
36.0,-120.1582,38.90858
27.375,-119.795,38.9581
41.625,-120.223,39.19109
33.75,-119.8581,39.24089
44.875,-120.2885,39.4738
40.875,-119.9218,39.5239
61.75,-120.4549,38.57567
63.75,-120.094,38.62627
67.875,-120.5208,38.8577
65.0,-120.1582,38.90858
62.75,-119.795,38.9581
67.875,-120.223,39.19109
66.0,-119.8581,39.24089
71.625,-120.2885,39.4738
67.375,-119.9218,39.5239
14.875,-120.4549,38.57567
10.875,-120.094,38.62627
15.375,-120.5208,38.8577
14.125,-120.1582,38.90858
12.25,-119.795,38.9581
15.75,-120.223,39.19109
13.625,-119.8581,39.24089
17.125,-120.2885,39.4738
18.0,-119.9218,39.5239
12.375,-120.4549,38.57567
9.375,-120.094,38.62627
14.625,-120.5208,38.8577
8.375,-120.1582,38.90858
3.75,-119.795,38.9581
12.125,-120.223,39.19109
7.625,-119.8581,39.24089
16.875,-120.2885,39.4738
11.375,-119.9218,39.5239
27.75,-120.4549,38.57567
32.375,-120.094,38.62627
29.0,-120.5208,38.8577
31.875,-120.1582,38.90858
41.125,-119.795,38.9581
35.125,-120.223,39.19109
40.375,-119.8581,39.24089
38.625,-120.2885,39.4738
45.375,-119.9218,39.5239
17.5,-120.4549,38.57567
10.875,-120.094,38.62627
14.375,-120.5208,38.8577
11.375,-120.1582,38.90858
10.125,-119.795,38.9581
16.375,-120.223,39.19109
13.375,-119.8581,39.24089
17.875,-120.2885,39.4738
14.875,-119.9218,39.5239
21.625,-120.4549,38.57567
23.5,-120.094,38.62627
21.125,-120.5208,38.8577
25.125,-120.1582,38.90858
20.25,-119.795,38.9581
28.125,-120.223,39.19109
25.375,-119.8581,39.24089
34.75,-120.2885,39.4738
28.625,-119.9218,39.5239
41.125,-120.4549,38.57567
34.0,-120.094,38.62627
43.25,-120.5208,38.8577
35.625,-120.1582,38.90858
27.625,-119.795,38.9581
36.875,-120.223,39.19109
30.25,-119.8581,39.24089
36.5,-120.2885,39.4738
31.25,-119.9218,39.5239
91.0,-120.4549,38.57567
61.5,-120.094,38.62627
91.25,-120.5208,38.8577
63.125,-120.1582,38.90858
34.25,-119.795,38.9581
62.5,-120.223,39.19109
37.0,-119.8581,39.24089
50.5,-120.2885,39.4738
33.5,-119.9218,39.5239
59.5,-120.4549,38.57567
52.875,-120.094,38.62627
56.75,-120.5208,38.8577
51.625,-120.1582,38.90858
41.125,-119.795,38.9581
52.75,-120.223,39.19109
38.75,-119.8581,39.24089
49.5,-120.2885,39.4738
43.0,-119.9218,39.5239
38.625,-120.4549,38.57567
39.25,-120.094,38.62627
38.5,-120.5208,38.8577
36.75,-120.1582,38.90858
37.625,-119.795,38.9581
40.125,-120.223,39.19109
39.375,-119.8581,39.24089
44.0,-120.2885,39.4738
44.125,-119.9218,39.5239
52.5,-120.4549,38.57567
53.25,-120.094,38.62627
51.875,-120.5208,38.8577
54.5,-120.1582,38.90858
54.75,-119.795,38.9581
51.625,-120.223,39.19109
52.5,-119.8581,39.24089
49.875,-120.2885,39.4738
49.75,-119.9218,39.5239
91.875,-120.4549,38.57567
82.375,-120.094,38.62627
92.75,-120.5208,38.8577
91.0,-120.1582,38.90858
92.0,-119.795,38.9581
95.125,-120.223,39.19109
97.5,-119.8581,39.24089
98.625,-120.2885,39.4738
99.125,-119.9218,39.5239
44.5,-120.4549,38.57567
27.25,-120.094,38.62627
46.5,-120.5208,38.8577
29.75,-120.1582,38.90858
24.375,-119.795,38.9581
30.0,-120.223,39.19109
25.125,-119.8581,39.24089
29.125,-120.2885,39.4738
27.875,-119.9218,39.5239
58.875,-120.4549,38.57567
48.0,-120.094,38.62627
54.125,-120.5208,38.8577
41.5,-120.1582,38.90858
34.25,-119.795,38.9581
40.75,-120.223,39.19109
38.75,-119.8581,39.24089
39.75,-120.2885,39.4738
38.0,-119.9218,39.5239
50.625,-120.4549,38.57567
42.375,-120.094,38.62627
54.375,-120.5208,38.8577
48.875,-120.1582,38.90858
39.875,-119.795,38.9581
51.125,-120.223,39.19109
44.875,-119.8581,39.24089
52.0,-120.2885,39.4738
47.375,-119.9218,39.5239
60.5,-120.4549,38.57567
50.625,-120.094,38.62627
63.25,-120.5208,38.8577
53.0,-120.1582,38.90858
43.75,-119.795,38.9581
53.375,-120.223,39.19109
46.625,-119.8581,39.24089
56.75,-120.2885,39.4738
58.5,-119.9218,39.5239
30.0,-120.4549,38.57567
21.0,-120.094,38.62627
35.125,-120.5208,38.8577
26.75,-120.1582,38.90858
20.625,-119.795,38.9581
29.75,-120.223,39.19109
24.875,-119.8581,39.24089
29.5,-120.2885,39.4738
27.375,-119.9218,39.5239
68.25,-120.4549,38.57567
64.25,-120.094,38.62627
69.75,-120.5208,38.8577
70.375,-120.1582,38.90858
65.875,-119.795,38.9581
66.75,-120.223,39.19109
67.875,-119.8581,39.24089
66.75,-120.2885,39.4738
64.125,-119.9218,39.5239
37.625,-120.4549,38.57567
34.875,-120.094,38.62627
41.875,-120.5208,38.8577
36.25,-120.1582,38.90858
31.875,-119.795,38.9581
37.0,-120.223,39.19109
31.5,-119.8581,39.24089
37.125,-120.2885,39.4738
32.75,-119.9218,39.5239
43.0,-120.4549,38.57567
40.875,-120.094,38.62627
52.375,-120.5208,38.8577
47.625,-120.1582,38.90858
48.625,-119.795,38.9581
58.125,-120.223,39.19109
57.125,-119.8581,39.24089
62.0,-120.2885,39.4738
59.625,-119.9218,39.5239
3.5,-120.4549,38.57567
3.0,-120.094,38.62627
2.75,-120.5208,38.8577
2.25,-120.1582,38.90858
2.5,-119.795,38.9581
2.5,-120.223,39.19109
2.5,-119.8581,39.24089
3.875,-120.2885,39.4738
3.75,-119.9218,39.5239
15.375,-120.4549,38.57567
11.5,-120.094,38.62627
18.125,-120.5208,38.8577
16.125,-120.1582,38.90858
16.5,-119.795,38.9581
19.5,-120.223,39.19109
17.375,-119.8581,39.24089
22.375,-120.2885,39.4738
22.125,-119.9218,39.5239
21.25,-120.4549,38.57567
14.0,-120.094,38.62627
23.125,-120.5208,38.8577
17.375,-120.1582,38.90858
12.625,-119.795,38.9581
19.0,-120.223,39.19109
16.875,-119.8581,39.24089
20.125,-120.2885,39.4738
19.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
27.0,-120.4549,38.57567
22.0,-120.094,38.62627
33.875,-120.5208,38.8577
22.875,-120.1582,38.90858
16.125,-119.795,38.9581
32.125,-120.223,39.19109
24.25,-119.8581,39.24089
36.875,-120.2885,39.4738
32.5,-119.9218,39.5239
1.25,-120.4549,38.57567
8.25,-120.094,38.62627
1.875,-120.5208,38.8577
