omega,lon,lat
-0.0074949563,-119.795,38.9581
-0.089037925,-120.223,39.19109
-0.0011473,-119.8581,39.24089
-0.116381675,-120.2885,39.4738
-0.05925277,-119.9218,39.5239
-0.024526924,-120.4549,38.57567
0.013559014,-120.094,38.62627
-0.017202705,-120.5208,38.8577
0.009164482,-120.1582,38.90858
-0.028433174,-119.795,38.9581
0.015512139,-120.223,39.19109
-0.022573799,-119.8581,39.24089
0.009164482,-120.2885,39.4738
-0.022085518,-119.9218,39.5239
-0.09694915,-120.4549,38.57567
-0.024683528,-120.094,38.62627
-0.101343684,-120.5208,38.8577
-0.09108978,-120.1582,38.90858
-0.11257415,-119.795,38.9581
-0.10769134,-120.223,39.19109
-0.13259369,-119.8581,39.24089
-0.07644134,-120.2885,39.4738
-0.14089447,-119.9218,39.5239
-0.038450316,-120.4549,38.57567
0.044069216,-120.094,38.62627
-0.054075316,-120.5208,38.8577
0.017702028,-120.1582,38.90858
-0.031126097,-119.795,38.9581
-0.049680784,-120.223,39.19109
-0.026731566,-119.8581,39.24089
-0.0047589093,-120.2885,39.4738
-0.041868284,-119.9218,39.5239
-0.09257934,-120.4549,38.57567
-0.06792114,-120.094,38.62627
-0.101124264,-120.5208,38.8577
-0.026661374,-120.1582,38.90858
-0.0027355924,-119.795,38.9581
-0.061573483,-120.223,39.19109
0.012645267,-119.8581,39.24089
-0.028614499,-120.2885,39.4738
-0.010059811,-119.9218,39.5239
-0.12015292,-120.4549,38.57567
-0.083043545,-120.094,38.62627
-0.14700839,-120.5208,38.8577
-0.09622714,-120.1582,38.90858
-0.08792636,-119.795,38.9581
-0.14310214,-120.223,39.19109
-0.04642245,-119.8581,39.24089
-0.08743808,-120.2885,39.4738
-0.086461514,-119.9218,39.5239
-0.1042867,-120.4549,38.57567
-0.009071857,-120.094,38.62627
-0.09989217,-120.5208,38.8577
-0.02225545,-120.1582,38.90858
-0.016884357,-119.795,38.9581
-0.071083575,-120.223,39.19109
-0.028603107,-119.8581,39.24089
-0.019325763,-120.2885,39.4738
-0.020790607,-119.9218,39.5239
0.004306473,-120.4549,38.57567
0.14004865,-120.094,38.62627
0.047763504,-120.5208,38.8577
0.13711897,-120.1582,38.90858
0.067783035,-119.795,38.9581
0.047275223,-120.223,39.19109
0.09024397,-119.8581,39.24089
0.10489241,-120.2885,39.4738
0.12002913,-119.9218,39.5239
0.039347082,-120.4549,38.57567
-0.012899011,-120.094,38.62627
-0.006063074,-120.5208,38.8577
0.021280676,-120.1582,38.90858
0.021768957,-119.795,38.9581
0.0032142699,-120.223,39.19109
0.013956457,-119.8581,39.24089
0.03397599,-120.2885,39.4738
0.009561926,-119.9218,39.5239
-0.014974736,-120.4549,38.57567
-0.0013028607,-120.094,38.62627
-0.021810673,-120.5208,38.8577
-0.023763798,-120.1582,38.90858
0.01871667,-119.795,38.9581
-0.004232548,-120.223,39.19109
0.027505733,-119.8581,39.24089
0.02213464,-120.2885,39.4738
-0.007650517,-119.9218,39.5239
0.03662108,-120.4549,38.57567
0.047363266,-120.094,38.62627
0.035156235,-120.5208,38.8577
0.041992173,-120.1582,38.90858
0.06835936,-119.795,38.9581
0.026367173,-120.223,39.19109
0.074218735,-119.8581,39.24089
0.034179673,-120.2885,39.4738
0.04052733,-119.9218,39.5239
-0.0067745,-120.4549,38.57567
0.07037394,-120.094,38.62627
0.0020145625,-120.5208,38.8577
0.0025028437,-120.1582,38.90858
-0.11566122,-119.795,38.9581
-0.024352625,-120.223,39.19109
-0.108337,-119.8581,39.24089
0.0098270625,-120.2885,39.4738
-0.102965906,-119.9218,39.5239
-0.0026668832,-120.4549,38.57567
0.043719836,-120.094,38.62627
0.03004796,-120.5208,38.8577
0.03834874,-120.1582,38.90858
-0.025616102,-119.795,38.9581
0.054950304,-120.223,39.19109
-0.023662977,-119.8581,39.24089
0.063251086,-120.2885,39.4738
-0.006084852,-119.9218,39.5239
-0.06382706,-120.4549,38.57567
-0.05259659,-120.094,38.62627
-0.045760654,-120.5208,38.8577
-0.03306534,-120.1582,38.90858
-0.047225498,-119.795,38.9581
-0.015975498,-120.223,39.19109
-0.05943253,-119.8581,39.24089
-0.029647373,-120.2885,39.4738
-0.055037998,-119.9218,39.5239
-0.055030443,-120.4549,38.57567
-0.05014763,-120.094,38.62627
-0.06577263,-120.5208,38.8577
-0.05747185,-120.1582,38.90858
-0.055030443,-119.795,38.9581
-0.078956224,-120.223,39.19109
-0.055030443,-119.8581,39.24089
-0.06821404,-120.2885,39.4738
-0.09213982,-119.9218,39.5239
0.065639734,-120.4549,38.57567
0.11056161,-120.094,38.62627
0.06856942,-120.5208,38.8577
0.04073739,-120.1582,38.90858
-0.039340734,-119.795,38.9581
0.057827234,-120.223,39.19109
-0.04080558,-119.8581,39.24089
0.04513192,-120.2885,39.4738
-0.023227453,-119.9218,39.5239
0.021550976,-120.4549,38.57567
0.13287911,-120.094,38.62627
0.072332226,-120.5208,38.8577
0.053289257,-120.1582,38.90858
-0.037042774,-119.795,38.9581
0.0625666,-120.223,39.19109
-0.034113087,-119.8581,39.24089
0.07672676,-120.2885,39.4738
0.0049494132,-119.9218,39.5239
-0.008094162,-120.4549,38.57567
-0.08231291,-120.094,38.62627
0.012413651,-120.5208,38.8577
-0.016883224,-120.1582,38.90858
0.08223787,-119.795,38.9581
-0.021277755,-120.223,39.19109
