air,lon,lat
266.15717,-119.8581,39.24089
268.9306,-120.2885,39.4738
268.00873,-119.9218,39.5239
279.03406,-120.4549,38.57567
268.67468,-120.094,38.62627
278.15906,-120.5208,38.8577
269.15906,-120.1582,38.90858
267.72937,-119.795,38.9581
272.2528,-120.223,39.19109
268.98718,-119.8581,39.24089
269.84656,-120.2885,39.4738
270.6903,-119.9218,39.5239
279.19852,-120.4549,38.57567
268.52664,-120.094,38.62627
278.15164,-120.5208,38.8577
269.55008,-120.1582,38.90858
269.33133,-119.795,38.9581
272.3079,-120.223,39.19109
270.34695,-119.8581,39.24089
270.1829,-120.2885,39.4738
272.8704,-119.9218,39.5239
279.8845,-120.4549,38.57567
272.8923,-120.094,38.62627
279.11887,-120.5208,38.8577
273.2048,-120.1582,38.90858
271.90012,-119.795,38.9581
273.7673,-120.223,39.19109
273.61887,-119.8581,39.24089
273.40793,-120.2885,39.4738
274.7595,-119.9218,39.5239
281.09073,-120.4549,38.57567
274.86417,-120.094,38.62627
280.16885,-120.5208,38.8577
274.52823,-120.1582,38.90858
273.40323,-119.795,38.9581
274.9423,-120.223,39.19109
276.5048,-119.8581,39.24089
274.53604,-120.2885,39.4738
276.4423,-119.9218,39.5239
280.69376,-120.4549,38.57567
272.6547,-120.094,38.62627
279.75626,-120.5208,38.8577
273.08438,-120.1582,38.90858
273.3422,-119.795,38.9581
274.4672,-120.223,39.19109
275.95157,-119.8581,39.24089
273.19376,-120.2885,39.4738
276.7875,-119.9218,39.5239
278.80228,-120.4549,38.57567
269.5601,-120.094,38.62627
277.8726,-120.5208,38.8577
270.79446,-120.1582,38.90858
273.5054,-119.795,38.9581
271.80228,-120.223,39.19109
273.52884,-119.8581,39.24089
270.4351,-120.2885,39.4738
275.3179,-119.9218,39.5239
276.95908,-120.4549,38.57567
266.32626,-120.094,38.62627
275.8419,-120.5208,38.8577
267.5997,-120.1582,38.90858
269.9747,-119.795,38.9581
269.0919,-120.223,39.19109
271.3575,-119.8581,39.24089
267.30283,-120.2885,39.4738
273.30283,-119.9218,39.5239
275.4157,-120.4549,38.57567
263.69696,-120.094,38.62627
274.36102,-120.5208,38.8577
264.50165,-120.1582,38.90858
265.17352,-119.795,38.9581
266.93134,-120.223,39.19109
266.57196,-119.8581,39.24089
264.55634,-120.2885,39.4738
270.68134,-119.9218,39.5239
276.74524,-120.4549,38.57567
264.4796,-120.094,38.62627
275.6046,-120.5208,38.8577
265.5421,-120.1582,38.90858
265.7921,-119.795,38.9581
268.00305,-120.223,39.19109
268.6515,-119.8581,39.24089
264.5343,-120.2885,39.4738
269.94055,-119.9218,39.5239
276.75717,-120.4549,38.57567
264.76498,-120.094,38.62627
275.9603,-120.5208,38.8577
265.35092,-120.1582,38.90858
264.04623,-119.795,38.9581
268.3978,-120.223,39.19109
267.7103,-119.8581,39.24089
