tcdc,lon,lat
5.25,-120.094,38.62627
6.625,-120.5208,38.8577
5.0,-120.1582,38.90858
4.375,-119.795,38.9581
4.75,-120.223,39.19109
4.5,-119.8581,39.24089
4.875,-120.2885,39.4738
4.75,-119.9218,39.5239
53.25,-120.4549,38.57567
53.625,-120.094,38.62627
52.625,-120.5208,38.8577
50.75,-120.1582,38.90858
51.0,-119.795,38.9581
50.25,-120.223,39.19109
50.875,-119.8581,39.24089
53.0,-120.2885,39.4738
51.25,-119.9218,39.5239
85.25,-120.4549,38.57567
46.5,-120.094,38.62627
87.625,-120.5208,38.8577
59.25,-120.1582,38.90858
55.0,-119.795,38.9581
68.875,-120.223,39.19109
62.5,-119.8581,39.24089
65.375,-120.2885,39.4738
64.625,-119.9218,39.5239
72.25,-120.4549,38.57567
41.0,-120.094,38.62627
78.125,-120.5208,38.8577
51.0,-120.1582,38.90858
36.375,-119.795,38.9581
54.5,-120.223,39.19109
43.0,-119.8581,39.24089
55.625,-120.2885,39.4738
53.625,-119.9218,39.5239
63.75,-120.4549,38.57567
59.625,-120.094,38.62627
64.875,-120.5208,38.8577
64.0,-120.1582,38.90858
69.125,-119.795,38.9581
68.375,-120.223,39.19109
77.5,-119.8581,39.24089
73.625,-120.2885,39.4738
78.375,-119.9218,39.5239
23.5,-120.4549,38.57567
12.125,-120.094,38.62627
22.0,-120.5208,38.8577
13.375,-120.1582,38.90858
12.75,-119.795,38.9581
14.5,-120.223,39.19109
13.25,-119.8581,39.24089
14.875,-120.2885,39.4738
17.375,-119.9218,39.5239
67.5,-120.4549,38.57567
43.75,-120.094,38.62627
63.0,-120.5208,38.8577
39.75,-120.1582,38.90858
33.625,-119.795,38.9581
41.0,-120.223,39.19109
32.375,-119.8581,39.24089
35.5,-120.2885,39.4738
34.375,-119.9218,39.5239
76.625,-120.4549,38.57567
87.125,-120.094,38.62627
72.125,-120.5208,38.8577
89.625,-120.1582,38.90858
92.875,-119.795,38.9581
83.5,-120.223,39.19109
93.5,-119.8581,39.24089
75.125,-120.2885,39.4738
82.875,-119.9218,39.5239
52.125,-120.4549,38.57567
51.375,-120.094,38.62627
47.75,-120.5208,38.8577
48.625,-120.1582,38.90858
52.5,-119.795,38.9581
38.375,-120.223,39.19109
49.375,-119.8581,39.24089
27.25,-120.2885,39.4738
37.75,-119.9218,39.5239
53.375,-120.4549,38.57567
42.375,-120.094,38.62627
54.0,-120.5208,38.8577
41.875,-120.1582,38.90858
40.25,-119.795,38.9581
41.25,-120.223,39.19109
47.0,-119.8581,39.24089
42.0,-120.2885,39.4738
43.375,-119.9218,39.5239
45.5,-120.4549,38.57567
45.625,-120.094,38.62627
40.0,-120.5208,38.8577
40.625,-120.1582,38.90858
38.125,-119.795,38.9581
28.375,-120.223,39.19109
25.625,-119.8581,39.24089
19.125,-120.2885,39.4738
24.0,-119.9218,39.5239
8.25,-120.4549,38.57567
7.5,-120.094,38.62627
8.25,-120.5208,38.8577
7.625,-120.1582,38.90858
6.25,-119.795,38.9581
7.0,-120.223,39.19109
6.0,-119.8581,39.24089
5.625,-120.2885,39.4738
5.375,-119.9218,39.5239
11.875,-120.4549,38.57567
9.25,-120.094,38.62627
13.25,-120.5208,38.8577
10.0,-120.1582,38.90858
7.125,-119.795,38.9581
11.125,-120.223,39.19109
8.25,-119.8581,39.24089
12.5,-120.2885,39.4738
9.375,-119.9218,39.5239
79.625,-120.4549,38.57567
71.75,-120.094,38.62627
80.75,-120.5208,38.8577
74.75,-120.1582,38.90858
70.375,-119.795,38.9581
76.375,-120.223,39.19109
73.125,-119.8581,39.24089
77.625,-120.2885,39.4738
76.125,-119.9218,39.5239
