cdlyr,lon,lat
6.125,-120.094,38.62627
8.875,-120.5208,38.8577
5.75,-120.1582,38.90858
4.75,-119.795,38.9581
5.625,-120.223,39.19109
4.875,-119.8581,39.24089
5.75,-120.2885,39.4738
5.125,-119.9218,39.5239
49.125,-120.4549,38.57567
48.0,-120.094,38.62627
48.75,-120.5208,38.8577
47.25,-120.1582,38.90858
45.625,-119.795,38.9581
46.5,-120.223,39.19109
45.125,-119.8581,39.24089
46.625,-120.2885,39.4738
45.0,-119.9218,39.5239
81.5,-120.4549,38.57567
48.25,-120.094,38.62627
84.375,-120.5208,38.8577
60.125,-120.1582,38.90858
56.875,-119.795,38.9581
68.125,-120.223,39.19109
62.125,-119.8581,39.24089
65.25,-120.2885,39.4738
65.25,-119.9218,39.5239
74.375,-120.4549,38.57567
44.75,-120.094,38.62627
78.875,-120.5208,38.8577
53.25,-120.1582,38.90858
40.125,-119.795,38.9581
56.625,-120.223,39.19109
44.625,-119.8581,39.24089
58.5,-120.2885,39.4738
53.0,-119.9218,39.5239
66.625,-120.4549,38.57567
61.875,-120.094,38.62627
67.75,-120.5208,38.8577
66.625,-120.1582,38.90858
67.5,-119.795,38.9581
69.375,-120.223,39.19109
71.375,-119.8581,39.24089
73.25,-120.2885,39.4738
72.875,-119.9218,39.5239
21.75,-120.4549,38.57567
12.375,-120.094,38.62627
20.5,-120.5208,38.8577
13.875,-120.1582,38.90858
17.375,-119.795,38.9581
15.375,-120.223,39.19109
15.5,-119.8581,39.24089
16.25,-120.2885,39.4738
18.25,-119.9218,39.5239
65.5,-120.4549,38.57567
44.375,-120.094,38.62627
61.0,-120.5208,38.8577
42.625,-120.1582,38.90858
37.375,-119.795,38.9581
42.5,-120.223,39.19109
36.75,-119.8581,39.24089
38.125,-120.2885,39.4738
39.125,-119.9218,39.5239
72.25,-120.4549,38.57567
76.0,-120.094,38.62627
70.5,-120.5208,38.8577
80.25,-120.1582,38.90858
85.125,-119.795,38.9581
75.875,-120.223,39.19109
85.75,-119.8581,39.24089
68.125,-120.2885,39.4738
76.25,-119.9218,39.5239
48.0,-120.4549,38.57567
51.75,-120.094,38.62627
43.25,-120.5208,38.8577
48.25,-120.1582,38.90858
50.25,-119.795,38.9581
38.75,-120.223,39.19109
47.0,-119.8581,39.24089
28.5,-120.2885,39.4738
38.625,-119.9218,39.5239
49.625,-120.4549,38.57567
41.5,-120.094,38.62627
49.875,-120.5208,38.8577
40.625,-120.1582,38.90858
39.625,-119.795,38.9581
41.25,-120.223,39.19109
47.0,-119.8581,39.24089
42.75,-120.2885,39.4738
43.0,-119.9218,39.5239
45.625,-120.4549,38.57567
50.625,-120.094,38.62627
43.125,-120.5208,38.8577
43.875,-120.1582,38.90858
47.375,-119.795,38.9581
35.375,-120.223,39.19109
35.625,-119.8581,39.24089
26.625,-120.2885,39.4738
31.125,-119.9218,39.5239
7.0,-120.4549,38.57567
6.375,-120.094,38.62627
7.75,-120.5208,38.8577
6.75,-120.1582,38.90858
5.125,-119.795,38.9581
6.375,-120.223,39.19109
5.625,-119.8581,39.24089
5.375,-120.2885,39.4738
5.0,-119.9218,39.5239
10.75,-120.4549,38.57567
8.25,-120.094,38.62627
12.375,-120.5208,38.8577
9.0,-120.1582,38.90858
6.5,-119.795,38.9581
10.125,-120.223,39.19109
7.25,-119.8581,39.24089
10.875,-120.2885,39.4738
8.25,-119.9218,39.5239
75.25,-120.4549,38.57567
69.5,-120.094,38.62627
76.875,-120.5208,38.8577
71.75,-120.1582,38.90858
67.875,-119.795,38.9581
73.625,-120.223,39.19109
70.25,-119.8581,39.24089
75.25,-120.2885,39.4738
73.25,-119.9218,39.5239
30.25,-120.4549,38.57567
31.5,-120.094,38.62627
28.5,-120.5208,38.8577
34.125,-120.1582,38.90858
61.25,-119.795,38.9581
39.125,-120.223,39.19109
73.0,-119.8581,39.24089
43.25,-120.2885,39.4738
78.75,-119.9218,39.5239
13.75,-120.4549,38.57567
12.5,-120.094,38.62627
16.75,-120.5208,38.8577
15.625,-120.1582,38.90858
18.375,-119.795,38.9581
18.375,-120.223,39.19109
18.625,-119.8581,39.24089
20.25,-120.2885,39.4738
23.375,-119.9218,39.5239
58.125,-120.4549,38.57567
53.0,-120.094,38.62627
62.0,-120.5208,38.8577
54.75,-120.1582,38.90858
52.125,-119.795,38.9581
55.125,-120.223,39.19109
53.375,-119.8581,39.24089
55.25,-120.2885,39.4738
54.25,-119.9218,39.5239
39.875,-120.4549,38.57567
37.375,-120.094,38.62627
43.5,-120.5208,38.8577
41.375,-120.1582,38.90858
38.875,-119.795,38.9581
43.125,-120.223,39.19109
42.0,-119.8581,39.24089
45.5,-120.2885,39.4738
44.25,-119.9218,39.5239
27.75,-120.4549,38.57567
26.375,-120.094,38.62627
29.25,-120.5208,38.8577
27.75,-120.1582,38.90858
28.5,-119.795,38.9581
29.375,-120.223,39.19109
31.25,-119.8581,39.24089
33.625,-120.2885,39.4738
37.5,-119.9218,39.5239
21.0,-120.4549,38.57567
12.5,-120.094,38.62627
25.75,-120.5208,38.8577
14.5,-120.1582,38.90858
10.875,-119.795,38.9581
15.125,-120.223,39.19109
9.5,-119.8581,39.24089
13.875,-120.2885,39.4738
12.0,-119.9218,39.5239
26.0,-120.4549,38.57567
22.125,-120.094,38.62627
32.25,-120.5208,38.8577
26.25,-120.1582,38.90858
20.5,-119.795,38.9581
28.75,-120.223,39.19109
24.25,-119.8581,39.24089
31.0,-120.2885,39.4738
29.0,-119.9218,39.5239
5.5,-120.4549,38.57567
5.75,-120.094,38.62627
7.75,-120.5208,38.8577
8.5,-120.1582,38.90858
8.75,-119.795,38.9581
11.375,-120.223,39.19109
10.875,-119.8581,39.24089
14.125,-120.2885,39.4738
13.625,-119.9218,39.5239
13.875,-120.4549,38.57567
12.0,-120.094,38.62627
13.25,-120.5208,38.8577
12.5,-120.1582,38.90858
13.0,-119.795,38.9581
14.25,-120.223,39.19109
13.25,-119.8581,39.24089
13.375,-120.2885,39.4738
14.375,-119.9218,39.5239
38.875,-120.4549,38.57567
26.375,-120.094,38.62627
46.625,-120.5208,38.8577
35.25,-120.1582,38.90858
24.25,-119.795,38.9581
40.75,-120.223,39.19109
29.125,-119.8581,39.24089
44.25,-120.2885,39.4738
35.875,-119.9218,39.5239
62.5,-120.4549,38.57567
60.625,-120.094,38.62627
67.875,-120.5208,38.8577
65.625,-120.1582,38.90858
70.125,-119.795,38.9581
67.875,-120.223,39.19109
71.375,-119.8581,39.24089
69.875,-120.2885,39.4738
72.25,-119.9218,39.5239
18.375,-120.4549,38.57567
16.25,-120.094,38.62627
20.25,-120.5208,38.8577
18.125,-120.1582,38.90858
15.25,-119.795,38.9581
20.0,-120.223,39.19109
17.75,-119.8581,39.24089
21.75,-120.2885,39.4738
20.5,-119.9218,39.5239
52.25,-120.4549,38.57567
21.0,-120.094,38.62627
65.75,-120.5208,38.8577
25.75,-120.1582,38.90858
16.375,-119.795,38.9581
33.75,-120.223,39.19109
24.375,-119.8581,39.24089
27.875,-120.2885,39.4738
26.5,-119.9218,39.5239
47.5,-120.4549,38.57567
53.0,-120.094,38.62627
49.5,-120.5208,38.8577
56.375,-120.1582,38.90858
64.25,-119.795,38.9581
63.0,-120.223,39.19109
68.875,-119.8581,39.24089
69.75,-120.2885,39.4738
71.375,-119.9218,39.5239
51.25,-120.4549,38.57567
23.25,-120.094,38.62627
61.625,-120.5208,38.8577
34.375,-120.1582,38.90858
24.5,-119.795,38.9581
36.875,-120.223,39.19109
25.5,-119.8581,39.24089
34.125,-120.2885,39.4738
27.25,-119.9218,39.5239
73.75,-120.4549,38.57567
33.125,-120.094,38.62627
87.125,-120.5208,38.8577
45.375,-120.1582,38.90858
23.75,-119.795,38.9581
53.125,-120.223,39.19109
35.875,-119.8581,39.24089
45.875,-120.2885,39.4738
39.375,-119.9218,39.5239
41.375,-120.4549,38.57567
33.5,-120.094,38.62627
45.75,-120.5208,38.8577
38.125,-120.1582,38.90858
30.5,-119.795,38.9581
43.125,-120.223,39.19109
36.125,-119.8581,39.24089
48.375,-120.2885,39.4738
46.0,-119.9218,39.5239
87.875,-120.4549,38.57567
56.5,-120.094,38.62627
88.75,-120.5208,38.8577
59.375,-120.1582,38.90858
30.625,-119.795,38.9581
58.25,-120.223,39.19109
32.625,-119.8581,39.24089
48.375,-120.2885,39.4738
33.375,-119.9218,39.5239
75.875,-120.4549,38.57567
64.5,-120.094,38.62627
75.875,-120.5208,38.8577
68.125,-120.1582,38.90858
54.125,-119.795,38.9581
66.125,-120.223,39.19109
52.875,-119.8581,39.24089
60.625,-120.2885,39.4738
53.125,-119.9218,39.5239
78.75,-120.4549,38.57567
77.75,-120.094,38.62627
78.75,-120.5208,38.8577
77.375,-120.1582,38.90858
76.75,-119.795,38.9581
75.125,-120.223,39.19109
74.5,-119.8581,39.24089
72.5,-120.2885,39.4738
72.375,-119.9218,39.5239
68.75,-120.4549,38.57567
68.25,-120.094,38.62627
70.375,-120.5208,38.8577
69.875,-120.1582,38.90858
69.875,-119.795,38.9581
71.5,-120.223,39.19109
