apcp,lon,lat
0.009408608,-120.4549,38.57567
0.025033608,-120.094,38.62627
0.009408608,-120.5208,38.8577
0.009408608,-120.1582,38.90858
0.0015961081,-119.795,38.9581
0.0015961081,-120.223,39.19109
0.0015961081,-119.8581,39.24089
0.0015961081,-120.2885,39.4738
0.0015961081,-119.9218,39.5239
0.17495802,-120.4549,38.57567
0.90933305,-120.094,38.62627
0.33120802,-120.5208,38.8577
0.69058305,-120.1582,38.90858
0.50308305,-119.795,38.9581
0.89370805,-120.223,39.19109
0.31558302,-119.8581,39.24089
0.94839555,-120.2885,39.4738
0.22964552,-119.9218,39.5239
34.940197,-120.4549,38.57567
41.643322,-120.094,38.62627
33.940197,-120.5208,38.8577
30.69801,-120.1582,38.90858
19.88551,-119.795,38.9581
31.158947,-120.223,39.19109
17.776134,-119.8581,39.24089
21.752697,-120.2885,39.4738
11.643322,-119.9218,39.5239
11.242777,-120.4549,38.57567
6.3209023,-120.094,38.62627
12.391214,-120.5208,38.8577
9.234964,-120.1582,38.90858
4.383402,-119.795,38.9581
6.6802773,-120.223,39.19109
4.81309,-119.8581,39.24089
3.5005898,-120.2885,39.4738
2.0005898,-119.9218,39.5239
6.71278,-120.4549,38.57567
8.0174675,-120.094,38.62627
4.1893425,-120.5208,38.8577
5.0174675,-120.1582,38.90858
4.3299675,-119.795,38.9581
3.08778,-120.223,39.19109
2.5018427,-119.8581,39.24089
1.1659051,-120.2885,39.4738
1.6346551,-119.9218,39.5239
1.4548804,-120.4549,38.57567
1.4705054,-120.094,38.62627
1.1267554,-120.5208,38.8577
1.1658179,-120.1582,38.90858
0.43925536,-119.795,38.9581
1.2830054,-120.223,39.19109
0.15800536,-119.8581,39.24089
1.1580054,-120.2885,39.4738
0.22050536,-119.9218,39.5239
40.554688,-120.4549,38.57567
49.78125,-120.094,38.62627
46.476562,-120.5208,38.8577
38.929688,-120.1582,38.90858
23.351562,-119.795,38.9581
41.953125,-120.223,39.19109
24.257812,-119.8581,39.24089
39.125,-120.2885,39.4738
19.335938,-119.9218,39.5239
60.5,-120.4549,38.57567
69.14844,-120.094,38.62627
52.765625,-120.5208,38.8577
46.453125,-120.1582,38.90858
32.703125,-119.795,38.9581
38.078125,-120.223,39.19109
22.367188,-119.8581,39.24089
24.171875,-120.2885,39.4738
13.984375,-119.9218,39.5239
1.671875,-120.4549,38.57567
3.21875,-120.094,38.62627
0.9609375,-120.5208,38.8577
3.921875,-120.1582,38.90858
1.890625,-119.795,38.9581
2.2109375,-120.223,39.19109
0.9296875,-119.8581,39.24089
0.703125,-120.2885,39.4738
1.8515625,-119.9218,39.5239
11.2734375,-120.4549,38.57567
7.09375,-120.094,38.62627
8.59375,-120.5208,38.8577
5.890625,-120.1582,38.90858
4.109375,-119.795,38.9581
3.171875,-120.223,39.19109
2.0390625,-119.8581,39.24089
1.375,-120.2885,39.4738
1.4375,-119.9218,39.5239
3.1640625,-120.4549,38.57567
1.921875,-120.094,38.62627
6.140625,-120.5208,38.8577
1.1796875,-120.1582,38.90858
0.4453125,-119.795,38.9581
4.3359375,-120.223,39.19109
0.6875,-119.8581,39.24089
2.7109375,-120.2885,39.4738
1.3515625,-119.9218,39.5239
0.0625,-120.4549,38.57567
0.0546875,-120.094,38.62627
0.1015625,-120.5208,38.8577
0.09375,-120.1582,38.90858
0.0390625,-119.795,38.9581
0.34375,-120.223,39.19109
0.0234375,-119.8581,39.24089
