wvinc,lon,lat
0.010120392,-120.4549,38.57567
0.027870417,-120.094,38.62627
0.006495476,-120.5208,38.8577
0.0056204796,-120.1582,38.90858
0.0024952888,-119.795,38.9581
-4.529953e-06,-120.223,39.19109
-0.00025463104,-119.8581,39.24089
-0.00025463104,-120.2885,39.4738
-0.00025463104,-119.9218,39.5239
-0.022979498,-120.4549,38.57567
0.007395506,-120.094,38.62627
-0.017354488,-120.5208,38.8577
0.035270452,-120.1582,38.90858
0.01964569,-119.795,38.9581
0.022895575,-120.223,39.19109
-0.015604496,-119.8581,39.24089
-0.006729603,-120.2885,39.4738
-0.029604435,-119.9218,39.5239
-0.07881904,-120.4549,38.57567
1.8415563,-120.094,38.62627
0.120556355,-120.5208,38.8577
1.4854312,-120.1582,38.90858
1.0413065,-119.795,38.9581
1.4643061,-120.223,39.19109
1.0585558,-119.8581,39.24089
1.3061814,-120.2885,39.4738
0.79680634,-119.9218,39.5239
0.39778328,-120.4549,38.57567
0.1990335,-120.094,38.62627
0.38915873,-120.5208,38.8577
0.25003338,-120.1582,38.90858
0.080658674,-119.795,38.9581
0.05190873,-120.223,39.19109
0.103158474,-119.8581,39.24089
0.017533064,-120.2885,39.4738
-0.0019664764,-119.9218,39.5239
0.083268166,-120.4549,38.57567
0.13101864,-120.094,38.62627
-0.0052313805,-120.5208,38.8577
0.0850184,-120.1582,38.90858
0.02314365,-119.795,38.9581
0.01326859,-120.223,39.19109
-0.0028563738,-119.8581,39.24089
-0.010356307,-120.2885,39.4738
0.006768346,-119.9218,39.5239
-0.12524724,-120.4549,38.57567
0.0023776293,-120.094,38.62627
-0.09362233,-120.5208,38.8577
-0.00862205,-120.1582,38.90858
-0.014747262,-119.795,38.9581
-0.012997031,-120.223,39.19109
-0.020247221,-119.8581,39.24089
-0.0013720989,-120.2885,39.4738
-0.009122372,-119.9218,39.5239
1.7593153,-120.4549,38.57567
4.4064407,-120.094,38.62627
1.5853157,-120.5208,38.8577
3.174691,-120.1582,38.90858
2.1939404,-119.795,38.9581
3.3516903,-120.223,39.19109
2.1838155,-119.8581,39.24089
3.7211905,-120.2885,39.4738
1.6338158,-119.9218,39.5239
2.0314367,-120.4549,38.57567
4.6655617,-120.094,38.62627
1.5296867,-120.5208,38.8577
2.3190613,-120.1582,38.90858
1.237562,-119.795,38.9581
1.5900617,-120.223,39.19109
0.5671861,-119.8581,39.24089
0.8011863,-120.2885,39.4738
0.18443656,-119.9218,39.5239
0.020591497,-120.4549,38.57567
0.14346695,-120.094,38.62627
-0.077908754,-120.5208,38.8577
0.19396639,-120.1582,38.90858
0.051591635,-119.795,38.9581
0.10034108,-120.223,39.19109
-0.042283535,-119.8581,39.24089
0.058466196,-120.2885,39.4738
0.1463418,-119.9218,39.5239
0.11583352,-120.4549,38.57567
0.19233346,-120.094,38.62627
0.16458344,-120.5208,38.8577
0.069083214,-120.1582,38.90858
0.0032086372,-119.795,38.9581
-0.09491634,-120.223,39.19109
-0.07266617,-119.8581,39.24089
-0.072416544,-120.2885,39.4738
-0.018666029,-119.9218,39.5239
0.12369037,-120.4549,38.57567
0.13481545,-120.094,38.62627
0.3559401,-120.5208,38.8577
0.05881548,-120.1582,38.90858
0.044065475,-119.795,38.9581
0.18256569,-120.223,39.19109
0.08981538,-119.8581,39.24089
0.063815355,-120.2885,39.4738
0.08856559,-119.9218,39.5239
-0.012891531,-120.4549,38.57567
-0.0032663345,-120.094,38.62627
-0.087266445,-120.5208,38.8577
-0.0283916,-120.1582,38.90858
-0.023391724,-119.795,38.9581
-0.03251648,-120.223,39.19109
-0.038891554,-119.8581,39.24089
-0.030891418,-120.2885,39.4738
-0.026766539,-119.9218,39.5239
0.28177667,-120.4549,38.57567
1.5769019,-120.094,38.62627
0.81140184,-120.5208,38.8577
1.894902,-120.1582,38.90858
1.3255272,-119.795,38.9581
2.497902,-120.223,39.19109
2.7162771,-119.8581,39.24089
2.860527,-120.2885,39.4738
1.5540268,-119.9218,39.5239
0.5222187,-120.4549,38.57567
2.3633437,-120.094,38.62627
2.6725936,-120.5208,38.8577
2.2504685,-120.1582,38.90858
1.1640935,-119.795,38.9581
2.2649686,-120.223,39.19109
0.7953439,-119.8581,39.24089
2.0233438,-120.2885,39.4738
1.1375937,-119.9218,39.5239
0.01676774,-120.4549,38.57567
0.008267641,-120.094,38.62627
0.013392568,-120.5208,38.8577
0.011392951,-120.1582,38.90858
0.016767621,-119.795,38.9581
0.0112679005,-120.223,39.19109
0.05664277,-119.8581,39.24089
0.00701797,-120.2885,39.4738
0.050142765,-119.9218,39.5239
-0.00013065338,-120.4549,38.57567
0.00011920929,-120.094,38.62627
-0.00063061714,-120.5208,38.8577
0.00011920929,-120.1582,38.90858
0.00024437904,-119.795,38.9581
0.00011920929,-120.223,39.19109
0.00024437904,-119.8581,39.24089
0.00024437904,-120.2885,39.4738
0.0004942417,-119.9218,39.5239
