hcdc,lon,lat
17.375,-120.094,38.62627
20.875,-120.5208,38.8577
19.25,-120.1582,38.90858
16.375,-119.795,38.9581
20.375,-120.223,39.19109
16.625,-119.8581,39.24089
23.25,-120.2885,39.4738
18.5,-119.9218,39.5239
55.625,-120.4549,38.57567
52.5,-120.094,38.62627
59.0,-120.5208,38.8577
58.75,-120.1582,38.90858
63.25,-119.795,38.9581
64.625,-120.223,39.19109
73.25,-119.8581,39.24089
70.75,-120.2885,39.4738
75.25,-119.9218,39.5239
20.125,-120.4549,38.57567
11.0,-120.094,38.62627
19.125,-120.5208,38.8577
12.375,-120.1582,38.90858
12.75,-119.795,38.9581
13.625,-120.223,39.19109
13.125,-119.8581,39.24089
14.25,-120.2885,39.4738
17.25,-119.9218,39.5239
52.5,-120.4549,38.57567
31.75,-120.094,38.62627
44.75,-120.5208,38.8577
28.125,-120.1582,38.90858
26.0,-119.795,38.9581
25.375,-120.223,39.19109
23.375,-119.8581,39.24089
22.25,-120.2885,39.4738
25.75,-119.9218,39.5239
37.25,-120.4549,38.57567
33.375,-120.094,38.62627
28.625,-120.5208,38.8577
30.25,-120.1582,38.90858
30.375,-119.795,38.9581
26.625,-120.223,39.19109
28.375,-119.8581,39.24089
23.375,-120.2885,39.4738
24.125,-119.9218,39.5239
5.75,-120.4549,38.57567
5.625,-120.094,38.62627
6.625,-120.5208,38.8577
9.375,-120.1582,38.90858
9.0,-119.795,38.9581
11.375,-120.223,39.19109
10.5,-119.8581,39.24089
11.5,-120.2885,39.4738
11.75,-119.9218,39.5239
29.625,-120.4549,38.57567
33.0,-120.094,38.62627
26.875,-120.5208,38.8577
30.125,-120.1582,38.90858
30.75,-119.795,38.9581
27.875,-120.223,39.19109
29.0,-119.8581,39.24089
27.375,-120.2885,39.4738
26.5,-119.9218,39.5239
36.5,-120.4549,38.57567
40.25,-120.094,38.62627
31.625,-120.5208,38.8577
32.125,-120.1582,38.90858
31.625,-119.795,38.9581
21.5,-120.223,39.19109
20.625,-119.8581,39.24089
14.0,-120.2885,39.4738
15.25,-119.9218,39.5239
8.125,-120.4549,38.57567
7.25,-120.094,38.62627
8.125,-120.5208,38.8577
7.375,-120.1582,38.90858
6.125,-119.795,38.9581
6.875,-120.223,39.19109
5.875,-119.8581,39.24089
5.625,-120.2885,39.4738
4.875,-119.9218,39.5239
5.75,-120.4549,38.57567
6.0,-120.094,38.62627
6.125,-120.5208,38.8577
5.75,-120.1582,38.90858
5.125,-119.795,38.9581
6.125,-120.223,39.19109
5.5,-119.8581,39.24089
7.0,-120.2885,39.4738
6.375,-119.9218,39.5239
25.375,-120.4549,38.57567
21.625,-120.094,38.62627
27.0,-120.5208,38.8577
23.375,-120.1582,38.90858
25.125,-119.795,38.9581
26.125,-120.223,39.19109
27.5,-119.8581,39.24089
28.5,-120.2885,39.4738
33.125,-119.9218,39.5239
7.0,-120.4549,38.57567
7.5,-120.094,38.62627
6.0,-120.5208,38.8577
6.875,-120.1582,38.90858
7.125,-119.795,38.9581
5.75,-120.223,39.19109
6.0,-119.8581,39.24089
5.0,-120.2885,39.4738
5.375,-119.9218,39.5239
