hlcy,lon,lat
110.37764,-120.4549,38.57567
108.87764,-120.094,38.62627
98.50264,-120.5208,38.8577
107.12764,-120.1582,38.90858
111.62764,-119.795,38.9581
111.00264,-120.223,39.19109
115.62764,-119.8581,39.24089
116.62764,-120.2885,39.4738
109.37764,-119.9218,39.5239
162.19276,-120.4549,38.57567
186.19276,-120.094,38.62627
166.31776,-120.5208,38.8577
161.94276,-120.1582,38.90858
173.69276,-119.795,38.9581
175.44276,-120.223,39.19109
186.06776,-119.8581,39.24089
183.69276,-120.2885,39.4738
175.44276,-119.9218,39.5239
163.0925,-120.4549,38.57567
151.8425,-120.094,38.62627
161.8425,-120.5208,38.8577
178.0925,-120.1582,38.90858
163.0925,-119.795,38.9581
184.3425,-120.223,39.19109
170.5925,-119.8581,39.24089
175.5925,-120.2885,39.4738
156.8425,-119.9218,39.5239
47.51738,-120.4549,38.57567
77.51738,-120.094,38.62627
55.01738,-120.5208,38.8577
80.01738,-120.1582,38.90858
81.26738,-119.795,38.9581
71.26738,-120.223,39.19109
77.51738,-119.8581,39.24089
65.01738,-120.2885,39.4738
77.51738,-119.9218,39.5239
44.18521,-120.4549,38.57567
50.43521,-120.094,38.62627
44.18521,-120.5208,38.8577
49.18521,-120.1582,38.90858
59.18521,-119.795,38.9581
47.93521,-120.223,39.19109
47.93521,-119.8581,39.24089
49.18521,-120.2885,39.4738
49.18521,-119.9218,39.5239
126.09273,-120.4549,38.57567
94.34273,-120.094,38.62627
128.59273,-120.5208,38.8577
140.21773,-120.1582,38.90858
109.09273,-119.795,38.9581
125.46773,-120.223,39.19109
118.46773,-119.8581,39.24089
90.34273,-120.2885,39.4738
104.59273,-119.9218,39.5239
174.3223,-120.4549,38.57567
144.0723,-120.094,38.62627
170.6973,-120.5208,38.8577
194.9473,-120.1582,38.90858
180.3223,-119.795,38.9581
204.1973,-120.223,39.19109
210.8223,-119.8581,39.24089
197.9473,-120.2885,39.4738
193.8223,-119.9218,39.5239
115.16743,-120.4549,38.57567
136.41742,-120.094,38.62627
95.16743,-120.5208,38.8577
128.91742,-120.1582,38.90858
117.66743,-119.795,38.9581
122.66743,-120.223,39.19109
117.66743,-119.8581,39.24089
106.41743,-120.2885,39.4738
101.41743,-119.9218,39.5239
65.51116,-120.4549,38.57567
65.51116,-120.094,38.62627
68.01116,-120.5208,38.8577
69.26116,-120.1582,38.90858
64.26116,-119.795,38.9581
63.01116,-120.223,39.19109
65.51116,-119.8581,39.24089
48.01116,-120.2885,39.4738
49.26116,-119.9218,39.5239
48.054855,-120.4549,38.57567
61.304855,-120.094,38.62627
57.054855,-120.5208,38.8577
57.929855,-120.1582,38.90858
60.054855,-119.795,38.9581
54.554855,-120.223,39.19109
66.304855,-119.8581,39.24089
51.429855,-120.2885,39.4738
58.679855,-119.9218,39.5239
69.84566,-120.4549,38.57567
46.970657,-120.094,38.62627
69.84566,-120.5208,38.8577
59.845657,-120.1582,38.90858
45.72065,-119.795,38.9581
60.970657,-120.223,39.19109
49.97065,-119.8581,39.24089
44.97065,-120.2885,39.4738
43.34565,-119.9218,39.5239
109.008865,-120.4549,38.57567
77.133865,-120.094,38.62627
103.133865,-120.5208,38.8577
112.508865,-120.1582,38.90858
85.508865,-119.795,38.9581
111.883865,-120.223,39.19109
97.508865,-119.8581,39.24089
91.008865,-120.2885,39.4738
84.133865,-119.9218,39.5239
273.32135,-120.4549,38.57567
235.94635,-120.094,38.62627
254.94635,-120.5208,38.8577
273.94635,-120.1582,38.90858
259.57135,-119.795,38.9581
268.32135,-120.223,39.19109
276.57135,-119.8581,39.24089
253.94635,-120.2885,39.4738
229.07135,-119.9218,39.5239
144.81401,-120.4549,38.57567
117.938995,-120.094,38.62627
139.81401,-120.5208,38.8577
142.31401,-120.1582,38.90858
134.064,-119.795,38.9581
129.564,-120.223,39.19109
137.68901,-119.8581,39.24089
120.938995,-120.2885,39.4738
111.563995,-119.9218,39.5239
97.780754,-120.4549,38.57567
107.78076,-120.094,38.62627
102.155754,-120.5208,38.8577
102.53076,-120.1582,38.90858
103.15576,-119.795,38.9581
111.65576,-120.223,39.19109
113.15576,-119.8581,39.24089
111.90576,-120.2885,39.4738
105.655754,-119.9218,39.5239
48.00723,-120.4549,38.57567
34.132233,-120.094,38.62627
44.63223,-120.5208,38.8577
42.88223,-120.1582,38.90858
37.132233,-119.795,38.9581
49.257233,-120.223,39.19109
34.507233,-119.8581,39.24089
38.75723,-120.2885,39.4738
40.132233,-119.9218,39.5239
188.04256,-120.4549,38.57567
148.04257,-120.094,38.62627
194.29256,-120.5208,38.8577
186.79256,-120.1582,38.90858
151.79257,-119.795,38.9581
193.04256,-120.223,39.19109
165.54256,-119.8581,39.24089
156.79257,-120.2885,39.4738
139.29257,-119.9218,39.5239
292.55927,-120.4549,38.57567
254.05925,-120.094,38.62627
320.18423,-120.5208,38.8577
337.30923,-120.1582,38.90858
303.05923,-119.795,38.9581
344.18423,-120.223,39.19109
340.43427,-119.8581,39.24089
311.05923,-120.2885,39.4738
295.05923,-119.9218,39.5239
240.24127,-120.4549,38.57567
196.49127,-120.094,38.62627
237.74127,-120.5208,38.8577
276.49127,-120.1582,38.90858
