cdlyr,lon,lat
31.125,-120.094,38.62627
41.375,-120.5208,38.8577
33.875,-120.1582,38.90858
30.25,-119.795,38.9581
34.0,-120.223,39.19109
31.5,-119.8581,39.24089
32.625,-120.2885,39.4738
32.25,-119.9218,39.5239
29.625,-120.4549,38.57567
27.375,-120.094,38.62627
32.875,-120.5208,38.8577
29.125,-120.1582,38.90858
26.5,-119.795,38.9581
30.625,-120.223,39.19109
28.125,-119.8581,39.24089
32.875,-120.2885,39.4738
30.875,-119.9218,39.5239
40.875,-120.4549,38.57567
22.0,-120.094,38.62627
40.375,-120.5208,38.8577
25.5,-120.1582,38.90858
24.25,-119.795,38.9581
27.0,-120.223,39.19109
25.25,-119.8581,39.24089
23.0,-120.2885,39.4738
28.125,-119.9218,39.5239
37.375,-120.4549,38.57567
19.75,-120.094,38.62627
47.875,-120.5208,38.8577
27.125,-120.1582,38.90858
20.5,-119.795,38.9581
26.375,-120.223,39.19109
22.375,-119.8581,39.24089
25.25,-120.2885,39.4738
27.375,-119.9218,39.5239
34.75,-120.4549,38.57567
23.375,-120.094,38.62627
36.5,-120.5208,38.8577
28.0,-120.1582,38.90858
24.625,-119.795,38.9581
32.75,-120.223,39.19109
28.5,-119.8581,39.24089
33.75,-120.2885,39.4738
32.0,-119.9218,39.5239
89.0,-120.4549,38.57567
49.875,-120.094,38.62627
93.125,-120.5208,38.8577
67.0,-120.1582,38.90858
51.0,-119.795,38.9581
68.5,-120.223,39.19109
56.5,-119.8581,39.24089
61.875,-120.2885,39.4738
54.375,-119.9218,39.5239
62.125,-120.4549,38.57567
60.875,-120.094,38.62627
64.125,-120.5208,38.8577
64.0,-120.1582,38.90858
65.125,-119.795,38.9581
63.875,-120.223,39.19109
65.375,-119.8581,39.24089
61.875,-120.2885,39.4738
63.0,-119.9218,39.5239
44.375,-120.4549,38.57567
41.625,-120.094,38.62627
45.0,-120.5208,38.8577
40.5,-120.1582,38.90858
39.25,-119.795,38.9581
40.5,-120.223,39.19109
38.875,-119.8581,39.24089
41.25,-120.2885,39.4738
42.0,-119.9218,39.5239
49.0,-120.4549,38.57567
37.0,-120.094,38.62627
52.125,-120.5208,38.8577
42.625,-120.1582,38.90858
42.125,-119.795,38.9581
48.25,-120.223,39.19109
46.5,-119.8581,39.24089
54.5,-120.2885,39.4738
56.375,-119.9218,39.5239
89.875,-120.4549,38.57567
55.75,-120.094,38.62627
93.0,-120.5208,38.8577
72.625,-120.1582,38.90858
62.625,-119.795,38.9581
74.0,-120.223,39.19109
65.5,-119.8581,39.24089
72.625,-120.2885,39.4738
75.625,-119.9218,39.5239
22.875,-120.4549,38.57567
21.375,-120.094,38.62627
24.25,-120.5208,38.8577
21.125,-120.1582,38.90858
18.625,-119.795,38.9581
22.0,-120.223,39.19109
20.0,-119.8581,39.24089
24.5,-120.2885,39.4738
22.25,-119.9218,39.5239
73.875,-120.4549,38.57567
70.125,-120.094,38.62627
78.125,-120.5208,38.8577
75.75,-120.1582,38.90858
74.625,-119.795,38.9581
79.5,-120.223,39.19109
78.75,-119.8581,39.24089
80.875,-120.2885,39.4738
80.0,-119.9218,39.5239
90.75,-120.4549,38.57567
57.25,-120.094,38.62627
96.25,-120.5208,38.8577
77.25,-120.1582,38.90858
62.375,-119.795,38.9581
78.75,-120.223,39.19109
68.75,-119.8581,39.24089
73.0,-120.2885,39.4738
71.75,-119.9218,39.5239
68.0,-120.4549,38.57567
56.75,-120.094,38.62627
66.75,-120.5208,38.8577
61.25,-120.1582,38.90858
71.625,-119.795,38.9581
57.0,-120.223,39.19109
80.25,-119.8581,39.24089
63.125,-120.2885,39.4738
68.25,-119.9218,39.5239
16.125,-120.4549,38.57567
14.375,-120.094,38.62627
17.5,-120.5208,38.8577
14.875,-120.1582,38.90858
12.625,-119.795,38.9581
15.75,-120.223,39.19109
13.75,-119.8581,39.24089
15.75,-120.2885,39.4738
15.25,-119.9218,39.5239
43.25,-120.4549,38.57567
40.25,-120.094,38.62627
44.125,-120.5208,38.8577
42.375,-120.1582,38.90858
32.25,-119.795,38.9581
37.625,-120.223,39.19109
26.125,-119.8581,39.24089
31.625,-120.2885,39.4738
31.375,-119.9218,39.5239
4.25,-120.4549,38.57567
3.625,-120.094,38.62627
4.625,-120.5208,38.8577
4.25,-120.1582,38.90858
10.5,-119.795,38.9581
4.0,-120.223,39.19109
5.375,-119.8581,39.24089
4.0,-120.2885,39.4738
25.5,-119.9218,39.5239
6.625,-120.4549,38.57567
5.75,-120.094,38.62627
6.625,-120.5208,38.8577
6.125,-120.1582,38.90858
5.75,-119.795,38.9581
6.125,-120.223,39.19109
5.75,-119.8581,39.24089
6.125,-120.2885,39.4738
6.0,-119.9218,39.5239
16.375,-120.4549,38.57567
19.0,-120.094,38.62627
21.5,-120.5208,38.8577
25.125,-120.1582,38.90858
27.25,-119.795,38.9581
30.125,-120.223,39.19109
31.375,-119.8581,39.24089
34.5,-120.2885,39.4738
36.375,-119.9218,39.5239
10.875,-120.4549,38.57567
11.125,-120.094,38.62627
12.25,-120.5208,38.8577
14.5,-120.1582,38.90858
29.625,-119.795,38.9581
13.125,-120.223,39.19109
19.0,-119.8581,39.24089
11.75,-120.2885,39.4738
36.875,-119.9218,39.5239
3.5,-120.4549,38.57567
2.625,-120.094,38.62627
4.0,-120.5208,38.8577
3.0,-120.1582,38.90858
2.5,-119.795,38.9581
3.125,-120.223,39.19109
2.625,-119.8581,39.24089
2.875,-120.2885,39.4738
2.875,-119.9218,39.5239
6.0,-120.4549,38.57567
5.375,-120.094,38.62627
6.25,-120.5208,38.8577
5.625,-120.1582,38.90858
5.625,-119.795,38.9581
5.875,-120.223,39.19109
5.875,-119.8581,39.24089
6.125,-120.2885,39.4738
5.75,-119.9218,39.5239
11.625,-120.4549,38.57567
11.375,-120.094,38.62627
13.0,-120.5208,38.8577
13.25,-120.1582,38.90858
12.5,-119.795,38.9581
15.375,-120.223,39.19109
13.5,-119.8581,39.24089
18.0,-120.2885,39.4738
