tke,lon,lat
1.5749999,-120.4549,38.57567
2.6843748,-120.094,38.62627
1.9499999,-120.5208,38.8577
1.6218749,-120.1582,38.90858
0.76250005,-119.795,38.9581
2.4343748,-120.223,39.19109
1.2625,-119.8581,39.24089
2.0281248,-120.2885,39.4738
0.48125,-119.9218,39.5239
2.121875,-120.4549,38.57567
5.5125003,-120.094,38.62627
2.325,-120.5208,38.8577
3.7312503,-120.1582,38.90858
1.2625,-119.795,38.9581
4.2156253,-120.223,39.19109
2.4968748,-119.8581,39.24089
3.8093753,-120.2885,39.4738
0.98125005,-119.9218,39.5239
2.184375,-120.4549,38.57567
8.35625,-120.094,38.62627
2.79375,-120.5208,38.8577
5.2000003,-120.1582,38.90858
2.9656253,-119.795,38.9581
5.5750003,-120.223,39.19109
4.8562503,-119.8581,39.24089
7.0281253,-120.2885,39.4738
1.2624999,-119.9218,39.5239
0.8093749,-120.4549,38.57567
5.6375003,-120.094,38.62627
1.1374999,-120.5208,38.8577
3.5281253,-120.1582,38.90858
0.9812499,-119.795,38.9581
2.075,-120.223,39.19109
3.1375003,-119.8581,39.24089
3.9031253,-120.2885,39.4738
0.9812499,-119.9218,39.5239
0.19999999,-120.4549,38.57567
0.51250005,-120.094,38.62627
0.19999999,-120.5208,38.8577
0.29375002,-120.1582,38.90858
0.26250002,-119.795,38.9581
0.27812502,-120.223,39.19109
0.30937502,-119.8581,39.24089
0.29375,-120.2885,39.4738
0.43437502,-119.9218,39.5239
0.2625,-120.4549,38.57567
0.3875,-120.094,38.62627
0.35625,-120.5208,38.8577
0.40312502,-120.1582,38.90858
0.2625,-119.795,38.9581
0.43437502,-120.223,39.19109
0.35625002,-119.8581,39.24089
0.34062502,-120.2885,39.4738
0.32500002,-119.9218,39.5239
0.71562505,-120.4549,38.57567
3.9343753,-120.094,38.62627
0.79375005,-120.5208,38.8577
1.7312499,-120.1582,38.90858
0.496875,-119.795,38.9581
1.5749999,-120.223,39.19109
1.5749999,-119.8581,39.24089
2.7937498,-120.2885,39.4738
0.6375,-119.9218,39.5239
0.653125,-120.4549,38.57567
5.5437503,-120.094,38.62627
0.9656249,-120.5208,38.8577
2.6218753,-120.1582,38.90858
0.40312502,-119.795,38.9581
2.621875,-120.223,39.19109
1.7937499,-119.8581,39.24089
3.2000003,-120.2885,39.4738
0.57500005,-119.9218,39.5239
3.4656248,-120.4549,38.57567
4.6843753,-120.094,38.62627
4.309375,-120.5208,38.8577
2.9968748,-120.1582,38.90858
0.63750005,-119.795,38.9581
4.8406253,-120.223,39.19109
1.8093749,-119.8581,39.24089
2.496875,-120.2885,39.4738
0.6375,-119.9218,39.5239
0.32500005,-120.4549,38.57567
2.73125,-120.094,38.62627
0.41875005,-120.5208,38.8577
2.1375,-120.1582,38.90858
1.7312498,-119.795,38.9581
1.3249998,-120.223,39.19109
1.4187499,-119.8581,39.24089
1.2937499,-120.2885,39.4738
1.2937499,-119.9218,39.5239
0.40312502,-120.4549,38.57567
3.8562498,-120.094,38.62627
0.7625,-120.5208,38.8577
2.7937498,-120.1582,38.90858
1.1843749,-119.795,38.9581
1.8874999,-120.223,39.19109
2.2312498,-119.8581,39.24089
3.2468748,-120.2885,39.4738
1.090625,-119.9218,39.5239
0.19999999,-120.4549,38.57567
1.2312499,-120.094,38.62627
0.19999999,-120.5208,38.8577
1.0749999,-120.1582,38.90858
0.49687505,-119.795,38.9581
0.7624999,-120.223,39.19109
0.85624987,-119.8581,39.24089
0.6999999,-120.2885,39.4738
0.8874999,-119.9218,39.5239
0.19999999,-120.4549,38.57567
0.37187502,-120.094,38.62627
0.19999999,-120.5208,38.8577
0.41875002,-120.1582,38.90858
0.2625,-119.795,38.9581
0.48125002,-120.223,39.19109
0.35625,-119.8581,39.24089
0.325,-120.2885,39.4738
0.45000002,-119.9218,39.5239
0.29375002,-120.4549,38.57567
0.77812505,-120.094,38.62627
0.35625002,-120.5208,38.8577
0.77812505,-120.1582,38.90858
0.403125,-119.795,38.9581
0.85625005,-120.223,39.19109
0.51250005,-119.8581,39.24089
0.57500005,-120.2885,39.4738
0.76250005,-119.9218,39.5239
0.26250002,-120.4549,38.57567
0.575,-120.094,38.62627
0.35625002,-120.5208,38.8577
0.5125,-120.1582,38.90858
