dpt,lon,lat
273.72827,-120.4549,38.57567
263.79272,-120.094,38.62627
273.1101,-120.5208,38.8577
265.64136,-120.1582,38.90858
259.5349,-119.795,38.9581
269.42163,-120.223,39.19109
260.8689,-119.8581,39.24089
265.76343,-120.2885,39.4738
262.96948,-119.9218,39.5239
278.6803,-120.4549,38.57567
270.69592,-120.094,38.62627
277.92737,-120.5208,38.8577
271.44495,-120.1582,38.90858
271.59338,-119.795,38.9581
273.77698,-120.223,39.19109
271.39905,-119.8581,39.24089
271.5807,-120.2885,39.4738
272.7516,-119.9218,39.5239
279.08276,-120.4549,38.57567
270.4685,-120.094,38.62627
278.4685,-120.5208,38.8577
271.66187,-120.1582,38.90858
271.40894,-119.795,38.9581
274.01538,-120.223,39.19109
271.68042,-119.8581,39.24089
271.8806,-120.2885,39.4738
272.99487,-119.9218,39.5239
282.37454,-120.4549,38.57567
274.355,-120.094,38.62627
281.37552,-120.5208,38.8577
274.66556,-120.1582,38.90858
274.57083,-119.795,38.9581
275.86282,-120.223,39.19109
275.28372,-119.8581,39.24089
274.88724,-120.2885,39.4738
276.731,-119.9218,39.5239
276.29785,-120.4549,38.57567
267.44727,-120.094,38.62627
275.82227,-120.5208,38.8577
268.36035,-120.1582,38.90858
268.04395,-119.795,38.9581
271.33203,-120.223,39.19109
268.95996,-119.8581,39.24089
269.20215,-120.2885,39.4738
268.7744,-119.9218,39.5239
274.54816,-120.4549,38.57567
265.9593,-120.094,38.62627
274.18097,-120.5208,38.8577
267.59503,-120.1582,38.90858
266.20343,-119.795,38.9581
269.61652,-120.223,39.19109
268.07843,-119.8581,39.24089
267.48077,-120.2885,39.4738
267.31964,-119.9218,39.5239
277.2311,-120.4549,38.57567
267.62466,-120.094,38.62627
276.9108,-120.5208,38.8577
269.52115,-120.1582,38.90858
268.87564,-119.795,38.9581
272.67447,-120.223,39.19109
268.69693,-119.8581,39.24089
270.3317,-120.2885,39.4738
269.51822,-119.9218,39.5239
281.41672,-120.4549,38.57567
273.44992,-120.094,38.62627
280.488,-120.5208,38.8577
273.98312,-120.1582,38.90858
273.34933,-119.795,38.9581
274.94504,-120.223,39.19109
274.322,-119.8581,39.24089
274.07297,-120.2885,39.4738
275.28488,-119.9218,39.5239
278.2983,-120.4549,38.57567
270.07077,-120.094,38.62627
277.22116,-120.5208,38.8577
270.7065,-120.1582,38.90858
270.60007,-119.795,38.9581
272.67136,-120.223,39.19109
271.0825,-119.8581,39.24089
270.77585,-120.2885,39.4738
272.2026,-119.9218,39.5239
275.32068,-120.4549,38.57567
268.50427,-120.094,38.62627
274.6615,-120.5208,38.8577
269.95837,-120.1582,38.90858
271.00037,-119.795,38.9581
271.69177,-120.223,39.19109
270.31482,-119.8581,39.24089
269.41345,-120.2885,39.4738
271.34314,-119.9218,39.5239
274.06152,-120.4549,38.57567
264.60547,-120.094,38.62627
273.41504,-120.5208,38.8577
266.58203,-120.1582,38.90858
265.27637,-119.795,38.9581
269.35547,-120.223,39.19109
266.2041,-119.8581,39.24089
266.93555,-120.2885,39.4738
268.10254,-119.9218,39.5239
271.81485,-120.4549,38.57567
262.57364,-120.094,38.62627
271.73672,-120.5208,38.8577
264.8627,-120.1582,38.90858
264.9916,-119.795,38.9581
266.71133,-120.223,39.19109
264.8295,-119.8581,39.24089
264.30704,-120.2885,39.4738
266.45938,-119.9218,39.5239
266.6598,-120.4549,38.57567
257.22522,-120.094,38.62627
265.50452,-120.5208,38.8577
259.70862,-120.1582,38.90858
260.66663,-119.795,38.9581
261.45667,-120.223,39.19109
261.17737,-119.8581,39.24089
260.59924,-120.2885,39.4738
263.9049,-119.9218,39.5239
267.92572,-120.4549,38.57567
262.1396,-120.094,38.62627
267.1386,-120.5208,38.8577
263.04193,-120.1582,38.90858
265.52533,-119.795,38.9581
263.84857,-120.223,39.19109
265.49896,-119.8581,39.24089
263.81146,-120.2885,39.4738
264.40033,-119.9218,39.5239
271.1254,-120.4549,38.57567
267.53555,-120.094,38.62627
271.29922,-120.5208,38.8577
268.11758,-120.1582,38.90858
269.14493,-119.795,38.9581
269.22794,-120.223,39.19109
268.97305,-119.8581,39.24089
267.9125,-120.2885,39.4738
269.35098,-119.9218,39.5239
275.434,-120.4549,38.57567
266.63614,-120.094,38.62627
274.3168,-120.5208,38.8577
266.6752,-120.1582,38.90858
266.08536,-119.795,38.9581
269.4506,-120.223,39.19109
266.21036,-119.8581,39.24089
266.98282,-120.2885,39.4738
268.2123,-119.9218,39.5239
271.38104,-120.4549,38.57567
264.40546,-120.094,38.62627
272.4748,-120.5208,38.8577
266.02655,-120.1582,38.90858
266.7072,-119.795,38.9581
267.24432,-120.223,39.19109
267.4289,-119.8581,39.24089
266.10956,-120.2885,39.4738
268.30487,-119.9218,39.5239
271.97058,-120.4549,38.57567
260.17566,-120.094,38.62627
273.13367,-120.5208,38.8577
263.93152,-120.1582,38.90858
262.76062,-119.795,38.9581
266.5194,-120.223,39.19109
264.61218,-119.8581,39.24089
264.912,-120.2885,39.4738
268.1786,-119.9218,39.5239
270.28183,-120.4549,38.57567
255.77304,-120.094,38.62627
271.10312,-120.5208,38.8577
258.02792,-120.1582,38.90858
259.7496,-119.795,38.9581
263.34042,-120.223,39.19109
262.46738,-119.8581,39.24089
259.06308,-120.2885,39.4738
267.72812,-119.9218,39.5239
269.55777,-120.4549,38.57567
258.06558,-120.094,38.62627
270.0353,-120.5208,38.8577
260.5529,-120.1582,38.90858
254.72867,-119.795,38.9581
265.15933,-120.223,39.19109
258.14273,-119.8581,39.24089
263.00015,-120.2885,39.4738
266.6945,-119.9218,39.5239
270.39304,-120.4549,38.57567
259.103,-120.094,38.62627
269.6108,-120.5208,38.8577
263.6743,-120.1582,38.90858
262.7905,-119.795,38.9581
265.83835,-120.223,39.19109
264.25046,-119.8581,39.24089
265.6118,-120.2885,39.4738
268.1323,-119.9218,39.5239
269.406,-120.4549,38.57567
261.55835,-120.094,38.62627
269.82104,-120.5208,38.8577
264.98608,-120.1582,38.90858
266.4265,-119.795,38.9581
266.448,-120.223,39.19109
267.4275,-119.8581,39.24089
266.36206,-120.2885,39.4738
269.35913,-119.9218,39.5239
261.6285,-120.4549,38.57567
256.151,-120.094,38.62627
258.53186,-120.5208,38.8577
259.06308,-120.1582,38.90858
261.83066,-119.795,38.9581
260.39023,-120.223,39.19109
263.82187,-119.8581,39.24089
260.74277,-120.2885,39.4738
264.1617,-119.9218,39.5239
269.586,-120.4549,38.57567
262.1651,-120.094,38.62627
269.3858,-120.5208,38.8577
263.01862,-120.1582,38.90858
263.2442,-119.795,38.9581
265.79694,-120.223,39.19109
264.33698,-119.8581,39.24089
263.91998,-120.2885,39.4738
265.29694,-119.9218,39.5239
275.86032,-120.4549,38.57567
268.999,-120.094,38.62627
278.29684,-120.5208,38.8577
270.44724,-120.1582,38.90858
265.93552,-119.795,38.9581
273.29294,-120.223,39.19109
268.87985,-119.8581,39.24089
270.90427,-120.2885,39.4738
268.44528,-119.9218,39.5239
275.63574,-120.4549,38.57567
265.22656,-120.094,38.62627
277.6963,-120.5208,38.8577
268.0957,-120.1582,38.90858
260.54102,-119.795,38.9581
273.18848,-120.223,39.19109
265.8672,-119.8581,39.24089
269.33105,-120.2885,39.4738
264.19434,-119.9218,39.5239
276.61615,-120.4549,38.57567
270.27533,-120.094,38.62627
278.77533,-120.5208,38.8577
271.43256,-120.1582,38.90858
269.64642,-119.795,38.9581
273.7978,-120.223,39.19109
270.76068,-119.8581,39.24089
271.4677,-120.2885,39.4738
271.2265,-119.9218,39.5239
271.96603,-120.4549,38.57567
264.0305,-120.094,38.62627
273.33517,-120.5208,38.8577
265.84787,-120.1582,38.90858
265.06662,-119.795,38.9581
267.89963,-120.223,39.19109
265.217,-119.8581,39.24089
266.43576,-120.2885,39.4738
267.2717,-119.9218,39.5239
272.58435,-120.4549,38.57567
265.36853,-120.094,38.62627
274.3656,-120.5208,38.8577
267.80212,-120.1582,38.90858
268.10486,-119.795,38.9581
269.34314,-120.223,39.19109
269.41345,-119.8581,39.24089
269.25134,-120.2885,39.4738
270.78552,-119.9218,39.5239
271.55728,-120.4549,38.57567
257.1149,-120.094,38.62627
273.50552,-120.5208,38.8577
259.6071,-120.1582,38.90858
258.92642,-119.795,38.9581
264.4684,-120.223,39.19109
263.64517,-119.8581,39.24089
262.30728,-120.2885,39.4738
265.86588,-119.9218,39.5239
274.46185,-120.4549,38.57567
268.64252,-120.094,38.62627
276.80853,-120.5208,38.8577
270.04095,-120.1582,38.90858
268.22162,-119.795,38.9581
272.1855,-120.223,39.19109
269.6347,-119.8581,39.24089
270.41888,-120.2885,39.4738
270.39935,-119.9218,39.5239
272.0075,-120.4549,38.57567
260.5661,-120.094,38.62627
270.68427,-120.5208,38.8577
263.23993,-120.1582,38.90858
267.59637,-119.795,38.9581
264.45966,-120.223,39.19109
267.14325,-119.8581,39.24089
263.00262,-120.2885,39.4738
270.50458,-119.9218,39.5239
266.93164,-120.4549,38.57567
261.58984,-120.094,38.62627
266.89062,-120.5208,38.8577
262.13867,-120.1582,38.90858
263.26172,-119.795,38.9581
265.06152,-120.223,39.19109
264.75098,-119.8581,39.24089
263.125,-120.2885,39.4738
268.01367,-119.9218,39.5239
274.86154,-120.4549,38.57567
271.13693,-120.094,38.62627
275.27267,-120.5208,38.8577
272.3762,-120.1582,38.90858
271.99826,-119.795,38.9581
273.89963,-120.223,39.19109
272.2219,-119.8581,39.24089
272.13986,-120.2885,39.4738
273.37033,-119.9218,39.5239
274.70084,-120.4549,38.57567
267.61588,-120.094,38.62627
274.29068,-120.5208,38.8577
268.96158,-120.1582,38.90858
269.52994,-119.795,38.9581
271.10904,-120.223,39.19109
270.4694,-119.8581,39.24089
269.60806,-120.2885,39.4738
272.6315,-119.9218,39.5239
267.37375,-120.4549,38.57567
260.1091,-120.094,38.62627
265.60422,-120.5208,38.8577
262.19406,-120.1582,38.90858
263.2927,-119.795,38.9581
262.93137,-120.223,39.19109
263.43332,-119.8581,39.24089
261.91574,-120.2885,39.4738
266.1257,-119.9218,39.5239
265.92575,-120.4549,38.57567
259.92868,-120.094,38.62627
265.85544,-120.5208,38.8577
261.90427,-120.1582,38.90858
262.2568,-119.795,38.9581
263.73923,-120.223,39.19109
263.082,-119.8581,39.24089
263.51852,-120.2885,39.4738
266.3857,-119.9218,39.5239
265.0943,-120.4549,38.57567
257.6773,-120.094,38.62627
263.89996,-120.5208,38.8577
260.09625,-120.1582,38.90858
259.6187,-119.795,38.9581
261.2984,-120.223,39.19109
260.273,-119.8581,39.24089
261.00934,-120.2885,39.4738
263.81696,-119.9218,39.5239
264.64978,-120.4549,38.57567
260.6986,-120.094,38.62627
264.6283,-120.5208,38.8577
260.7465,-120.1582,38.90858
257.4242,-119.795,38.9581
263.432,-120.223,39.19109
258.0443,-119.8581,39.24089
261.21133,-120.2885,39.4738
262.70056,-119.9218,39.5239
270.42764,-120.4549,38.57567
264.579,-120.094,38.62627
271.24307,-120.5208,38.8577
266.19717,-120.1582,38.90858
266.71866,-119.795,38.9581
267.71573,-120.223,39.19109
267.50772,-119.8581,39.24089
266.83194,-120.2885,39.4738
268.08096,-119.9218,39.5239
269.64194,-120.4549,38.57567
259.7474,-120.094,38.62627
268.1107,-120.5208,38.8577
261.60776,-120.1582,38.90858
263.33627,-119.795,38.9581
263.50815,-120.223,39.19109
263.681,-119.8581,39.24089
262.556,-120.2885,39.4738
264.35483,-119.9218,39.5239
260.6084,-120.4549,38.57567
253.49901,-120.094,38.62627
260.28418,-120.5208,38.8577
256.78027,-120.1582,38.90858
256.72168,-119.795,38.9581
258.0957,-120.223,39.19109
258.3418,-119.8581,39.24089
256.12598,-120.2885,39.4738
260.18457,-119.9218,39.5239
258.17523,-120.4549,38.57567
263.41742,-120.094,38.62627
261.30414,-120.5208,38.8577
261.80316,-120.1582,38.90858
257.51996,-119.795,38.9581
264.5102,-120.223,39.19109
259.33148,-119.8581,39.24089
262.07562,-120.2885,39.4738
260.71625,-119.9218,39.5239
265.39624,-120.4549,38.57567
262.26636,-120.094,38.62627
267.37378,-120.5208,38.8577
263.8894,-120.1582,38.90858
265.01147,-119.795,38.9581
264.81226,-120.223,39.19109
265.1267,-119.8581,39.24089
264.3601,-120.2885,39.4738
264.64526,-119.9218,39.5239
264.3008,-120.4549,38.57567
259.9561,-120.094,38.62627
266.52444,-120.5208,38.8577
261.84476,-120.1582,38.90858
262.11526,-119.795,38.9581
264.05276,-120.223,39.19109
263.74515,-119.8581,39.24089
263.5684,-120.2885,39.4738
265.98538,-119.9218,39.5239
271.4168,-120.4549,38.57567
263.0926,-120.094,38.62627
270.92853,-120.5208,38.8577
264.1678,-120.1582,38.90858
263.48907,-119.795,38.9581
267.24103,-120.223,39.19109
265.54083,-119.8581,39.24089
264.8758,-120.2885,39.4738
266.54865,-119.9218,39.5239
275.06927,-120.4549,38.57567
266.12494,-120.094,38.62627
274.11615,-120.5208,38.8577
267.44818,-120.1582,38.90858
267.2763,-119.795,38.9581
269.6181,-120.223,39.19109
267.79584,-119.8581,39.24089
267.2685,-120.2885,39.4738
268.89838,-119.9218,39.5239
275.80505,-120.4549,38.57567
269.06775,-120.094,38.62627
276.1527,-120.5208,38.8577
270.1527,-120.1582,38.90858
270.30212,-119.795,38.9581
271.82947,-120.223,39.19109
270.56873,-119.8581,39.24089
270.3783,-120.2885,39.4738
271.77185,-119.9218,39.5239
274.732,-120.4549,38.57567
269.5777,-120.094,38.62627
274.98395,-120.5208,38.8577
270.47418,-120.1582,38.90858
270.06012,-119.795,38.9581
272.38727,-120.223,39.19109
270.88043,-119.8581,39.24089
270.61188,-120.2885,39.4738
272.41656,-119.9218,39.5239
276.58893,-120.4549,38.57567
270.61334,-120.094,38.62627
276.18756,-120.5208,38.8577
271.49615,-120.1582,38.90858
270.61823,-119.795,38.9581
273.57428,-120.223,39.19109
271.31256,-119.8581,39.24089
271.73053,-120.2885,39.4738
272.93365,-119.9218,39.5239
275.1811,-120.4549,38.57567
267.94672,-120.094,38.62627
275.15082,-120.5208,38.8577
269.66644,-120.1582,38.90858
268.94672,-119.795,38.9581
271.6889,-120.223,39.19109
269.9135,-119.8581,39.24089
269.76215,-120.2885,39.4738
272.1479,-119.9218,39.5239
273.33307,-120.4549,38.57567
258.5342,-120.094,38.62627
274.06354,-120.5208,38.8577
