wvinc,lon,lat
-0.6589651,-120.4549,38.57567
-0.031590223,-120.094,38.62627
-0.6390902,-120.5208,38.8577
-0.029965162,-120.1582,38.90858
3.4809113e-05,-119.795,38.9581
-0.020090103,-120.223,39.19109
3.4809113e-05,-119.8581,39.24089
0.056910038,-120.2885,39.4738
-0.00046515465,-119.9218,39.5239
1.1456518,-120.4549,38.57567
2.669777,-120.094,38.62627
1.3746514,-120.5208,38.8577
1.9119012,-120.1582,38.90858
0.8652766,-119.795,38.9581
1.7209013,-120.223,39.19109
0.64365125,-119.8581,39.24089
1.3444014,-120.2885,39.4738
0.64377666,-119.9218,39.5239
1.678518,-120.4549,38.57567
3.0623937,-120.094,38.62627
1.7030184,-120.5208,38.8577
1.0831435,-120.1582,38.90858
0.4057684,-119.795,38.9581
1.7701435,-120.223,39.19109
0.07964373,-119.8581,39.24089
0.97776866,-120.2885,39.4738
0.10251808,-119.9218,39.5239
0.565135,-120.4549,38.57567
0.89063466,-120.094,38.62627
0.70113504,-120.5208,38.8577
0.78138494,-120.1582,38.90858
0.26400995,-119.795,38.9581
1.0126348,-120.223,39.19109
-0.12973988,-119.8581,39.24089
0.40375984,-120.2885,39.4738
-0.061490178,-119.9218,39.5239
0.006542802,-120.4549,38.57567
-0.0047073364,-120.094,38.62627
-0.010707617,-120.5208,38.8577
-0.008082151,-120.1582,38.90858
-0.007332325,-119.795,38.9581
-0.010707378,-120.223,39.19109
-0.009582281,-119.8581,39.24089
-0.006457329,-120.2885,39.4738
-0.012832165,-119.9218,39.5239
-0.0015112162,-120.4549,38.57567
0.0023635626,-120.094,38.62627
-0.0032616854,-120.5208,38.8577
-0.00013625622,-120.1582,38.90858
0.0024886131,-119.795,38.9581
-0.004886389,-120.223,39.19109
-0.003261447,-119.8581,39.24089
-0.0067614317,-120.2885,39.4738
-0.0045113564,-119.9218,39.5239
0.092885256,-120.4549,38.57567
0.34163547,-120.094,38.62627
0.46201062,-120.5208,38.8577
0.6623852,-120.1582,38.90858
0.27151036,-119.795,38.9581
0.62163544,-120.223,39.19109
0.48088503,-119.8581,39.24089
0.48263502,-120.2885,39.4738
0.20838523,-119.9218,39.5239
-0.031285524,-120.4549,38.57567
1.39359,-120.094,38.62627
0.27283978,-120.5208,38.8577
0.9027145,-120.1582,38.90858
0.65808964,-119.795,38.9581
1.0207143,-120.223,39.19109
0.5359647,-119.8581,39.24089
0.5174644,-120.2885,39.4738
0.2542143,-119.9218,39.5239
1.0376089,-120.4549,38.57567
1.5723593,-120.094,38.62627
0.76323485,-120.5208,38.8577
1.3624847,-120.1582,38.90858
0.8901098,-119.795,38.9581
1.6839843,-120.223,39.19109
0.8418596,-119.8581,39.24089
1.4863594,-120.2885,39.4738
0.75060964,-119.9218,39.5239
0.31033564,-120.4549,38.57567
0.58996093,-120.094,38.62627
0.45883572,-120.5208,38.8577
0.23533583,-120.1582,38.90858
-0.016164064,-119.795,38.9581
-0.008164525,-120.223,39.19109
-0.050039053,-119.8581,39.24089
-0.1611644,-120.2885,39.4738
-0.07491398,-119.9218,39.5239
-0.14984226,-120.4549,38.57567
0.15565729,-120.094,38.62627
-0.07646704,-120.5208,38.8577
0.14028311,-120.1582,38.90858
0.03115797,-119.795,38.9581
-0.010842085,-120.223,39.19109
-0.097717285,-119.8581,39.24089
0.149158,-120.2885,39.4738
-0.022592306,-119.9218,39.5239
0.86651325,-120.4549,38.57567
0.5007633,-120.094,38.62627
1.1000129,-120.5208,38.8577
0.70263815,-120.1582,38.90858
0.07301307,-119.795,38.9581
1.1150131,-120.223,39.19109
0.012888432,-119.8581,39.24089
0.13763785,-120.2885,39.4738
0.0071384907,-119.9218,39.5239
0.00932169,-120.4549,38.57567
0.012321591,-120.094,38.62627
0.0046964884,-120.5208,38.8577
0.0014464855,-120.1582,38.90858
0.00057148933,-119.795,38.9581
-0.00030350685,-120.223,39.19109
0.00019645691,-119.8581,39.24089
0.0001963377,-120.2885,39.4738
-0.00055372715,-119.9218,39.5239
-0.07869959,-120.4549,38.57567
-0.064199686,-120.094,38.62627
-0.089949846,-120.5208,38.8577
-0.06857467,-120.1582,38.90858
-0.06944966,-119.795,38.9581
-0.06632471,-120.223,39.19109
-0.06782484,-119.8581,39.24089
-0.06194949,-120.2885,39.4738
-0.061574697,-119.9218,39.5239
0.15691519,-120.4549,38.57567
0.38116527,-120.094,38.62627
0.29041553,-120.5208,38.8577
0.33329034,-120.1582,38.90858
0.25579023,-119.795,38.9581
0.13866544,-120.223,39.19109
0.06354046,-119.8581,39.24089
-0.023084879,-120.2885,39.4738
0.02254057,-119.9218,39.5239
0.065800786,-120.4549,38.57567
0.025425911,-120.094,38.62627
0.069925666,-120.5208,38.8577
0.033175826,-120.1582,38.90858
0.0019261837,-119.795,38.9581
0.10655069,-120.223,39.19109
0.0019258261,-119.8581,39.24089
0.067050815,-120.2885,39.4738
0.012300849,-119.9218,39.5239
0.00071823597,-120.4549,38.57567
0.0012181997,-120.094,38.62627
0.00021827221,-120.5208,38.8577
0.00059330463,-120.1582,38.90858
0.0017184019,-119.795,38.9581
0.00021827221,-120.223,39.19109
0.00021827221,-119.8581,39.24089
0.0038434267,-120.2885,39.4738
0.00059330463,-119.9218,39.5239
0.0010943413,-120.4549,38.57567
0.0029695034,-120.094,38.62627
0.0014693737,-120.5208,38.8577
0.0018444061,-120.1582,38.90858
0.001969099,-119.795,38.9581
0.001344204,-120.223,39.19109
0.002969265,-119.8581,39.24089
0.002594471,-120.2885,39.4738
0.001344204,-119.9218,39.5239
-0.0002913475,-120.4549,38.57567
-0.0005414486,-120.094,38.62627
-0.0002913475,-120.5208,38.8577
