snod,lon,lat
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
6.4e-06,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.1507968,-120.094,38.62627
0.0,-120.5208,38.8577
0.0539648,-120.1582,38.90858
0.0031616,-119.795,38.9581
0.0207616,-120.223,39.19109
0.0035456,-119.8581,39.24089
0.0337088,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0695744,-120.094,38.62627
0.0,-120.5208,38.8577
0.0326272,-120.1582,38.90858
0.0075712,-119.795,38.9581
0.015545598,-120.223,39.19109
0.0065152,-119.8581,39.24089
0.027449602,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.07463681,-120.094,38.62627
0.0,-120.5208,38.8577
0.0171072,-120.1582,38.90858
0.0630016,-119.795,38.9581
0.0070336,-120.223,39.19109
0.0,-119.8581,39.24089
8.96e-05,-120.2885,39.4738
0.0,-119.9218,39.5239
0.08415359,-120.4549,38.57567
0.10022401,-120.094,38.62627
0.009337599,-120.5208,38.8577
0.058348797,-120.1582,38.90858
0.0982848,-119.795,38.9581
0.016435198,-120.223,39.19109
0.0202368,-119.8581,39.24089
0.007904,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.081926405,-120.094,38.62627
0.0,-120.5208,38.8577
0.036051203,-120.1582,38.90858
0.0802624,-119.795,38.9581
0.017670399,-120.223,39.19109
0.0,-119.8581,39.24089
0.017964799,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.07628159,-120.094,38.62627
0.0,-120.5208,38.8577
0.0282496,-120.1582,38.90858
0.0611072,-119.795,38.9581
0.0111424,-120.223,39.19109
0.0,-119.8581,39.24089
0.0136384,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.059955202,-120.094,38.62627
0.0,-120.5208,38.8577
0.025932802,-120.1582,38.90858
0.0493376,-119.795,38.9581
0.00656,-120.223,39.19109
0.0,-119.8581,39.24089
0.0051647997,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.104358405,-120.094,38.62627
0.0,-120.5208,38.8577
0.0441408,-120.1582,38.90858
0.028569601,-119.795,38.9581
0.012639999,-120.223,39.19109
1.92e-05,-119.8581,39.24089
0.028256,-120.2885,39.4738
1.28e-05,-119.9218,39.5239
0.13011199,-120.4549,38.57567
0.3142464,-120.094,38.62627
0.042956803,-120.5208,38.8577
0.115968004,-120.1582,38.90858
0.21228161,-119.795,38.9581
0.068979196,-120.223,39.19109
0.095142394,-119.8581,39.24089
0.0932672,-120.2885,39.4738
0.0,-119.9218,39.5239
0.23415041,-120.4549,38.57567
0.32120317,-120.094,38.62627
0.0969856,-120.5208,38.8577
0.1109056,-120.1582,38.90858
0.214016,-119.795,38.9581
0.057311997,-120.223,39.19109
0.107123196,-119.8581,39.24089
0.070816,-120.2885,39.4738
0.00028799998,-119.9218,39.5239
0.34624,-120.4549,38.57567
0.475072,-120.094,38.62627
0.0999744,-120.5208,38.8577
0.031392,-120.1582,38.90858
0.2643072,-119.795,38.9581
0.1475136,-120.223,39.19109
0.11537921,-119.8581,39.24089
0.088537596,-120.2885,39.4738
0.0,-119.9218,39.5239
0.3020992,-120.4549,38.57567
0.497152,-120.094,38.62627
0.0649664,-120.5208,38.8577
0.12712319,-120.1582,38.90858
0.266592,-119.795,38.9581
0.0770752,-120.223,39.19109
0.123648,-119.8581,39.24089
0.07434239,-120.2885,39.4738
0.0,-119.9218,39.5239
0.2455744,-120.4549,38.57567
0.4180928,-120.094,38.62627
0.0649152,-120.5208,38.8577
0.11633279,-120.1582,38.90858
0.24162559,-119.795,38.9581
0.0342016,-120.223,39.19109
0.098636806,-119.8581,39.24089
0.0495616,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0112,-120.4549,38.57567
0.34593278,-120.094,38.62627
0.0,-120.5208,38.8577
0.0799168,-120.1582,38.90858
0.21050882,-119.795,38.9581
0.021024,-120.223,39.19109
0.0710144,-119.8581,39.24089
0.0606144,-120.2885,39.4738
0.0244672,-119.9218,39.5239
0.16753921,-120.4549,38.57567
0.31912962,-120.094,38.62627
0.0632128,-120.5208,38.8577
0.096672006,-120.1582,38.90858
0.2272512,-119.795,38.9581
0.038144,-120.223,39.19109
0.072639994,-119.8581,39.24089
0.044332802,-120.2885,39.4738
0.0173696,-119.9218,39.5239
0.2656064,-120.4549,38.57567
0.2535552,-120.094,38.62627
0.0,-120.5208,38.8577
0.0896768,-120.1582,38.90858
0.21912321,-119.795,38.9581
0.10159361,-120.223,39.19109
0.060812797,-119.8581,39.24089
0.07048319,-120.2885,39.4738
0.0048575997,-119.9218,39.5239
0.17050879,-120.4549,38.57567
0.205152,-120.094,38.62627
0.0,-120.5208,38.8577
0.083923206,-120.1582,38.90858
0.20472962,-119.795,38.9581
0.055872,-120.223,39.19109
0.0649984,-119.8581,39.24089
0.060576,-120.2885,39.4738
0.0097536,-119.9218,39.5239
0.13528961,-120.4549,38.57567
0.20904958,-120.094,38.62627
2.56e-05,-120.5208,38.8577
0.105465606,-120.1582,38.90858
0.20630401,-119.795,38.9581
0.0533824,-120.223,39.19109
0.06268159,-119.8581,39.24089
0.072863996,-120.2885,39.4738
0.0002688,-119.9218,39.5239
0.1468672,-120.4549,38.57567
0.19783041,-120.094,38.62627
0.0451904,-120.5208,38.8577
0.0898432,-120.1582,38.90858
0.19409281,-119.795,38.9581
0.05312,-120.223,39.19109
0.12798719,-119.8581,39.24089
0.061964802,-120.2885,39.4738
0.008768,-119.9218,39.5239
0.1585408,-120.4549,38.57567
0.1940032,-120.094,38.62627
0.047603197,-120.5208,38.8577
0.079628795,-120.1582,38.90858
0.19372159,-119.795,38.9581
0.050240003,-120.223,39.19109
0.10494081,-119.8581,39.24089
0.0284096,-120.2885,39.4738
0.0,-119.9218,39.5239
0.13290241,-120.4549,38.57567
0.13849598,-120.094,38.62627
2.56e-05,-120.5208,38.8577
0.064134404,-120.1582,38.90858
0.118816,-119.795,38.9581
0.030886404,-120.223,39.19109
0.06496001,-119.8581,39.24089
0.0320384,-120.2885,39.4738
0.0001344,-119.9218,39.5239
0.13792,-120.4549,38.57567
0.1570816,-120.094,38.62627
0.0,-120.5208,38.8577
0.0761856,-120.1582,38.90858
0.1534976,-119.795,38.9581
0.0427776,-120.223,39.19109
0.025836801,-119.8581,39.24089
0.034521602,-120.2885,39.4738
0.0,-119.9218,39.5239
0.053900797,-120.4549,38.57567
0.36551678,-120.094,38.62627
0.0,-120.5208,38.8577
0.1325248,-120.1582,38.90858
0.35985282,-119.795,38.9581
0.046150398,-120.223,39.19109
0.13081601,-119.8581,39.24089
0.0566272,-120.2885,39.4738
0.0,-119.9218,39.5239
0.038547203,-120.4549,38.57567
0.24707201,-120.094,38.62627
0.0,-120.5208,38.8577
0.092352,-120.1582,38.90858
0.1945024,-119.795,38.9581
0.0419264,-120.223,39.19109
0.026259203,-119.8581,39.24089
0.018924803,-120.2885,39.4738
0.0001472,-119.9218,39.5239
0.041683204,-120.4549,38.57567
0.2385152,-120.094,38.62627
0.0,-120.5208,38.8577
0.0676352,-120.1582,38.90858
0.23859201,-119.795,38.9581
0.0310656,-120.223,39.19109
0.019968,-119.8581,39.24089
0.0070464,-120.2885,39.4738
0.0,-119.9218,39.5239
0.035974402,-120.4549,38.57567
0.17331201,-120.094,38.62627
0.0,-120.5208,38.8577
0.063968,-120.1582,38.90858
0.13975681,-119.795,38.9581
0.021119999,-120.223,39.19109
