albedo,lon,lat
28.9,-120.1582,38.90858
48.600002,-119.795,38.9581
21.137499,-120.223,39.19109
44.112503,-119.8581,39.24089
19.800001,-120.2885,39.4738
20.0,-119.9218,39.5239
34.0,-120.4549,38.57567
43.7625,-120.094,38.62627
10.0125,-120.5208,38.8577
26.262503,-120.1582,38.90858
48.075,-119.795,38.9581
17.4375,-120.223,39.19109
40.1,-119.8581,39.24089
18.8375,-120.2885,39.4738
20.1375,-119.9218,39.5239
34.100002,-120.4549,38.57567
43.6875,-120.094,38.62627
10.0,-120.5208,38.8577
28.375004,-120.1582,38.90858
47.399998,-119.795,38.9581
19.8,-120.223,39.19109
30.0125,-119.8581,39.24089
19.500002,-120.2885,39.4738
20.0,-119.9218,39.5239
25.912498,-120.4549,38.57567
44.837498,-120.094,38.62627
10.0,-120.5208,38.8577
35.225,-120.1582,38.90858
48.600002,-119.795,38.9581
20.35,-120.223,39.19109
45.925003,-119.8581,39.24089
23.962502,-120.2885,39.4738
20.0,-119.9218,39.5239
22.462502,-120.4549,38.57567
44.100002,-120.094,38.62627
10.0,-120.5208,38.8577
31.2125,-120.1582,38.90858
48.600002,-119.795,38.9581
20.6625,-120.223,39.19109
29.825,-119.8581,39.24089
16.65,-120.2885,39.4738
20.162498,-119.9218,39.5239
23.350002,-120.4549,38.57567
43.9625,-120.094,38.62627
10.0,-120.5208,38.8577
26.925,-120.1582,38.90858
48.5875,-119.795,38.9581
17.8,-120.223,39.19109
22.6875,-119.8581,39.24089
12.200001,-120.2885,39.4738
20.0,-119.9218,39.5239
20.8,-120.4549,38.57567
42.9875,-120.094,38.62627
10.0,-120.5208,38.8577
27.325,-120.1582,38.90858
48.137497,-119.795,38.9581
16.9625,-120.223,39.19109
23.650002,-119.8581,39.24089
18.3,-120.2885,39.4738
20.0125,-119.9218,39.5239
33.587498,-120.4549,38.57567
43.8,-120.094,38.62627
10.0,-120.5208,38.8577
31.65,-120.1582,38.90858
48.0375,-119.795,38.9581
21.824999,-120.223,39.19109
10.0,-119.8581,39.24089
21.1625,-120.2885,39.4738
20.0,-119.9218,39.5239
33.775,-120.4549,38.57567
41.375,-120.094,38.62627
10.0875,-120.5208,38.8577
27.224998,-120.1582,38.90858
45.3375,-119.795,38.9581
21.212502,-120.223,39.19109
23.887503,-119.8581,39.24089
15.5875,-120.2885,39.4738
20.1375,-119.9218,39.5239
34.5,-120.4549,38.57567
42.8375,-120.094,38.62627
10.0625,-120.5208,38.8577
35.137497,-120.1582,38.90858
48.600002,-119.795,38.9581
20.787498,-120.223,39.19109
22.825,-119.8581,39.24089
14.325,-120.2885,39.4738
20.0,-119.9218,39.5239
28.499998,-120.4549,38.57567
42.250004,-120.094,38.62627
10.0,-120.5208,38.8577
33.125,-120.1582,38.90858
48.5625,-119.795,38.9581
16.5625,-120.223,39.19109
22.85,-119.8581,39.24089
15.975,-120.2885,39.4738
20.0625,-119.9218,39.5239
36.912502,-120.4549,38.57567
41.475002,-120.094,38.62627
20.475002,-120.5208,38.8577
37.487503,-120.1582,38.90858
48.174995,-119.795,38.9581
21.2,-120.223,39.19109
44.175,-119.8581,39.24089
19.062498,-120.2885,39.4738
20.087502,-119.9218,39.5239
31.025002,-120.4549,38.57567
40.25,-120.094,38.62627
21.775,-120.5208,38.8577
36.287502,-120.1582,38.90858
48.2,-119.795,38.9581
21.537498,-120.223,39.19109
33.1625,-119.8581,39.24089
32.325,-120.2885,39.4738
20.05,-119.9218,39.5239
37.412502,-120.4549,38.57567
44.625004,-120.094,38.62627
18.112501,-120.5208,38.8577
36.650005,-120.1582,38.90858
48.600002,-119.795,38.9581
21.225,-120.223,39.19109
36.025,-119.8581,39.24089
25.837502,-120.2885,39.4738
20.125,-119.9218,39.5239
39.625,-120.4549,38.57567
45.0,-120.094,38.62627
22.775,-120.5208,38.8577
40.762505,-120.1582,38.90858
48.600002,-119.795,38.9581
19.4375,-120.223,39.19109
28.95,-119.8581,39.24089
26.2875,-120.2885,39.4738
20.0625,-119.9218,39.5239
33.9625,-120.4549,38.57567
45.0,-120.094,38.62627
10.0,-120.5208,38.8577
41.3125,-120.1582,38.90858
48.600002,-119.795,38.9581
33.375004,-120.223,39.19109
45.825005,-119.8581,39.24089
29.2875,-120.2885,39.4738
20.0,-119.9218,39.5239
26.287498,-120.4549,38.57567
45.0,-120.094,38.62627
10.0,-120.5208,38.8577
40.825,-120.1582,38.90858
48.600002,-119.795,38.9581
30.987501,-120.223,39.19109
48.399998,-119.8581,39.24089
25.8625,-120.2885,39.4738
24.737501,-119.9218,39.5239
25.3875,-120.4549,38.57567
45.0,-120.094,38.62627
10.0,-120.5208,38.8577
40.649998,-120.1582,38.90858
48.600002,-119.795,38.9581
29.824999,-120.223,39.19109
48.362495,-119.8581,39.24089
24.675001,-120.2885,39.4738
20.0,-119.9218,39.5239
27.5,-120.4549,38.57567
45.0,-120.094,38.62627
10.0,-120.5208,38.8577
39.925,-120.1582,38.90858
48.600002,-119.795,38.9581
26.975,-120.223,39.19109
48.199997,-119.8581,39.24089
28.862501,-120.2885,39.4738
22.062502,-119.9218,39.5239
26.675,-120.4549,38.57567
45.0,-120.094,38.62627
10.0,-120.5208,38.8577
37.3125,-120.1582,38.90858
48.600002,-119.795,38.9581
22.5125,-120.223,39.19109
45.85,-119.8581,39.24089
22.45,-120.2885,39.4738
20.0,-119.9218,39.5239
27.2625,-120.4549,38.57567
45.0,-120.094,38.62627
10.0,-120.5208,38.8577
37.812504,-120.1582,38.90858
48.600002,-119.795,38.9581
24.337502,-120.223,39.19109
42.275,-119.8581,39.24089
19.0875,-120.2885,39.4738
20.0,-119.9218,39.5239
23.275,-120.4549,38.57567
45.0,-120.094,38.62627
10.0,-120.5208,38.8577
