ustm,lon,lat
6.302552,-120.4549,38.57567
8.640051,-120.094,38.62627
9.652551,-120.5208,38.8577
8.640051,-120.1582,38.90858
11.315051,-119.795,38.9581
11.090052,-120.223,39.19109
10.865051,-119.8581,39.24089
10.490051,-120.2885,39.4738
10.865051,-119.9218,39.5239
15.263897,-120.4549,38.57567
16.026396,-120.094,38.62627
15.313896,-120.5208,38.8577
16.026398,-120.1582,38.90858
16.688898,-119.795,38.9581
15.926397,-120.223,39.19109
16.213896,-119.8581,39.24089
16.063896,-120.2885,39.4738
16.213898,-119.9218,39.5239
17.380688,-120.4549,38.57567
18.130688,-120.094,38.62627
18.468187,-120.5208,38.8577
18.130688,-120.1582,38.90858
19.06819,-119.795,38.9581
19.205688,-120.223,39.19109
19.118187,-119.8581,39.24089
19.443188,-120.2885,39.4738
19.118187,-119.9218,39.5239
7.9133105,-120.4549,38.57567
10.13831,-120.094,38.62627
8.83831,-120.5208,38.8577
10.15081,-120.1582,38.90858
10.025812,-119.795,38.9581
9.888311,-120.223,39.19109
10.675812,-119.8581,39.24089
10.725811,-120.2885,39.4738
10.675812,-119.9218,39.5239
3.9573624,-120.4549,38.57567
2.982362,-120.094,38.62627
2.7698622,-120.5208,38.8577
2.982362,-120.1582,38.90858
2.3573625,-119.795,38.9581
2.3198621,-120.223,39.19109
2.032362,-119.8581,39.24089
2.0198622,-120.2885,39.4738
2.044862,-119.9218,39.5239
-2.9193897,-120.4549,38.57567
-3.0068898,-120.094,38.62627
-2.5193899,-120.5208,38.8577
-2.9943898,-120.1582,38.90858
-2.9693894,-119.795,38.9581
-2.4443896,-120.223,39.19109
-2.3693895,-119.8581,39.24089
-1.7068899,-120.2885,39.4738
-2.3693895,-119.9218,39.5239
14.755479,-120.4549,38.57567
14.955479,-120.094,38.62627
15.467978,-120.5208,38.8577
14.955479,-120.1582,38.90858
16.142979,-119.795,38.9581
15.83048,-120.223,39.19109
15.892979,-119.8581,39.24089
16.355478,-120.2885,39.4738
15.892979,-119.9218,39.5239
25.506536,-120.4549,38.57567
26.319035,-120.094,38.62627
25.994034,-120.5208,38.8577
26.319035,-120.1582,38.90858
26.594034,-119.795,38.9581
26.369036,-120.223,39.19109
26.394032,-119.8581,39.24089
26.056532,-120.2885,39.4738
26.394032,-119.9218,39.5239
16.084078,-120.4549,38.57567
16.446579,-120.094,38.62627
14.259078,-120.5208,38.8577
16.446579,-120.1582,38.90858
16.159077,-119.795,38.9581
13.584078,-120.223,39.19109
13.121579,-119.8581,39.24089
10.209078,-120.2885,39.4738
13.109078,-119.9218,39.5239
11.626693,-120.4549,38.57567
11.501691,-120.094,38.62627
10.351691,-120.5208,38.8577
11.501691,-120.1582,38.90858
12.189192,-119.795,38.9581
11.389191,-120.223,39.19109
10.814191,-119.8581,39.24089
10.764191,-120.2885,39.4738
10.826691,-119.9218,39.5239
23.537123,-120.4549,38.57567
24.074627,-120.094,38.62627
22.562124,-120.5208,38.8577
24.074627,-120.1582,38.90858
22.399626,-119.795,38.9581
22.299625,-120.223,39.19109
21.637125,-119.8581,39.24089
21.799625,-120.2885,39.4738
21.649626,-119.9218,39.5239
20.148962,-120.4549,38.57567
19.136461,-120.094,38.62627
15.298962,-120.5208,38.8577
19.148962,-120.1582,38.90858
14.723962,-119.795,38.9581
13.998961,-120.223,39.19109
12.64896,-119.8581,39.24089
12.111461,-120.2885,39.4738
12.661461,-119.9218,39.5239
15.828859,-120.4549,38.57567
15.991362,-120.094,38.62627
14.50386,-120.5208,38.8577
15.991362,-120.1582,38.90858
14.966362,-119.795,38.9581
14.5038595,-120.223,39.19109
14.416359,-119.8581,39.24089
14.06636,-120.2885,39.4738
14.416359,-119.9218,39.5239
10.971392,-120.4549,38.57567
12.021392,-120.094,38.62627
10.483891,-120.5208,38.8577
12.021392,-120.1582,38.90858
11.63389,-119.795,38.9581
10.94639,-120.223,39.19109
11.046391,-119.8581,39.24089
10.596391,-120.2885,39.4738
11.046391,-119.9218,39.5239
7.7876005,-120.4549,38.57567
9.662601,-120.094,38.62627
7.6001005,-120.5208,38.8577
9.650101,-120.1582,38.90858
9.887601,-119.795,38.9581
8.3876,-120.223,39.19109
9.1251,-119.8581,39.24089
7.312601,-120.2885,39.4738
9.1251,-119.9218,39.5239
-0.22762275,-120.4549,38.57567
1.4598774,-120.094,38.62627
-1.0026224,-120.5208,38.8577
1.4598774,-120.1582,38.90858
1.234877,-119.795,38.9581
-1.1901226,-120.223,39.19109
-2.2526228,-119.8581,39.24089
-5.4776225,-120.2885,39.4738
-2.2401228,-119.9218,39.5239
-2.5963488,-120.4549,38.57567
-2.5088484,-120.094,38.62627
-2.7338488,-120.5208,38.8577
-2.5088484,-120.1582,38.90858
-2.6588488,-119.795,38.9581
-2.7088482,-120.223,39.19109
-2.8588488,-119.8581,39.24089
-2.7338488,-120.2885,39.4738
-2.8338485,-119.9218,39.5239
9.203343,-120.4549,38.57567
9.228344,-120.094,38.62627
9.190844,-120.5208,38.8577
9.228344,-120.1582,38.90858
9.490843,-119.795,38.9581
9.528343,-120.223,39.19109
9.953343,-119.8581,39.24089
10.165843,-120.2885,39.4738
9.953343,-119.9218,39.5239
5.697491,-120.4549,38.57567
5.709991,-120.094,38.62627
6.434991,-120.5208,38.8577
5.7224913,-120.1582,38.90858
7.9349914,-119.795,38.9581
6.734991,-120.223,39.19109
6.5974913,-119.8581,39.24089
6.3224907,-120.2885,39.4738
6.609991,-119.9218,39.5239
14.581047,-120.4549,38.57567
15.393547,-120.094,38.62627
15.856048,-120.5208,38.8577
15.393547,-120.1582,38.90858
16.793547,-119.795,38.9581
16.618547,-120.223,39.19109
17.068548,-119.8581,39.24089
17.181047,-120.2885,39.4738
17.068548,-119.9218,39.5239
-5.533659,-120.4549,38.57567
-5.058658,-120.094,38.62627
-5.6211586,-120.5208,38.8577
-5.058658,-120.1582,38.90858
-4.7586584,-119.795,38.9581
-4.971158,-120.223,39.19109
-4.1336584,-119.8581,39.24089
-4.1961584,-120.2885,39.4738
-4.1336584,-119.9218,39.5239
7.674177,-120.4549,38.57567
8.124178,-120.094,38.62627
8.699178,-120.5208,38.8577
8.136677,-120.1582,38.90858
8.686678,-119.795,38.9581
