lhtfl,lon,lat
-6.19046,-120.4549,38.57567
-4.237335,-120.094,38.62627
-13.495148,-120.5208,38.8577
-5.09671,-120.1582,38.90858
-3.1279602,-119.795,38.9581
-6.28421,-120.223,39.19109
-2.4795227,-119.8581,39.24089
-4.706085,-120.2885,39.4738
-3.5498352,-119.9218,39.5239
-31.296997,-120.4549,38.57567
-11.843872,-120.094,38.62627
-27.203247,-120.5208,38.8577
-9.031372,-120.1582,38.90858
-23.328247,-119.795,38.9581
-7.5860596,-120.223,39.19109
-30.015747,-119.8581,39.24089
-12.632935,-120.2885,39.4738
-21.421997,-119.9218,39.5239
-5.721649,-120.4549,38.57567
8.176788,-120.094,38.62627
-1.9013367,-120.5208,38.8577
4.3642883,-120.1582,38.90858
-19.901337,-119.795,38.9581
35.30179,-120.223,39.19109
-11.682587,-119.8581,39.24089
7.0517883,-120.2885,39.4738
-17.331024,-119.9218,39.5239
-11.339813,-120.4549,38.57567
13.636749,-120.094,38.62627
-11.871063,-120.5208,38.8577
27.644562,-120.1582,38.90858
12.769562,-119.795,38.9581
42.88675,-120.223,39.19109
-17.30075,-119.8581,39.24089
-18.457,-120.2885,39.4738
-12.558563,-119.9218,39.5239
13.883301,-120.4549,38.57567
-5.507324,-120.094,38.62627
7.8911133,-120.5208,38.8577
-10.030762,-120.1582,38.90858
-0.5620117,-119.795,38.9581
-5.7651367,-120.223,39.19109
-14.937012,-119.8581,39.24089
-22.21045,-120.2885,39.4738
-10.921387,-119.9218,39.5239
-31.304535,-120.4549,38.57567
-6.1404724,-120.094,38.62627
-33.327972,-120.5208,38.8577
-5.0310974,-120.1582,38.90858
1.5235901,-119.795,38.9581
-5.0779724,-120.223,39.19109
-14.562347,-119.8581,39.24089
-9.679535,-120.2885,39.4738
-5.8748474,-119.9218,39.5239
-25.108124,-120.4549,38.57567
-58.18625,-120.094,38.62627
-20.303436,-120.5208,38.8577
-28.897186,-120.1582,38.90858
-16.865936,-119.795,38.9581
3.9231262,-120.223,39.19109
-22.951874,-119.8581,39.24089
-37.920624,-120.2885,39.4738
-12.201874,-119.9218,39.5239
-22.476196,-120.4549,38.57567
0.4378662,-120.094,38.62627
