wcinc,lon,lat
-0.30981958,-120.4549,38.57567
-0.0035693645,-120.094,38.62627
-0.30819452,-120.5208,38.8577
-0.0049444437,-120.1582,38.90858
-0.00019443035,-119.795,38.9581
-0.0014445782,-120.223,39.19109
-0.00019443035,-119.8581,39.24089
0.008180499,-120.2885,39.4738
-6.9499016e-05,-119.9218,39.5239
0.56358755,-120.4549,38.57567
0.65183747,-120.094,38.62627
0.6898382,-120.5208,38.8577
0.6512126,-120.1582,38.90858
0.24421287,-119.795,38.9581
0.67196286,-120.223,39.19109
0.1884625,-119.8581,39.24089
0.47946274,-120.2885,39.4738
0.19046259,-119.9218,39.5239
0.9777584,-120.4549,38.57567
0.8952584,-120.094,38.62627
1.0972583,-120.5208,38.8577
0.48188305,-120.1582,38.90858
0.1233834,-119.795,38.9581
0.74150836,-120.223,39.19109
0.036257982,-119.8581,39.24089
0.40275824,-120.2885,39.4738
0.05438316,-119.9218,39.5239
0.77682877,-120.4549,38.57567
0.45045388,-120.094,38.62627
1.3579538,-120.5208,38.8577
0.43995368,-120.1582,38.90858
0.09607887,-119.795,38.9581
0.529704,-120.223,39.19109
-0.031546116,-119.8581,39.24089
0.21620381,-120.2885,39.4738
0.0037039518,-119.9218,39.5239
0.009106517,-120.4549,38.57567
0.00023150444,-120.094,38.62627
-0.00014352798,-120.5208,38.8577
-1.859665e-05,-120.1582,38.90858
0.00023150444,-119.795,38.9581
-0.00014352798,-120.223,39.19109
-0.00014352798,-119.8581,39.24089
0.0022314787,-120.2885,39.4738
-0.00014352798,-119.9218,39.5239
0.00038075447,-120.4549,38.57567
0.0016307831,-120.094,38.62627
0.0016307831,-120.5208,38.8577
0.0016307831,-120.1582,38.90858
0.001880765,-119.795,38.9581
0.00025570393,-120.223,39.19109
5.722046e-06,-119.8581,39.24089
-0.0001193285,-120.2885,39.4738
-0.0001193285,-119.9218,39.5239
0.06770766,-120.4549,38.57567
0.09108269,-120.094,38.62627
0.20770764,-120.5208,38.8577
0.17870772,-120.1582,38.90858
0.054457664,-119.795,38.9581
0.16920769,-120.223,39.19109
0.09120762,-119.8581,39.24089
0.12208271,-120.2885,39.4738
0.04395759,-119.9218,39.5239
-0.19885814,-120.4549,38.57567
0.35501683,-120.094,38.62627
0.09389162,-120.5208,38.8577
0.33889186,-120.1582,38.90858
0.2066418,-119.795,38.9581
0.4758917,-120.223,39.19109
0.19464183,-119.8581,39.24089
0.21976686,-120.2885,39.4738
0.0938915,-119.9218,39.5239
0.3309604,-120.4549,38.57567
0.41771042,-120.094,38.62627
0.2873354,-120.5208,38.8577
0.4610852,-120.1582,38.90858
0.23021019,-119.795,38.9581
0.6322104,-120.223,39.19109
0.25908542,-119.8581,39.24089
0.46408534,-120.2885,39.4738
0.23058581,-119.9218,39.5239
0.2230084,-120.4549,38.57567
0.19150853,-120.094,38.62627
0.23938346,-120.5208,38.8577
0.091008544,-120.1582,38.90858
0.009508491,-119.795,38.9581
0.005758524,-120.223,39.19109
-0.0053663254,-119.8581,39.24089
-0.060991406,-120.2885,39.4738
-0.017366529,-119.9218,39.5239
-0.11887884,-120.4549,38.57567
0.017246246,-120.094,38.62627
-0.048003912,-120.5208,38.8577
0.023871064,-120.1582,38.90858
-0.035378695,-119.795,38.9581
-0.07062876,-120.223,39.19109
-0.07600403,-119.8581,39.24089
0.02612114,-120.2885,39.4738
-0.017378926,-119.9218,39.5239
0.14860988,-120.4549,38.57567
0.075734496,-120.094,38.62627
0.19273484,-120.5208,38.8577
0.07748461,-120.1582,38.90858
