hcdc,lon,lat
23.375,-120.094,38.62627
23.875,-120.5208,38.8577
22.875,-120.1582,38.90858
19.5,-119.795,38.9581
21.125,-120.223,39.19109
17.875,-119.8581,39.24089
18.75,-120.2885,39.4738
20.5,-119.9218,39.5239
14.625,-120.4549,38.57567
13.625,-120.094,38.62627
17.75,-120.5208,38.8577
16.625,-120.1582,38.90858
16.125,-119.795,38.9581
19.875,-120.223,39.19109
19.375,-119.8581,39.24089
23.5,-120.2885,39.4738
23.625,-119.9218,39.5239
17.875,-120.4549,38.57567
14.0,-120.094,38.62627
16.75,-120.5208,38.8577
14.875,-120.1582,38.90858
18.625,-119.795,38.9581
15.0,-120.223,39.19109
16.125,-119.8581,39.24089
15.0,-120.2885,39.4738
21.125,-119.9218,39.5239
15.5,-120.4549,38.57567
18.25,-120.094,38.62627
16.375,-120.5208,38.8577
21.75,-120.1582,38.90858
23.5,-119.795,38.9581
21.0,-120.223,39.19109
27.0,-119.8581,39.24089
20.375,-120.2885,39.4738
30.5,-119.9218,39.5239
10.0,-120.4549,38.57567
8.625,-120.094,38.62627
11.75,-120.5208,38.8577
12.25,-120.1582,38.90858
15.25,-119.795,38.9581
16.5,-120.223,39.19109
22.375,-119.8581,39.24089
19.625,-120.2885,39.4738
17.125,-119.9218,39.5239
19.375,-120.4549,38.57567
14.75,-120.094,38.62627
21.125,-120.5208,38.8577
22.75,-120.1582,38.90858
22.75,-119.795,38.9581
24.75,-120.223,39.19109
19.125,-119.8581,39.24089
19.25,-120.2885,39.4738
17.375,-119.9218,39.5239
51.5,-120.4549,38.57567
51.25,-120.094,38.62627
48.75,-120.5208,38.8577
49.25,-120.1582,38.90858
53.625,-119.795,38.9581
48.625,-120.223,39.19109
53.0,-119.8581,39.24089
48.5,-120.2885,39.4738
50.875,-119.9218,39.5239
44.375,-120.4549,38.57567
42.25,-120.094,38.62627
44.625,-120.5208,38.8577
39.625,-120.1582,38.90858
36.375,-119.795,38.9581
37.5,-120.223,39.19109
33.5,-119.8581,39.24089
36.875,-120.2885,39.4738
34.875,-119.9218,39.5239
45.375,-120.4549,38.57567
33.75,-120.094,38.62627
47.75,-120.5208,38.8577
38.875,-120.1582,38.90858
36.625,-119.795,38.9581
44.875,-120.223,39.19109
42.0,-119.8581,39.24089
51.375,-120.2885,39.4738
51.875,-119.9218,39.5239
38.5,-120.4549,38.57567
28.0,-120.094,38.62627
37.75,-120.5208,38.8577
27.375,-120.1582,38.90858
23.0,-119.795,38.9581
27.5,-120.223,39.19109
23.875,-119.8581,39.24089
29.5,-120.2885,39.4738
28.875,-119.9218,39.5239
20.125,-120.4549,38.57567
18.0,-120.094,38.62627
20.75,-120.5208,38.8577
19.0,-120.1582,38.90858
16.625,-119.795,38.9581
18.625,-120.223,39.19109
17.875,-119.8581,39.24089
19.375,-120.2885,39.4738
18.75,-119.9218,39.5239
22.375,-120.4549,38.57567
24.125,-120.094,38.62627
25.0,-120.5208,38.8577
24.0,-120.1582,38.90858
31.125,-119.795,38.9581
30.0,-120.223,39.19109
28.625,-119.8581,39.24089
35.0,-120.2885,39.4738
33.75,-119.9218,39.5239
44.125,-120.4549,38.57567
31.625,-120.094,38.62627
49.875,-120.5208,38.8577
39.5,-120.1582,38.90858
38.125,-119.795,38.9581
47.375,-120.223,39.19109
41.5,-119.8581,39.24089
51.375,-120.2885,39.4738
48.375,-119.9218,39.5239
2.125,-120.4549,38.57567
5.125,-120.094,38.62627
3.125,-120.5208,38.8577
7.625,-120.1582,38.90858
17.375,-119.795,38.9581
6.75,-120.223,39.19109
14.625,-119.8581,39.24089
7.0,-120.2885,39.4738
17.25,-119.9218,39.5239
17.0,-120.4549,38.57567
15.25,-120.094,38.62627
18.25,-120.5208,38.8577
