shum,lon,lat
0.004524331,-120.4549,38.57567
0.0026130816,-120.094,38.62627
0.0044380813,-120.5208,38.8577
0.0028855815,-120.1582,38.90858
0.0017830816,-119.795,38.9581
0.0037305814,-120.223,39.19109
0.0019743317,-119.8581,39.24089
0.0029130813,-120.2885,39.4738
0.0021605815,-119.9218,39.5239
0.00623449,-120.4549,38.57567
0.00422449,-120.094,38.62627
0.00600824,-120.5208,38.8577
0.0043469896,-120.1582,38.90858
0.00429824,-119.795,38.9581
0.0049257395,-120.223,39.19109
0.0042307395,-119.8581,39.24089
0.00439449,-120.2885,39.4738
0.0044882395,-119.9218,39.5239
0.006392545,-120.4549,38.57567
0.0041662958,-120.094,38.62627
0.006220046,-120.5208,38.8577
0.0044275457,-120.1582,38.90858
0.0042375457,-119.795,38.9581
0.0049987957,-120.223,39.19109
0.0043287957,-119.8581,39.24089
0.0044987956,-120.2885,39.4738
0.0045800456,-119.9218,39.5239
0.008031038,-120.4549,38.57567
0.005511038,-120.094,38.62627
0.007639788,-120.5208,38.8577
0.0054772883,-120.1582,38.90858
0.0053085377,-119.795,38.9581
0.005701038,-120.223,39.19109
0.0055935387,-119.8581,39.24089
0.005571038,-120.2885,39.4738
0.005944788,-119.9218,39.5239
0.0053431042,-120.4549,38.57567
0.003383105,-120.094,38.62627
0.0052456046,-120.5208,38.8577
0.0034881048,-120.1582,38.90858
0.0033493545,-119.795,38.9581
0.0041768546,-120.223,39.19109
0.0035456046,-119.8581,39.24089
0.0036943546,-120.2885,39.4738
0.0033518549,-119.9218,39.5239
0.004678096,-120.4549,38.57567
0.0030118464,-120.094,38.62627
0.004648097,-120.5208,38.8577
0.0032705963,-120.1582,38.90858
0.0029155966,-119.795,38.9581
0.0036680964,-120.223,39.19109
0.0032905964,-119.8581,39.24089
0.0032355962,-120.2885,39.4738
0.0029530965,-119.9218,39.5239
0.005667577,-120.4549,38.57567
0.0033963267,-120.094,38.62627
0.0056113265,-120.5208,38.8577
0.0037825766,-120.1582,38.90858
0.003521327,-119.795,38.9581
0.0045575765,-120.223,39.19109
0.003465077,-119.8581,39.24089
0.004013827,-120.2885,39.4738
0.0035125767,-119.9218,39.5239
0.0075323414,-120.4549,38.57567
0.0051648417,-120.094,38.62627
0.0071823415,-120.5208,38.8577
0.0052335914,-120.1582,38.90858
0.0048748413,-119.795,38.9581
0.0053585907,-120.223,39.19109
0.0052410914,-119.8581,39.24089
0.0052885916,-120.2885,39.4738
0.0053810915,-119.9218,39.5239
0.006145716,-120.4549,38.57567
0.0040932163,-120.094,38.62627
0.005790716,-120.5208,38.8577
0.0041857157,-120.1582,38.90858
0.004053216,-119.795,38.9581
0.0046094656,-120.223,39.19109
0.0041944664,-119.8581,39.24089
0.004210716,-120.2885,39.4738
0.004366966,-119.9218,39.5239
0.004956054,-120.4549,38.57567
0.0036260544,-120.094,38.62627
0.0047960537,-120.5208,38.8577
0.003929804,-120.1582,38.90858
0.0041498044,-119.795,38.9581
0.004263554,-120.223,39.19109
0.0039460543,-119.8581,39.24089
0.003786054,-120.2885,39.4738
0.0040748045,-119.9218,39.5239
0.004488758,-120.4549,38.57567
0.0027112584,-120.094,38.62627
0.0043537584,-120.5208,38.8577
0.0030412583,-120.1582,38.90858
0.0027200084,-119.795,38.9581
0.0035737585,-120.223,39.19109
0.0028962584,-119.8581,39.24089
0.003112508,-120.2885,39.4738
0.0031762584,-119.9218,39.5239
0.003820708,-120.4549,38.57567
0.0023269579,-120.094,38.62627
0.0038532082,-120.5208,38.8577
0.002661958,-120.1582,38.90858
0.002650708,-119.795,38.9581
0.0029582083,-120.223,39.19109
0.0025982081,-119.8581,39.24089
0.002551958,-120.2885,39.4738
0.0027894583,-119.9218,39.5239
0.0026275634,-120.4549,38.57567
0.0015825636,-120.094,38.62627
0.0024450636,-120.5208,38.8577
0.0018375635,-120.1582,38.90858
0.0019275636,-119.795,38.9581
0.0020038136,-120.223,39.19109
0.0019975638,-119.8581,39.24089
0.0019413136,-120.2885,39.4738
0.0022763135,-119.9218,39.5239
0.0028738098,-120.4549,38.57567
0.0022100597,-120.094,38.62627
0.0027538096,-120.5208,38.8577
0.0023238098,-120.1582,38.90858
0.0027950597,-119.795,38.9581
0.00234756,-120.223,39.19109
0.0027700597,-119.8581,39.24089
0.0024525598,-120.2885,39.4738
0.00238256,-119.9218,39.5239
0.003692904,-120.4549,38.57567
0.003376654,-120.094,38.62627
0.003879154,-120.5208,38.8577
0.0034054038,-120.1582,38.90858
0.0035804042,-119.795,38.9581
0.0035654039,-120.223,39.19109
0.0035279042,-119.8581,39.24089
0.0033429037,-120.2885,39.4738
0.003462904,-119.9218,39.5239
0.0049683666,-120.4549,38.57567
0.0031746165,-120.094,38.62627
0.0046808664,-120.5208,38.8577
