mconv,lon,lat
-1.856578e-07,-120.4549,38.57567
2.2809218e-07,-120.094,38.62627
-3.594077e-07,-120.5208,38.8577
3.3434225e-07,-120.1582,38.90858
3.9684227e-07,-119.795,38.9581
-1.481578e-07,-120.223,39.19109
6.809222e-08,-119.8581,39.24089
3.0922536e-09,-120.2885,39.4738
4.9059224e-07,-119.9218,39.5239
-7.263709e-07,-120.4549,38.57567
1.8987913e-07,-120.094,38.62627
-7.6387084e-07,-120.5208,38.8577
3.3362912e-07,-120.1582,38.90858
7.7987914e-07,-119.795,38.9581
-8.38709e-08,-120.223,39.19109
-5.1370904e-08,-119.8581,39.24089
-1.4637081e-07,-120.2885,39.4738
9.111292e-07,-119.9218,39.5239
-9.703854e-07,-120.4549,38.57567
-5.788533e-08,-120.094,38.62627
-9.541354e-07,-120.5208,38.8577
4.858647e-07,-120.1582,38.90858
1.0808646e-06,-119.795,38.9581
-2.0788534e-07,-120.223,39.19109
-4.03854e-08,-119.8581,39.24089
-3.353853e-07,-120.2885,39.4738
1.4558647e-06,-119.9218,39.5239
-8.5237923e-07,-120.4549,38.57567
-7.112919e-08,-120.094,38.62627
-8.998792e-07,-120.5208,38.8577
3.9762085e-07,-120.1582,38.90858
1.0101207e-06,-119.795,38.9581
-1.698792e-07,-120.223,39.19109
1.7637078e-07,-119.8581,39.24089
-2.2112923e-07,-120.2885,39.4738
1.1451209e-06,-119.9218,39.5239
-4.3369744e-07,-120.4549,38.57567
-1.574474e-07,-120.094,38.62627
-5.8697367e-08,-120.5208,38.8577
4.880266e-08,-120.1582,38.90858
1.5755259e-07,-119.795,38.9581
-7.447369e-09,-120.223,39.19109
1.1302603e-08,-119.8581,39.24089
6.130264e-08,-120.2885,39.4738
1.2630264e-07,-119.9218,39.5239
-7.215067e-08,-120.4549,38.57567
-1.12150644e-07,-120.094,38.62627
-2.5900675e-08,-120.5208,38.8577
7.849309e-09,-120.1582,38.90858
3.9099433e-08,-119.795,38.9581
-1.271506e-07,-120.223,39.19109
-6.590065e-08,-119.8581,39.24089
-6.090062e-08,-120.2885,39.4738
1.15349195e-07,-119.9218,39.5239
-4.4736228e-07,-120.4549,38.57567
-2.6112332e-08,-120.094,38.62627
-7.673623e-07,-120.5208,38.8577
3.5638763e-07,-120.1582,38.90858
6.4263764e-07,-119.795,38.9581
-3.6986233e-07,-120.223,39.19109
5.888765e-08,-119.8581,39.24089
-1.811124e-07,-120.2885,39.4738
9.1513766e-07,-119.9218,39.5239
-7.6728395e-07,-120.4549,38.57567
7.521618e-08,-120.094,38.62627
-7.6478386e-07,-120.5208,38.8577
6.077161e-07,-120.1582,38.90858
1.2352161e-06,-119.795,38.9581
-1.7353386e-07,-120.223,39.19109
6.021608e-08,-119.8581,39.24089
-2.1978377e-07,-120.2885,39.4738
1.1527161e-06,-119.9218,39.5239
-5.1073664e-07,-120.4549,38.57567
1.8801339e-07,-120.094,38.62627
-4.9323666e-07,-120.5208,38.8577
2.892634e-07,-120.1582,38.90858
7.105134e-07,-119.795,38.9581
-9.948664e-08,-120.223,39.19109
-4.0736666e-08,-119.8581,39.24089
-7.073666e-08,-120.2885,39.4738
6.3051345e-07,-119.9218,39.5239
-5.184524e-07,-120.4549,38.57567
-2.2202329e-08,-120.094,38.62627
-4.609523e-07,-120.5208,38.8577
3.3029767e-07,-120.1582,38.90858
7.2029763e-07,-119.795,38.9581
2.9763214e-10,-120.223,39.19109
1.0529777e-07,-119.8581,39.24089
1.802976e-07,-120.2885,39.4738
2.8404781e-07,-119.9218,39.5239
-5.31225e-07,-120.4549,38.57567
2.7524948e-08,-120.094,38.62627
-5.67475e-07,-120.5208,38.8577
3.0627496e-07,-120.1582,38.90858
5.1752494e-07,-119.795,38.9581
-1.17475025e-07,-120.223,39.19109
7.3775084e-08,-119.8581,39.24089
-6.8725e-08,-120.2885,39.4738
5.7002495e-07,-119.9218,39.5239
-3.5057133e-07,-120.4549,38.57567
-3.0571414e-08,-120.094,38.62627
-2.4557139e-07,-120.5208,38.8577
6.942864e-08,-120.1582,38.90858
1.3067864e-07,-119.795,38.9581
2.3178558e-08,-120.223,39.19109
5.942863e-08,-119.8581,39.24089
6.692866e-08,-120.2885,39.4738
-2.9321427e-08,-119.9218,39.5239
-2.4952428e-07,-120.4549,38.57567
-1.4952437e-07,-120.094,38.62627
-1.5952432e-07,-120.5208,38.8577
5.6725696e-08,-120.1582,38.90858
1.267257e-07,-119.795,38.9581
-6.327434e-08,-120.223,39.19109
1.2975676e-08,-119.8581,39.24089
4.757226e-10,-120.2885,39.4738
7.172571e-08,-119.9218,39.5239
-1.6929931e-08,-120.4549,38.57567
6.820045e-09,-120.094,38.62627
-8.568e-08,-120.5208,38.8577
1.4682004e-07,-120.1582,38.90858
2.1057e-07,-119.795,38.9581
-1.4430071e-08,-120.223,39.19109
-5.5679976e-08,-119.8581,39.24089
-1.19300125e-08,-120.2885,39.4738
2.1557003e-07,-119.9218,39.5239
-1.5606162e-08,-120.4549,38.57567
3.5939388e-07,-120.094,38.62627
-1.435609e-08,-120.5208,38.8577
1.5314387e-07,-120.1582,38.90858
2.3314391e-07,-119.795,38.9581
6.438938e-10,-120.223,39.19109
-1.4310612e-07,-119.8581,39.24089
-7.1856135e-08,-120.2885,39.4738
1.168938e-07,-119.9218,39.5239
5.7215487e-08,-120.4549,38.57567
1.047155e-07,-120.094,38.62627
1.0471544e-07,-120.5208,38.8577
-6.9034485e-08,-120.1582,38.90858
-1.515345e-07,-119.795,38.9581
-8.528451e-08,-120.223,39.19109
-2.5153454e-07,-119.8581,39.24089
-1.2528457e-07,-120.2885,39.4738
5.0965497e-08,-119.9218,39.5239
-1.5850773e-07,-120.4549,38.57567
-1.2725772e-07,-120.094,38.62627
-1.8850761e-07,-120.5208,38.8577
-1.1007671e-08,-120.1582,38.90858
1.3992292e-08,-119.795,38.9581
-1.722577e-07,-120.223,39.19109
-9.850771e-08,-119.8581,39.24089
-6.225764e-08,-120.2885,39.4738
2.4649233e-07,-119.9218,39.5239
-2.5254002e-07,-120.4549,38.57567
-6.504004e-08,-120.094,38.62627
-3.1879003e-07,-120.5208,38.8577
1.5996002e-07,-120.1582,38.90858
2.3745997e-07,-119.795,38.9581
-1.8754e-07,-120.223,39.19109
5.6209927e-08,-119.8581,39.24089
-5.0040057e-08,-120.2885,39.4738
2.4245995e-07,-119.9218,39.5239
-1.3490856e-07,-120.4549,38.57567
2.7591511e-08,-120.094,38.62627
-2.374085e-07,-120.5208,38.8577
1.625915e-07,-120.1582,38.90858
1.7884153e-07,-119.795,38.9581
-1.06158495e-07,-120.223,39.19109
-1.111585e-07,-119.8581,39.24089
-1.5740855e-07,-120.2885,39.4738
3.313415e-07,-119.9218,39.5239
-2.1086936e-07,-120.4549,38.57567
1.09130696e-07,-120.094,38.62627
-3.7336932e-07,-120.5208,38.8577
2.3913063e-07,-120.1582,38.90858
2.4038064e-07,-119.795,38.9581
-1.5586937e-07,-120.223,39.19109
5.380656e-09,-119.8581,39.24089
-1.02119344e-07,-120.2885,39.4738
4.0413073e-07,-119.9218,39.5239
-1.550751e-08,-120.4549,38.57567
-4.675752e-08,-120.094,38.62627
6.199252e-08,-120.5208,38.8577
-8.425749e-08,-120.1582,38.90858
-1.3175756e-07,-119.795,38.9581
-9.800752e-08,-120.223,39.19109
-1.717575e-07,-119.8581,39.24089
-1.03007466e-07,-120.2885,39.4738
-1.8007512e-08,-119.9218,39.5239
-4.1380042e-07,-120.4549,38.57567
-2.5255036e-07,-120.094,38.62627
-2.8630035e-07,-120.5208,38.8577
-1.313004e-07,-120.1582,38.90858
5.6199582e-08,-119.795,38.9581
-2.3880048e-07,-120.223,39.19109
2.4495819e-09,-119.8581,39.24089
-9.130048e-08,-120.2885,39.4738
1.5494967e-07,-119.9218,39.5239
-1.6070715e-07,-120.4549,38.57567
-1.0945706e-07,-120.094,38.62627
-1.5320708e-07,-120.5208,38.8577
4.1792873e-08,-120.1582,38.90858
6.5542935e-08,-119.795,38.9581
-9.695711e-08,-120.223,39.19109
-4.3206995e-08,-119.8581,39.24089
-2.8207097e-08,-120.2885,39.4738
9.179294e-08,-119.9218,39.5239
-5.5788576e-08,-120.4549,38.57567
-5.578852e-08,-120.094,38.62627
-2.282886e-07,-120.5208,38.8577
2.2546149e-07,-120.1582,38.90858
4.2296142e-07,-119.795,38.9581
-1.7453854e-07,-120.223,39.19109
-7.453852e-08,-119.8581,39.24089
-1.7953857e-07,-120.2885,39.4738
5.9171145e-07,-119.9218,39.5239
-5.8247076e-07,-120.4549,38.57567
1.4502933e-07,-120.094,38.62627
-9.649707e-07,-120.5208,38.8577
4.4752923e-07,-120.1582,38.90858
9.300293e-07,-119.795,38.9581
-4.049707e-07,-120.223,39.19109
-6.220745e-09,-119.8581,39.24089
-2.6622075e-07,-120.2885,39.4738
1.0487793e-06,-119.9218,39.5239
-4.0989045e-07,-120.4549,38.57567
2.2510952e-07,-120.094,38.62627
-8.686404e-07,-120.5208,38.8577
6.113595e-07,-120.1582,38.90858
6.676095e-07,-119.795,38.9581
-2.2739044e-07,-120.223,39.19109
1.2635945e-07,-119.8581,39.24089
3.635958e-08,-120.2885,39.4738
7.7385954e-07,-119.9218,39.5239
-5.983072e-07,-120.4549,38.57567
1.07942725e-07,-120.094,38.62627
-6.483072e-07,-120.5208,38.8577
3.5169276e-07,-120.1582,38.90858
7.854428e-07,-119.795,38.9581
-1.9955726e-07,-120.223,39.19109
-8.955726e-08,-119.8581,39.24089
-2.5080726e-07,-120.2885,39.4738
8.254427e-07,-119.9218,39.5239
-5.228334e-07,-120.4549,38.57567
-2.8783344e-07,-120.094,38.62627
-6.0158345e-07,-120.5208,38.8577
1.9216654e-07,-120.1582,38.90858
4.146666e-07,-119.795,38.9581
-3.4283343e-07,-120.223,39.19109
1.2166566e-08,-119.8581,39.24089
-2.0033335e-07,-120.2885,39.4738
5.859165e-07,-119.9218,39.5239
-5.8410797e-07,-120.4549,38.57567
-2.9785792e-07,-120.094,38.62627
-5.991079e-07,-120.5208,38.8577
-1.2857896e-08,-120.1582,38.90858
2.9714218e-07,-119.795,38.9581
-4.9910795e-07,-120.223,39.19109
3.589213e-08,-119.8581,39.24089
-2.2160785e-07,-120.2885,39.4738
5.1214215e-07,-119.9218,39.5239
-1.1721306e-07,-120.4549,38.57567
3.028711e-08,-120.094,38.62627
-3.4721285e-07,-120.5208,38.8577
2.6778713e-07,-120.1582,38.90858
2.70287e-07,-119.795,38.9581
-1.0721294e-07,-120.223,39.19109
-5.7212958e-08,-119.8581,39.24089
-1.5971295e-07,-120.2885,39.4738
4.890371e-07,-119.9218,39.5239
-8.1107305e-07,-120.4549,38.57567
1.2676907e-08,-120.094,38.62627
-8.798231e-07,-120.5208,38.8577
4.8767686e-07,-120.1582,38.90858
9.989269e-07,-119.795,38.9581
-2.1857306e-07,-120.223,39.19109
1.9142692e-07,-119.8581,39.24089
6.426916e-09,-120.2885,39.4738
8.9642685e-07,-119.9218,39.5239
-7.253993e-08,-120.4549,38.57567
-2.2878996e-07,-120.094,38.62627
-1.6753998e-07,-120.5208,38.8577
2.4601263e-09,-120.1582,38.90858
1.0371002e-07,-119.795,38.9581
-1.7753993e-07,-120.223,39.19109
-1.1289956e-08,-119.8581,39.24089
-2.5039867e-08,-120.2885,39.4738
5.8709986e-08,-119.9218,39.5239
-4.0192776e-07,-120.4549,38.57567
-1.2192785e-07,-120.094,38.62627
-4.0817784e-07,-120.5208,38.8577
1.405721e-07,-120.1582,38.90858
4.4307208e-07,-119.795,38.9581
-2.1692784e-07,-120.223,39.19109
5.0572083e-08,-119.8581,39.24089
-1.5567792e-07,-120.2885,39.4738
5.4307213e-07,-119.9218,39.5239
-8.7815926e-07,-120.4549,38.57567
-3.3440918e-07,-120.094,38.62627
-9.819092e-07,-120.5208,38.8577
5.118409e-07,-120.1582,38.90858
1.040591e-06,-119.795,38.9581
-2.9190915e-07,-120.223,39.19109
2.8059085e-07,-119.8581,39.24089
-7.69092e-08,-120.2885,39.4738
1.0443407e-06,-119.9218,39.5239
-8.210941e-08,-120.4549,38.57567
-6.585935e-08,-120.094,38.62627
-2.2109305e-08,-120.5208,38.8577
-2.4609363e-08,-120.1582,38.90858
2.0164069e-07,-119.795,38.9581
-6.5859325e-08,-120.223,39.19109
-5.3359315e-08,-119.8581,39.24089
-9.085929e-08,-120.2885,39.4738
2.1164067e-07,-119.9218,39.5239
3.851457e-08,-120.4549,38.57567
-2.1273544e-07,-120.094,38.62627
1.510146e-07,-120.5208,38.8577
-2.0773547e-07,-120.1582,38.90858
-3.9273542e-07,-119.795,38.9581
-3.8985405e-08,-120.223,39.19109
-1.2398542e-07,-119.8581,39.24089
-7.023539e-08,-120.2885,39.4738
-2.8148546e-07,-119.9218,39.5239
-5.5044865e-08,-120.4549,38.57567
-2.512949e-07,-120.094,38.62627
8.3705174e-08,-120.5208,38.8577
-2.1629486e-07,-120.1582,38.90858
-1.650449e-07,-119.795,38.9581
-6.8794805e-08,-120.223,39.19109
-1.6294905e-08,-119.8581,39.24089
-2.8794915e-08,-120.2885,39.4738
-3.150448e-07,-119.9218,39.5239
3.9577236e-07,-120.4549,38.57567
-2.0922766e-07,-120.094,38.62627
3.820224e-07,-120.5208,38.8577
-2.4547762e-07,-120.1582,38.90858
-4.5297767e-07,-119.795,38.9581
-3.2977596e-08,-120.223,39.19109
-1.05477625e-07,-119.8581,39.24089
-8.797764e-08,-120.2885,39.4738
-4.229776e-07,-119.9218,39.5239
2.4002162e-07,-120.4549,38.57567
-3.024783e-07,-120.094,38.62627
2.875217e-07,-120.5208,38.8577
-3.5247834e-07,-120.1582,38.90858
-6.199783e-07,-119.795,38.9581
-7.872839e-08,-120.223,39.19109
-2.0372826e-07,-119.8581,39.24089
-1.574783e-07,-120.2885,39.4738
-3.0372837e-07,-119.9218,39.5239
-8.061937e-08,-120.4549,38.57567
-3.281194e-07,-120.094,38.62627
-9.369444e-09,-120.5208,38.8577
-2.4436946e-07,-120.1582,38.90858
-3.1061938e-07,-119.795,38.9581
-1.206194e-07,-120.223,39.19109
1.3130659e-08,-119.8581,39.24089
-2.3119355e-08,-120.2885,39.4738
-1.2186936e-07,-119.9218,39.5239
-2.2916936e-08,-120.4549,38.57567
-2.2166691e-07,-120.094,38.62627
1.6833306e-07,-120.5208,38.8577
-1.791669e-07,-120.1582,38.90858
-2.0916693e-07,-119.795,38.9581
-4.0416865e-08,-120.223,39.19109
-2.5416966e-08,-119.8581,39.24089
-5.4167003e-08,-120.2885,39.4738
-2.61667e-07,-119.9218,39.5239
2.076701e-07,-120.4549,38.57567
-7.857972e-08,-120.094,38.62627
2.5892024e-07,-120.5208,38.8577
-1.3357982e-07,-120.1582,38.90858
-3.460798e-07,-119.795,38.9581
-2.4829717e-08,-120.223,39.19109
-1.0232989e-07,-119.8581,39.24089
-8.482988e-08,-120.2885,39.4738
-2.3607979e-07,-119.9218,39.5239
2.117132e-07,-120.4549,38.57567
-1.957869e-07,-120.094,38.62627
2.2296314e-07,-120.5208,38.8577
-2.5328694e-07,-120.1582,38.90858
-4.7078692e-07,-119.795,38.9581
-3.328688e-08,-120.223,39.19109
-2.1578694e-07,-119.8581,39.24089
-1.6703686e-07,-120.2885,39.4738
-1.5703685e-07,-119.9218,39.5239
8.982062e-08,-120.4549,38.57567
-1.5517935e-07,-120.094,38.62627
7.2320574e-08,-120.5208,38.8577
-1.3892941e-07,-120.1582,38.90858
-2.0517945e-07,-119.795,38.9581
-7.6429444e-08,-120.223,39.19109
-7.8929304e-08,-119.8581,39.24089
-7.01794e-08,-120.2885,39.4738
-5.179288e-09,-119.9218,39.5239
-1.0015651e-07,-120.4549,38.57567
3.4843538e-08,-120.094,38.62627
-2.0390644e-07,-120.5208,38.8577
1.1609359e-07,-120.1582,38.90858
1.9359351e-07,-119.795,38.9581
-1.16406454e-07,-120.223,39.19109
-3.3906417e-08,-119.8581,39.24089
-7.2656405e-08,-120.2885,39.4738
3.0359354e-07,-119.9218,39.5239
-1.7943714e-07,-120.4549,38.57567
6.306294e-08,-120.094,38.62627
-3.5443716e-07,-120.5208,38.8577
2.9681283e-07,-120.1582,38.90858
4.655628e-07,-119.795,38.9581
-1.3443719e-07,-120.223,39.19109
-2.5687143e-08,-119.8581,39.24089
-1.7443719e-07,-120.2885,39.4738
6.4681285e-07,-119.9218,39.5239
-5.245517e-07,-120.4549,38.57567
5.4198182e-08,-120.094,38.62627
-4.1580176e-07,-120.5208,38.8577
3.7419824e-07,-120.1582,38.90858
6.654483e-07,-119.795,38.9581
-8.830173e-08,-120.223,39.19109
-1.4205176e-07,-119.8581,39.24089
-3.1330174e-07,-120.2885,39.4738
7.5544835e-07,-119.9218,39.5239
-6.7438583e-07,-120.4549,38.57567
-1.8563577e-07,-120.094,38.62627
-6.918857e-07,-120.5208,38.8577
4.3561423e-07,-120.1582,38.90858
1.1193642e-06,-119.795,38.9581
-2.7063575e-07,-120.223,39.19109
2.6864313e-08,-119.8581,39.24089
-2.5813574e-07,-120.2885,39.4738
1.5931141e-06,-119.9218,39.5239
-1.7380097e-07,-120.4549,38.57567
3.994907e-08,-120.094,38.62627
-4.72551e-07,-120.5208,38.8577
4.1494903e-07,-120.1582,38.90858
5.2994903e-07,-119.795,38.9581
-3.4630096e-07,-120.223,39.19109
-7.630098e-08,-119.8581,39.24089
-1.7255098e-07,-120.2885,39.4738
7.8369897e-07,-119.9218,39.5239
-6.362876e-07,-120.4549,38.57567
8.371239e-08,-120.094,38.62627
-6.350376e-07,-120.5208,38.8577
4.3246243e-07,-120.1582,38.90858
9.1371237e-07,-119.795,38.9581
-2.4253762e-07,-120.223,39.19109
-2.1503757e-07,-119.8581,39.24089
-4.2628758e-07,-120.2885,39.4738
1.0649624e-06,-119.9218,39.5239
-3.6546768e-07,-120.4549,38.57567
1.703225e-08,-120.094,38.62627
-4.879677e-07,-120.5208,38.8577
2.8578228e-07,-120.1582,38.90858
5.170323e-07,-119.795,38.9581
-2.442177e-07,-120.223,39.19109
-1.0671778e-07,-119.8581,39.24089
-1.9296775e-07,-120.2885,39.4738
4.845322e-07,-119.9218,39.5239
-1.1406587e-07,-120.4549,38.57567
4.2184098e-08,-120.094,38.62627
-2.9531586e-07,-120.5208,38.8577
1.6218411e-07,-120.1582,38.90858
1.7843416e-07,-119.795,38.9581
-1.1031585e-07,-120.223,39.19109
-1.2656588e-07,-119.8581,39.24089
-1.0156583e-07,-120.2885,39.4738
2.9343414e-07,-119.9218,39.5239
5.247864e-08,-120.4549,38.57567
1.2247864e-07,-120.094,38.62627
-1.4877139e-07,-120.5208,38.8577
4.4978634e-08,-120.1582,38.90858
9.7478676e-08,-119.795,38.9581
-5.877135e-08,-120.223,39.19109
-9.7521394e-08,-119.8581,39.24089
-8.5021355e-08,-120.2885,39.4738
1.8372864e-07,-119.9218,39.5239
1.2776886e-07,-120.4549,38.57567
1.4276887e-07,-120.094,38.62627
2.526889e-08,-120.5208,38.8577
4.0268844e-08,-120.1582,38.90858
-5.2231172e-08,-119.795,38.9581
2.4018817e-08,-120.223,39.19109
-2.0223115e-07,-119.8581,39.24089
-8.723117e-08,-120.2885,39.4738
1.2026885e-07,-119.9218,39.5239
5.928166e-08,-120.4549,38.57567
1.1053166e-07,-120.094,38.62627
3.4281612e-08,-120.5208,38.8577
1.1781651e-08,-120.1582,38.90858
-1.6968357e-08,-119.795,38.9581
-2.3218377e-08,-120.223,39.19109
-2.0446839e-07,-119.8581,39.24089
-1.1321836e-07,-120.2885,39.4738
5.303164e-08,-119.9218,39.5239
-9.5429215e-08,-120.4549,38.57567
1.9707076e-07,-120.094,38.62627
-1.3167923e-07,-120.5208,38.8577
2.5582085e-07,-120.1582,38.90858
3.8332078e-07,-119.795,38.9581
-6.167929e-08,-120.223,39.19109
-1.1917922e-07,-119.8581,39.24089
-6.417923e-08,-120.2885,39.4738
3.7332072e-07,-119.9218,39.5239
-7.706803e-07,-120.4549,38.57567
7.5569744e-08,-120.094,38.62627
-4.4943025e-07,-120.5208,38.8577
5.1181974e-07,-120.1582,38.90858
1.2118198e-06,-119.795,38.9581
-3.943029e-08,-120.223,39.19109
7.8069746e-08,-119.8581,39.24089
-4.1930235e-08,-120.2885,39.4738
1.2955697e-06,-119.9218,39.5239
-6.3132416e-07,-120.4549,38.57567
7.242585e-08,-120.094,38.62627
-5.6882413e-07,-120.5208,38.8577
4.9867583e-07,-120.1582,38.90858
1.2649257e-06,-119.795,38.9581
-1.9632421e-07,-120.223,39.19109
-1.950742e-07,-119.8581,39.24089
-5.750742e-07,-120.2885,39.4738
1.9324257e-06,-119.9218,39.5239
-5.5509287e-07,-120.4549,38.57567
-1.5384282e-07,-120.094,38.62627
-5.5634274e-07,-120.5208,38.8577
3.0115717e-07,-120.1582,38.90858
7.436572e-07,-119.795,38.9581
-1.5259275e-07,-120.223,39.19109
7.4071522e-09,-119.8581,39.24089
-1.5009283e-07,-120.2885,39.4738
9.1240724e-07,-119.9218,39.5239
-8.4446185e-07,-120.4549,38.57567
-6.6071186e-07,-120.094,38.62627
-1.1144617e-06,-120.5208,38.8577
7.428818e-08,-120.1582,38.90858
5.630382e-07,-119.795,38.9581
-7.9696184e-07,-120.223,39.19109
-5.6961795e-08,-119.8581,39.24089
-4.682118e-07,-120.2885,39.4738
1.1155382e-06,-119.9218,39.5239
-6.323735e-07,-120.4549,38.57567
2.4637654e-07,-120.094,38.62627
-7.9862343e-07,-120.5208,38.8577
5.1387656e-07,-120.1582,38.90858
7.8137657e-07,-119.795,38.9581
-3.5487352e-07,-120.223,39.19109
-6.612342e-08,-119.8581,39.24089
-3.4112352e-07,-120.2885,39.4738
1.1688766e-06,-119.9218,39.5239
-3.3553414e-07,-120.4549,38.57567
7.15886e-10,-120.094,38.62627
-4.6803405e-07,-120.5208,38.8577
2.407159e-07,-120.1582,38.90858
6.7071596e-07,-119.795,38.9581
2.9465781e-08,-120.223,39.19109
1.7071582e-07,-119.8581,39.24089
9.0715844e-08,-120.2885,39.4738
5.81966e-07,-119.9218,39.5239
1.2451238e-07,-120.4549,38.57567
-1.7923762e-07,-120.094,38.62627
2.0076234e-07,-120.5208,38.8577
-1.9798762e-07,-120.1582,38.90858
-3.4923764e-07,-119.795,38.9581
-6.9237615e-08,-120.223,39.19109
-8.9237574e-08,-119.8581,39.24089
-6.673764e-08,-120.2885,39.4738
-2.5423762e-07,-119.9218,39.5239
