web-scraper-order,web-scraper-start-url,avy,avy-href,above_treeline,near_treeline,below_treeline,problem_1,problem_2
"1673820800-328","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-01-09","https://www.sierraavalanchecenter.org/advisory/2020/jan/9/2020-01-09-065000-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","Avalanche Problem 2: Loose Dry"
"1673820802-329","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-01-10","https://www.sierraavalanchecenter.org/advisory/2020/jan/10/2020-01-10-064805-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","Avalanche Problem 2: Loose Wet"
"1673820805-330","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-01-11","https://www.sierraavalanchecenter.org/advisory/2020/jan/11/2020-01-11-065305-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","recent observations"
"1673820807-331","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-01-12","https://www.sierraavalanchecenter.org/advisory/2020/jan/12/2020-01-12-065955-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","recent observations"
"1673820810-332","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-01-13","https://www.sierraavalanchecenter.org/advisory/2020/jan/13/2020-01-13-065911-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","recent observations"
"1673820812-333","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-01-14","https://www.sierraavalanchecenter.org/advisory/2020/jan/14/2020-01-14-065959-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","recent observations"
"1673820815-334","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-01-15","https://www.sierraavalanchecenter.org/advisory/2020/jan/15/2020-01-15-070022-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","Forecast discussion"
"1673820818-335","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-01-16","https://www.sierraavalanchecenter.org/advisory/2020/jan/16/2020-01-16-070004-avalanche-forecast","4. High
        ?
        Above Treeline","4. High
        ?
        Near Treeline","4. High
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","Avalanche Problem 2: Storm Slab"
"1673820820-336","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-01-17","https://www.sierraavalanchecenter.org/advisory/2020/jan/17/2020-01-17-065700-avalanche-forecast","3. Considerable
        ?
        Above Treeline","3. Considerable
        ?
        Near Treeline","3. Considerable
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","Avalanche Problem 2: Storm Slab"
"1673820823-337","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-01-18","https://www.sierraavalanchecenter.org/advisory/2020/jan/18/2020-01-18-065906-avalanche-forecast","2. Moderate
        ?
        Above Treeline","3. Considerable
        ?
        Near Treeline","3. Considerable
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","Avalanche Problem 2: Persistent Slab"
"1673820829-338","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-01-19","https://www.sierraavalanchecenter.org/advisory/2020/jan/19/2020-01-19-070026-avalanche-forecast","2. Moderate
        ?
        Above Treeline","3. Considerable
        ?
        Near Treeline","3. Considerable
        ?
        Below Treeline","Avalanche Problem 1: Persistent Slab","Avalanche Problem 2: Wind Slab"
"1673820832-339","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-01-20","https://www.sierraavalanchecenter.org/advisory/2020/jan/20/2020-01-20-070044-avalanche-forecast","2. Moderate
        ?
        Above Treeline","3. Considerable
        ?
        Near Treeline","3. Considerable
        ?
        Below Treeline","Avalanche Problem 1: Persistent Slab","Avalanche Problem 2: Wind Slab"
"1673820834-340","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-01-21","https://www.sierraavalanchecenter.org/advisory/2020/jan/21/2020-01-21-070056-avalanche-forecast","3. Considerable
        ?
        Above Treeline","3. Considerable
        ?
        Near Treeline","3. Considerable
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","Avalanche Problem 2: Persistent Slab"
"1673820836-341","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-01-22","https://www.sierraavalanchecenter.org/advisory/2020/jan/22/2020-01-22-070008-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","2. Moderate
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","Avalanche Problem 2: Persistent Slab"
"1673820839-342","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-01-23","https://www.sierraavalanchecenter.org/advisory/2020/jan/23/2020-01-23-064900-avalanche-forecast","1. Low
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","2. Moderate
        ?
        Below Treeline","Avalanche Problem 1: Persistent Slab","Avalanche Problem 2: Loose Wet"
"1673820841-343","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-01-24","https://www.sierraavalanchecenter.org/advisory/2020/jan/24/2020-01-24-065502-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","2. Moderate
        ?
        Below Treeline","Avalanche Problem 1: Persistent Slab","Avalanche Problem 2: Loose Wet"
"1673820843-344","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-01-25","https://www.sierraavalanchecenter.org/advisory/2020/jan/25/2020-01-25-065305-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","2. Moderate
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","Avalanche Problem 2: Persistent Slab"
"1673820846-345","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-01-26","https://www.sierraavalanchecenter.org/advisory/2020/jan/26/2020-01-26-070055-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","2. Moderate
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","Avalanche Problem 2: Persistent Slab"
"1673820848-346","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-01-27","https://www.sierraavalanchecenter.org/advisory/2020/jan/27/2020-01-27-070028-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","2. Moderate
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","Avalanche Problem 2: Persistent Slab"
"1673820851-347","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-01-28","https://www.sierraavalanchecenter.org/advisory/2020/jan/28/2020-01-28-065836-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","recent observations"
"1673820853-348","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-01-29","https://www.sierraavalanchecenter.org/advisory/2020/jan/29/2020-01-29-065537-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","recent observations"
"1673820856-349","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-01-30","https://www.sierraavalanchecenter.org/advisory/2020/jan/30/2020-01-30-064206-avalanche-forecast","1. Low
        ?
        Above Treeline","1. Low
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","Avalanche Problem 2: Loose Wet"
"1673820858-350","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-01-31","https://www.sierraavalanchecenter.org/advisory/2020/jan/31/2020-01-31-064703-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","2. Moderate
        ?
        Below Treeline","Avalanche Problem 1: Loose Wet","recent observations"
"1673820860-351","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-02-01","https://www.sierraavalanchecenter.org/advisory/2020/feb/1/2020-02-01-064000-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","2. Moderate
        ?
        Below Treeline","Avalanche Problem 1: Loose Wet","recent observations"
"1673820863-352","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-02-02","https://www.sierraavalanchecenter.org/advisory/2020/feb/2/2020-02-02-070015-avalanche-forecast","1. Low
        ?
        Above Treeline","1. Low
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Normal Caution","recent observations"
"1673820865-353","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-02-03","https://www.sierraavalanchecenter.org/advisory/2020/feb/3/2020-02-03-065733-avalanche-forecast","1. Low
        ?
        Above Treeline","1. Low
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Normal Caution","recent observations"
"1673820868-354","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-02-04","https://www.sierraavalanchecenter.org/advisory/2020/feb/4/2020-02-04-065808-avalanche-forecast","1. Low
        ?
        Above Treeline","1. Low
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Normal Caution","recent observations"
"1673820870-355","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-02-05","https://www.sierraavalanchecenter.org/advisory/2020/feb/5/2020-02-05-065451-avalanche-forecast","1. Low
        ?
        Above Treeline","1. Low
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Normal Caution","recent observations"
"1673820873-356","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-02-06","https://www.sierraavalanchecenter.org/advisory/2020/feb/6/2020-02-06-064100-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","2. Moderate
        ?
        Below Treeline","Avalanche Problem 1: Loose Wet","recent observations"
"1673820875-357","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-02-07","https://www.sierraavalanchecenter.org/advisory/2020/feb/7/2020-02-07-064605-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","2. Moderate
        ?
        Below Treeline","Avalanche Problem 1: Loose Wet","recent observations"
"1673820878-358","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-02-08","https://www.sierraavalanchecenter.org/advisory/2020/feb/8/2020-02-08-065203-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","2. Moderate
        ?
        Below Treeline","Avalanche Problem 1: Loose Wet","recent observations"
"1673820880-359","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-02-09","https://www.sierraavalanchecenter.org/advisory/2020/feb/9/2020-02-09-065939-avalanche-forecast","1. Low
        ?
        Above Treeline","1. Low
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Normal Caution","recent observations"
"1673820882-360","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-02-10","https://www.sierraavalanchecenter.org/advisory/2020/feb/10/2020-02-10-070055-avalanche-forecast","1. Low
        ?
        Above Treeline","1. Low
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Normal Caution","recent observations"
"1673820885-361","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-02-11","https://www.sierraavalanchecenter.org/advisory/2020/feb/11/2020-02-11-065815-avalanche-forecast","1. Low
        ?
        Above Treeline","1. Low
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Normal Caution","recent observations"
"1673820887-362","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-02-12","https://www.sierraavalanchecenter.org/advisory/2020/feb/12/2020-02-12-065200-avalanche-forecast","1. Low
        ?
        Above Treeline","1. Low
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Normal Caution","recent observations"
"1673820889-363","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-02-13","https://www.sierraavalanchecenter.org/advisory/2020/feb/13/2020-02-13-065002-avalanche-forecast","1. Low
        ?
        Above Treeline","1. Low
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Normal Caution","recent observations"
"1673820892-364","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-02-14","https://www.sierraavalanchecenter.org/advisory/2020/feb/14/2020-02-14-064204-avalanche-forecast","1. Low
        ?
        Above Treeline","1. Low
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Normal Caution","recent observations"
"1673820894-365","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-02-15","https://www.sierraavalanchecenter.org/advisory/2020/feb/15/2020-02-15-065700-avalanche-forecast","1. Low
        ?
        Above Treeline","1. Low
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Normal Caution","recent observations"
"1673820897-366","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-02-16","https://www.sierraavalanchecenter.org/advisory/2020/feb/16/2020-02-16-065933-avalanche-forecast","1. Low
        ?
        Above Treeline","1. Low
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Normal Caution","recent observations"
"1673820899-367","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-02-17","https://www.sierraavalanchecenter.org/advisory/2020/feb/17/2020-02-17-065929-avalanche-forecast","1. Low
        ?
        Above Treeline","1. Low
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Normal Caution","recent observations"
"1673820901-368","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-02-18","https://www.sierraavalanchecenter.org/advisory/2020/feb/18/2020-02-18-065257-avalanche-forecast","1. Low
        ?
        Above Treeline","1. Low
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Normal Caution","recent observations"
"1673820904-369","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-02-19","https://www.sierraavalanchecenter.org/advisory/2020/feb/19/2020-02-19-065110-avalanche-forecast","1. Low
        ?
        Above Treeline","1. Low
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Normal Caution","recent observations"
"1673820907-370","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-02-20","https://www.sierraavalanchecenter.org/advisory/2020/feb/20/2020-02-20-065609-avalanche-forecast","1. Low
        ?
        Above Treeline","1. Low
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Normal Caution","recent observations"
"1673820909-371","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-02-21","https://www.sierraavalanchecenter.org/advisory/2020/feb/21/2020-02-21-065707-avalanche-forecast","1. Low
        ?
        Above Treeline","1. Low
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Normal Caution","recent observations"
"1673820912-372","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2020-02-22","https://www.sierraavalanchecenter.org/advisory/2020/feb/22/2020-02-22-065405-avalanche-forecast","1. Low
        ?
        Above Treeline","1. Low
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Normal Caution","recent observations"
