web-scraper-order,web-scraper-start-url,avy,avy-href,above_treeline,near_treeline,below_treeline,problem_1,problem_2
"1673820717-298","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2019-12-08","https://www.sierraavalanchecenter.org/advisory/2019/dec/8/2019-12-08-065932-avalanche-forecast","3. Considerable
        ?
        Above Treeline","3. Considerable
        ?
        Near Treeline","2. Moderate
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","Avalanche Problem 2: Storm Slab"
"1673820719-299","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2019-12-09","https://www.sierraavalanchecenter.org/advisory/2019/dec/9/2019-12-09-065915-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","2. Moderate
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","Avalanche Problem 2: Storm Slab"
"1673820731-300","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2019-12-10","https://www.sierraavalanchecenter.org/advisory/2019/dec/10/2019-12-10-070012-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","2. Moderate
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","Avalanche Problem 2: Storm Slab"
"1673820734-301","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2019-12-11","https://www.sierraavalanchecenter.org/advisory/2019/dec/11/2019-12-11-065847-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","Avalanche Problem 2: Storm Slab"
"1673820736-302","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2019-12-12","https://www.sierraavalanchecenter.org/advisory/2019/dec/12/2019-12-12-065904-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","2. Moderate
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","Avalanche Problem 2: Loose Wet"
"1673820739-303","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2019-12-13","https://www.sierraavalanchecenter.org/advisory/2019/dec/13/2019-12-13-065200-avalanche-forecast","3. Considerable
        ?
        Above Treeline","3. Considerable
        ?
        Near Treeline","2. Moderate
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","Avalanche Problem 2: Storm Slab"
"1673820741-304","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2019-12-14","https://www.sierraavalanchecenter.org/advisory/2019/dec/14/2019-12-14-065003-avalanche-forecast","3. Considerable
        ?
        Above Treeline","3. Considerable
        ?
        Near Treeline","2. Moderate
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","Avalanche Problem 2: Storm Slab"
"1673820744-305","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2019-12-15","https://www.sierraavalanchecenter.org/advisory/2019/dec/15/2019-12-15-065613-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","recent observations"
"1673820746-306","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2019-12-16","https://www.sierraavalanchecenter.org/advisory/2019/dec/16/2019-12-16-065507-avalanche-forecast","2. Moderate
        ?
        Above Treeline","1. Low
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","recent observations"
"1673820748-307","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2019-12-17","https://www.sierraavalanchecenter.org/advisory/2019/dec/17/2019-12-17-065019-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","recent observations"
"1673820751-308","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2019-12-18","https://www.sierraavalanchecenter.org/advisory/2019/dec/18/2019-12-18-065336-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","recent observations"
"1673820753-309","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2019-12-19","https://www.sierraavalanchecenter.org/advisory/2019/dec/19/2019-12-19-065502-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","recent observations"
"1673820756-310","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2019-12-20","https://www.sierraavalanchecenter.org/advisory/2019/dec/20/2019-12-20-065403-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","recent observations"
"1673820758-311","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2019-12-21","https://www.sierraavalanchecenter.org/advisory/2019/dec/21/2019-12-21-064500-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","recent observations"
"1673820760-312","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2019-12-22","https://www.sierraavalanchecenter.org/advisory/2019/dec/22/2019-12-22-070321-avalanche-forecast","3. Considerable
        ?
        Above Treeline","3. Considerable
        ?
        Near Treeline","2. Moderate
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","Avalanche Problem 2: Storm Slab"
"1673820763-313","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2019-12-23","https://www.sierraavalanchecenter.org/advisory/2019/dec/23/2019-12-23-065633-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","2. Moderate
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","Avalanche Problem 2: Loose Dry"
"1673820765-314","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2019-12-24","https://www.sierraavalanchecenter.org/advisory/2019/dec/24/2019-12-24-065232-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","recent observations"
"1673820767-315","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2019-12-26","https://www.sierraavalanchecenter.org/advisory/2019/dec/26/2019-12-26-065408-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","recent observations"
"1673820770-316","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2019-12-27","https://www.sierraavalanchecenter.org/advisory/2019/dec/27/2019-12-27-064708-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","recent observations"
"1673820773-317","https://www.sierraavalanchecenter.org/prior-jan-6-2021/archive?date_filter_op=between&date_filter%5Bvalue%5D%5Bdate%5D=01%2F14%2F2023&date_filter%5Bmin%5D%5Bdate%5D=11%2F27%2F2019&date_filter%5Bmax%5D%5Bdate%5D=05%2F03%2F2020&items_per_page=All","Click here to see the full forecast for 2019-12-28","https://www.sierraavalanchecenter.org/advisory/2019/dec/28/2019-12-28-065202-avalanche-forecast","2. Moderate
        ?
        Above Treeline","2. Moderate
        ?
        Near Treeline","1. Low
        ?
        Below Treeline","Avalanche Problem 1: Wind Slab","recent observations"
