avy,avy-href,above_treeline,near_treeline,below_treeline,problem_1,problem_2
2020-01-13,https://www.sierraavalanchecenter.org/advisory/2020/jan/13/2020-01-13-065911-avalanche-forecast,2,2,1, Wind Slab,
2020-01-14,https://www.sierraavalanchecenter.org/advisory/2020/jan/14/2020-01-14-065959-avalanche-forecast,2,2,1, Wind Slab,
2020-01-15,https://www.sierraavalanchecenter.org/advisory/2020/jan/15/2020-01-15-070022-avalanche-forecast,2,2,1, Wind Slab,
2020-01-16,https://www.sierraavalanchecenter.org/advisory/2020/jan/16/2020-01-16-070004-avalanche-forecast,4,4,4, Wind Slab, Storm Slab
2020-01-17,https://www.sierraavalanchecenter.org/advisory/2020/jan/17/2020-01-17-065700-avalanche-forecast,3,3,3, Wind Slab, Storm Slab
2020-01-18,https://www.sierraavalanchecenter.org/advisory/2020/jan/18/2020-01-18-065906-avalanche-forecast,2,3,3, Wind Slab, Persistent Slab
2020-01-19,https://www.sierraavalanchecenter.org/advisory/2020/jan/19/2020-01-19-070026-avalanche-forecast,2,3,3, Persistent Slab, Wind Slab
2020-01-20,https://www.sierraavalanchecenter.org/advisory/2020/jan/20/2020-01-20-070044-avalanche-forecast,2,3,3, Persistent Slab, Wind Slab
2020-01-21,https://www.sierraavalanchecenter.org/advisory/2020/jan/21/2020-01-21-070056-avalanche-forecast,3,3,3, Wind Slab, Persistent Slab
2020-01-22,https://www.sierraavalanchecenter.org/advisory/2020/jan/22/2020-01-22-070008-avalanche-forecast,2,2,2, Wind Slab, Persistent Slab
2020-01-23,https://www.sierraavalanchecenter.org/advisory/2020/jan/23/2020-01-23-064900-avalanche-forecast,1,2,2, Persistent Slab, Loose Wet
2020-01-24,https://www.sierraavalanchecenter.org/advisory/2020/jan/24/2020-01-24-065502-avalanche-forecast,2,2,2, Persistent Slab, Loose Wet
2020-01-25,https://www.sierraavalanchecenter.org/advisory/2020/jan/25/2020-01-25-065305-avalanche-forecast,2,2,2, Wind Slab, Persistent Slab
2020-01-26,https://www.sierraavalanchecenter.org/advisory/2020/jan/26/2020-01-26-070055-avalanche-forecast,2,2,2, Wind Slab, Persistent Slab
2020-01-27,https://www.sierraavalanchecenter.org/advisory/2020/jan/27/2020-01-27-070028-avalanche-forecast,2,2,2, Wind Slab, Persistent Slab
2020-01-28,https://www.sierraavalanchecenter.org/advisory/2020/jan/28/2020-01-28-065836-avalanche-forecast,2,2,1, Wind Slab,
2020-01-29,https://www.sierraavalanchecenter.org/advisory/2020/jan/29/2020-01-29-065537-avalanche-forecast,2,2,1, Wind Slab,
2020-01-30,https://www.sierraavalanchecenter.org/advisory/2020/jan/30/2020-01-30-064206-avalanche-forecast,1,1,1, Wind Slab, Loose Wet
2020-01-31,https://www.sierraavalanchecenter.org/advisory/2020/jan/31/2020-01-31-064703-avalanche-forecast,2,2,2, Loose Wet,
2020-02-01,https://www.sierraavalanchecenter.org/advisory/2020/feb/1/2020-02-01-064000-avalanche-forecast,2,2,2, Loose Wet,
2020-02-02,https://www.sierraavalanchecenter.org/advisory/2020/feb/2/2020-02-02-070015-avalanche-forecast,1,1,1, Normal Caution,
2020-02-03,https://www.sierraavalanchecenter.org/advisory/2020/feb/3/2020-02-03-065733-avalanche-forecast,1,1,1, Normal Caution,
2020-02-04,https://www.sierraavalanchecenter.org/advisory/2020/feb/4/2020-02-04-065808-avalanche-forecast,1,1,1, Normal Caution,
2020-02-05,https://www.sierraavalanchecenter.org/advisory/2020/feb/5/2020-02-05-065451-avalanche-forecast,1,1,1, Normal Caution,
2020-02-06,https://www.sierraavalanchecenter.org/advisory/2020/feb/6/2020-02-06-064100-avalanche-forecast,2,2,2, Loose Wet,
2020-02-07,https://www.sierraavalanchecenter.org/advisory/2020/feb/7/2020-02-07-064605-avalanche-forecast,2,2,2, Loose Wet,
2020-02-08,https://www.sierraavalanchecenter.org/advisory/2020/feb/8/2020-02-08-065203-avalanche-forecast,2,2,2, Loose Wet,
2020-02-09,https://www.sierraavalanchecenter.org/advisory/2020/feb/9/2020-02-09-065939-avalanche-forecast,1,1,1, Normal Caution,
2020-02-10,https://www.sierraavalanchecenter.org/advisory/2020/feb/10/2020-02-10-070055-avalanche-forecast,1,1,1, Normal Caution,
2020-02-11,https://www.sierraavalanchecenter.org/advisory/2020/feb/11/2020-02-11-065815-avalanche-forecast,1,1,1, Normal Caution,
2020-02-12,https://www.sierraavalanchecenter.org/advisory/2020/feb/12/2020-02-12-065200-avalanche-forecast,1,1,1, Normal Caution,
2020-02-13,https://www.sierraavalanchecenter.org/advisory/2020/feb/13/2020-02-13-065002-avalanche-forecast,1,1,1, Normal Caution,
2020-02-14,https://www.sierraavalanchecenter.org/advisory/2020/feb/14/2020-02-14-064204-avalanche-forecast,1,1,1, Normal Caution,
2020-02-15,https://www.sierraavalanchecenter.org/advisory/2020/feb/15/2020-02-15-065700-avalanche-forecast,1,1,1, Normal Caution,
2020-02-16,https://www.sierraavalanchecenter.org/advisory/2020/feb/16/2020-02-16-065933-avalanche-forecast,1,1,1, Normal Caution,
2020-02-17,https://www.sierraavalanchecenter.org/advisory/2020/feb/17/2020-02-17-065929-avalanche-forecast,1,1,1, Normal Caution,
2020-02-18,https://www.sierraavalanchecenter.org/advisory/2020/feb/18/2020-02-18-065257-avalanche-forecast,1,1,1, Normal Caution,
2020-02-19,https://www.sierraavalanchecenter.org/advisory/2020/feb/19/2020-02-19-065110-avalanche-forecast,1,1,1, Normal Caution,
2020-02-20,https://www.sierraavalanchecenter.org/advisory/2020/feb/20/2020-02-20-065609-avalanche-forecast,1,1,1, Normal Caution,
2020-02-21,https://www.sierraavalanchecenter.org/advisory/2020/feb/21/2020-02-21-065707-avalanche-forecast,1,1,1, Normal Caution,
2020-02-22,https://www.sierraavalanchecenter.org/advisory/2020/feb/22/2020-02-22-065405-avalanche-forecast,1,1,1, Normal Caution,
2020-02-23,https://www.sierraavalanchecenter.org/advisory/2020/feb/23/2020-02-23-065909-avalanche-forecast,1,1,1, Normal Caution,
2020-02-24,https://www.sierraavalanchecenter.org/advisory/2020/feb/24/2020-02-24-065920-avalanche-forecast,1,1,1, Normal Caution,
2020-02-25,https://www.sierraavalanchecenter.org/advisory/2020/feb/25/2020-02-25-065136-avalanche-forecast,1,1,1, Loose Wet,
2020-02-26,https://www.sierraavalanchecenter.org/advisory/2020/feb/26/2020-02-26-065259-avalanche-forecast,2,2,2, Loose Wet,
2020-02-27,https://www.sierraavalanchecenter.org/advisory/2020/feb/27/2020-02-27-064001-avalanche-forecast,2,2,2, Loose Wet,
2020-02-28,https://www.sierraavalanchecenter.org/advisory/2020/feb/28/2020-02-28-064010-avalanche-forecast,2,2,2, Loose Wet,
2020-02-29,https://www.sierraavalanchecenter.org/advisory/2020/feb/29/2020-02-29-064507-avalanche-forecast,2,2,2, Loose Wet,
2020-03-01,https://www.sierraavalanchecenter.org/advisory/2020/mar/1/2020-03-01-070240-avalanche-forecast,3,3,2, Wind Slab, Storm Slab
2020-03-02,https://www.sierraavalanchecenter.org/advisory/2020/mar/2/2020-03-02-065921-avalanche-forecast,2,2,2, Wind Slab, Loose Wet
2020-03-03,https://www.sierraavalanchecenter.org/advisory/2020/mar/3/2020-03-03-065942-avalanche-forecast,3,3,3, Loose Wet, Wind Slab
2020-03-04,https://www.sierraavalanchecenter.org/advisory/2020/mar/4/2020-03-04-064820-avalanche-forecast,2,2,2, Loose Wet,
2020-03-05,https://www.sierraavalanchecenter.org/advisory/2020/mar/5/2020-03-05-064700-avalanche-forecast,2,2,2, Loose Wet,
2020-03-06,https://www.sierraavalanchecenter.org/advisory/2020/mar/6/2020-03-06-065001-avalanche-forecast,2,2,2, Loose Wet,
2020-03-07,https://www.sierraavalanchecenter.org/advisory/2020/mar/7/2020-03-07-064203-avalanche-forecast,2,2,1, Wind Slab,
2020-03-08,https://www.sierraavalanchecenter.org/advisory/2020/mar/8/2020-03-08-065105-avalanche-forecast,2,2,1, Wind Slab, Loose Wet
2020-03-09,https://www.sierraavalanchecenter.org/advisory/2020/mar/9/2020-03-09-065305-avalanche-forecast,1,1,1, Normal Caution,
2020-03-10,https://www.sierraavalanchecenter.org/advisory/2020/mar/10/2020-03-10-065902-avalanche-forecast,1,1,1, Loose Wet,
2020-03-11,https://www.sierraavalanchecenter.org/advisory/2020/mar/11/2020-03-11-065942-avalanche-forecast,1,1,1, Loose Wet,
2020-03-12,https://www.sierraavalanchecenter.org/advisory/2020/mar/12/2020-03-12-065937-avalanche-forecast,1,1,1, Loose Wet,
2020-03-13,https://www.sierraavalanchecenter.org/advisory/2020/mar/13/2020-03-13-064440-avalanche-forecast,1,1,1, Loose Wet,
2020-03-14,https://www.sierraavalanchecenter.org/advisory/2020/mar/14/2020-03-14-070045-avalanche-forecast,3,3,3, Wind Slab, Storm Slab
2020-03-15,https://www.sierraavalanchecenter.org/advisory/2020/mar/15/2020-03-15-064755-avalanche-forecast,4,4,4, Wind Slab, Storm Slab
2020-03-16,https://www.sierraavalanchecenter.org/advisory/2020/mar/16/2020-03-16-065302-avalanche-forecast,3,3,3, Wind Slab, Storm Slab
2020-03-17,https://www.sierraavalanchecenter.org/advisory/2020/mar/17/2020-03-17-070054-avalanche-forecast,3,3,3, Wind Slab, Storm Slab
2020-03-18,https://www.sierraavalanchecenter.org/advisory/2020/mar/18/2020-03-18-070027-avalanche-forecast,2,2,2, Wind Slab, Deep Slab
2020-03-19,https://www.sierraavalanchecenter.org/advisory/2020/mar/19/2020-03-19-070038-avalanche-forecast,2,2,2, Wind Slab, Deep Slab
2020-03-20,https://www.sierraavalanchecenter.org/advisory/2020/mar/20/2020-03-20-070104-avalanche-forecast,2,2,2, Wind Slab, Deep Slab
2020-03-21,https://www.sierraavalanchecenter.org/advisory/2020/mar/21/2020-03-21-065652-avalanche-forecast,2,2,2, Loose Wet, Deep Slab
2020-03-22,https://www.sierraavalanchecenter.org/advisory/2020/mar/22/2020-03-22-070359-avalanche-forecast,2,2,2, Wind Slab, Loose Wet
